ct;ROW;iddisease;Disease;Marker;MarkerID;Score;starCount
3;6922;1307;dementia;2.19;P98173;1.923e-01;
7;51963;1307;dementia;219;P98173;1.238e-01;
1;121082;1307;dementia;A2M;P01023;1.000e+00;
2;359961;1307;dementia;AAT;P01009;1.000e+00;
2;290455;1307;dementia;AATK;Q6ZMQ8;5.526e-02;
2;507053;1307;dementia;ABCA1;O95477;5.803e-01;
2;174087;1307;dementia;ABCA7;Q8IZY2;2.316e-05;
4;447658;1307;dementia;ABCB1;P08183;4.392e-01;
17;601;1307;dementia;ACE;P12821;5.035e-02;
13;85944;1307;dementia;ACT;Q5TD97;2.527e-04;
1;106336;1307;dementia;ACY1;Q03154;3.719e-01;
2;282644;1307;dementia;AD1;P05067;1.750e-08;
1;474079;1307;dementia;ADA;P00813;1.560e-01;
4;599;1307;dementia;ADAM10;O14672;3.671e-02;
1;602;1307;dementia;ADAMTS1;Q9UHI8;7.238e-01;
4;286332;1307;dementia;ADAMTS13;Q76LX8;7.577e-01;
26;70536;1307;dementia;ADC;Q96A70;5.128e-03;
28;32122;1307;dementia;ADL;Q16586;4.495e-106;
9;165868;1307;dementia;ADNP;Q9H2P0;8.089e-33;
1;166053;1307;dementia;ADNP2;Q6IQ32;9.433e-03;
3;336021;1307;dementia;ADPN;Q9NST1;1.057e-01;
2;189137;1307;dementia;ADPRS;Q9NX46;2.443e-12;
1;437042;1307;dementia;AES;Q08117;7.619e-01;
1;497619;1307;dementia;AGER;Q15109;5.445e-01;
1;109262;1307;dementia;AGRP;O00253;5.526e-02;
3;93954;1307;dementia;AIM;P26358;4.029e-02;
1;66543;1307;dementia;AIT;Q8N695;5.210e-01;
4;144778;1307;dementia;ALB;P02768;2.809e-01;
2;469938;1307;dementia;ALD;P33897;3.986e-02;
2;137576;1307;dementia;ALF;Q9UNN4;1.000e+00;
1;231518;1307;dementia;ALK1;P37023;1.000e+00;
3;27751;1307;dementia;ALP;Q9H0A0;2.971e-04;
326;2400;1307;dementia;ALS;P35858;5.383e-64;
4;162358;1307;dementia;AMD;P17707;2.455e-03;
2;343124;1307;dementia;AMPK;Q9Y478;1.380e-01;
1;206335;1307;dementia;AMT;P48728;4.631e-01;
3;149788;1307;dementia;ANG;P03950;7.129e-01;
1;430431;1307;dementia;ANP;P01160;3.755e-01;
1;173787;1307;dementia;AP2B1;P63010;1.139e-03;
1;105855;1307;dementia;APLP1;P51693;9.433e-03;
2;31968;1307;dementia;APN;P15144;1.000e+00;
3;111012;1307;dementia;APOA1;P02647;1.480e-01;
1;242502;1307;dementia;APOA4;P06727;2.703e-01;
2;354689;1307;dementia;APOC1;P02654;2.174e-02;
1;242501;1307;dementia;APOC3;P02656;7.619e-01;
277;2173;1307;dementia;APOE;P02649;0;
3;172884;1307;dementia;APOJ;P10909;1.150e-21;
30;17377;1307;dementia;APP;P05067;2.887e-47;
1;335070;1307;dementia;APR;Q07954;1.000e+00;
18;195225;1307;dementia;APS;O14492;6.784e-01;
1;314744;1307;dementia;ARI;Q9Y4X5;8.638e-01;
9;50836;1307;dementia;ART;O00253;2.396e-01;
13;17805;1307;dementia;ASL;P04424;5.291e-17;
5;372453;1307;dementia;ASP;Q96C74;3.683e-01;
1;102868;1307;dementia;ASS;P00966;1.000e+00;
1;463459;1307;dementia;ASTN2;O75129;1.139e-03;
1;127101;1307;dementia;ATG5;Q9H1Y0;8.943e-01;
2;180222;1307;dementia;B2M;P61769;1.000e+00;
15;122408;1307;dementia;BACE;P56817;5.872e-57;
13;126327;1307;dementia;BACE1;P56817;1.222e-45;
4;69887;1307;dementia;BAD;Q92934;4.595e-01;
1;162436;1307;dementia;BCHE;P06276;1.603e-01;
62;5349;1307;dementia;BDNF;P23560;2.412e-35;
6;299435;1307;dementia;BIN1;O00499;1.296e-09;
3;250424;1307;dementia;BP180;Q9UMD9;1.373e-02;
3;250423;1307;dementia;BP230;Q03001;2.544e-04;
1;380321;1307;dementia;BRCA1;P38398;4.349e-06;
2;25026;1307;dementia;C6orf10;Q5SRN2;5.526e-02;
150;16443;1307;dementia;C9orf72;Q96LT7;3.986e-317;
13;73498;1307;dementia;CA1;P00915;1.091e-12;
1;188338;1307;dementia;CA2;P00918;4.035e-01;
1;225257;1307;dementia;CA3;P07451;7.238e-01;
2;188339;1307;dementia;CA4;P22748;2.159e-03;
7;228445;1307;dementia;CAC;O43772;5.611e-01;
2;324640;1307;dementia;CACT;O43772;7.619e-01;
36;74049;1307;dementia;CAD;P27708;1.291e-63;
2;244434;1307;dementia;CAF;Q13111;1.000e+00;
2;478006;1307;dementia;CAM;P0DP23;1.000e+00;
1;138370;1307;dementia;CAP;Q01518;2.282e-03;
4;431720;1307;dementia;CAPE;O95347;6.338e-06;
8;88673;1307;dementia;CAR;Q9UQ90;4.423e-03;
1;337263;1307;dementia;CASP2;P42575;2.812e-02;
5;5348;1307;dementia;CBL;P22681;2.774e-05;
37;39744;1307;dementia;CBS;P35520;3.712e-43;
1;258344;1307;dementia;CCL2;P13500;2.161e-01;
1;371787;1307;dementia;CCL3L1;P16619;1.603e-01;
1;187283;1307;dementia;CCL4;P13236;1.000e+00;
1;274061;1307;dementia;CCNA;P20248;9.643e-01;
1;371788;1307;dementia;CCR5;P51681;1.000e+00;
2;152514;1307;dementia;CCR6;P51684;1.000e+00;
2;127446;1307;dementia;CD14;P08571;2.937e-01;
1;405707;1307;dementia;CD163;Q86VB7;1.612e-01;
3;62078;1307;dementia;CD28;P10747;9.307e-01;
4;407643;1307;dementia;CD2AP;Q9Y5K6;2.174e-02;
2;58270;1307;dementia;CD34;P28906;9.742e-03;
14;70534;1307;dementia;CD4;P01730;3.013e-03;
1;60222;1307;dementia;CD40;P25942;3.394e-01;
1;473295;1307;dementia;CD45;P08575;5.247e-01;
1;415611;1307;dementia;CD68;P34810;1.665e-01;
1;62079;1307;dementia;CD69;Q07108;1.000e+00;
2;427394;1307;dementia;CD7;P09564;1.000e+00;
1;353921;1307;dementia;CDIP;Q9H305;1.139e-03;
267;10752;1307;dementia;CDR;Q06455;0;
2;181521;1307;dementia;CDR1;P51861;1.541e-06;
2;181520;1307;dementia;CDR2;Q01850;1.541e-06;
5;41249;1307;dementia;CETP;P11597;3.215e-04;
2;448276;1307;dementia;CGA;P01215;4.492e-01;
1;339474;1307;dementia;CHIT1;Q13231;9.901e-01;
2;105856;1307;dementia;CHL1;Q96FC9;1.221e-01;
9;58865;1307;dementia;CHMP2B;Q9UQN3;2.715e-21;
2;336067;1307;dementia;CHP;Q99653;8.150e-01;
2;62410;1307;dementia;CHRNA7;P36544;5.824e-03;
4;127508;1307;dementia;CHS;Q99698;1.866e-03;
1;478022;1307;dementia;CLB;Q8N0X4;2.812e-02;
1;110734;1307;dementia;CLIC1;O00299;1.000e+00;
1;269359;1307;dementia;CLN3;Q13286;6.833e-01;
8;185922;1307;dementia;CLU;P10909;1.281e-05;
4;170546;1307;dementia;CNC;P32418;1.456e-07;
1;508410;1307;dementia;CNR;P21554;7.039e-01;
2;82420;1307;dementia;CNTNAP2;Q9UHC6;3.392e-01;
3;112242;1307;dementia;COASY;Q13057;2.316e-05;
2;256475;1307;dementia;COMT;P21964;1.000e+00;
9;162739;1307;dementia;COPD;P48444;7.859e-16;
1;156412;1307;dementia;CPAP;Q9HC77;7.231e-01;
3;62466;1307;dementia;CR1;P17927;8.823e-02;
1;64962;1307;dementia;CRMP2;Q16555;3.719e-01;
51;960;1307;dementia;CRP;P02741;8.857e-04;
10;105223;1307;dementia;CST;Q86V15;5.918e-03;
2;164853;1307;dementia;CTRL;P40313;1.569e-01;
3;114473;1307;dementia;CX3CL1;P78423;1.923e-01;
