GDI1|P31150
YWHAZ|P63104
YWHAG|P61981
SCRN1|Q12765-2
SMOC1|Q9H4F8-2
PKM|P14618-2
SUMO3|A8MU27
GDA|Q9Y2T3-3
CRK|P46108
MAPT|P10636
ITGB2|P05107
GGCT|O75223
ALDOA|P04075-2
GLOD4|Q9HC38-2
CALM2|E7EMB3
NTN1|O95631
ENOPH1|Q9UHY7
SKAP1|Q86WV1
PPP3R1|D3YTA9
LAMP5|Q9UJQ1
NEDD8-MDP1|E9PL57
DDAH1|O94760
DYNC1I1|O14576
ME1|P48163
YWHAE|P62258
ITGAM|P11215-2
PGAM1|P18669
CAMK2G|Q13555-6
SLC2A13|Q96QE2
CHI3L1|P36222
MARCKS|P29966
MDH1|P40925-3
GSS|P48637
GOT1|P17174
TXNRD1|Q16881
BSN|Q9UPA5
NUDT3|O95989
PEBP1|P30086
DTD1|Q8TEA8
PDCD5|O14737-2
GSR|P00390
GAP43|P17677-2
STMN1|P16949
PGK1|P00558
FABP3|P05413
GNPDA1|P46926
GDI2|P50395
PPP5C|P53041
YWHAB|P31946
RAP1GAP|X6R8W7
AKAP12|Q02952
NME1|P15531-2
ISLR|O14498
NPEPPS|P55786
PDXP|Q96GD0
ENO1|P06733
PDLIM5|Q96HC4
PEA15|Q15121-2
CD74|H0YBZ2
TCEAL6|Q6IPX3
ENSA|Q5T5H1
SH3BGRL3|A0A087WV23
PPIA|P62937
MAP7D1|Q3KQU3
HPRT1|P00492
PRDX3|P30048
ARL8B|Q9NVJ2
SUMO2|P61956
UCHL1|P09936
ARPP21|Q9UBL0-3
TPT1|A0A0B4J2C3
GABARAPL1|Q9H0R8-2
FKBP1A|P62942
PARK7|Q99497
PITHD1|Q9GZP4
MAP1B|P46821
GSN|P06396
BABAM1|Q9NWV8
MINPP1|Q9UNW1
PKIA|P61925
ARSG|Q96EG1
AHSG|P02765
OSTM1|Q86WC4
PLXDC1|Q8IUK5
TMEM115|Q12893
RAD23B|P54727
C19orf26|Q8N350
SOD2|A0A0C4DFU2
NRGN|Q92686
BASP1|P80723
DNAJA2|O60884
RTN4|Q9NQC3
MPI|P34949
CDV3|Q9UKY7
ASRGL1|Q7L266
SCGB2A2|Q6NX70
IL1RN|P18510-3
OR3A2|P47893
PGLYRP2|Q96PD5-2
BSCL2|J3KQ12
NECAB1|Q8N987
GNPDA2|Q8TDQ7
NECAP1|Q8NC96
MANF|P55145
UBC|F5H265
MAPRE2|Q15555
SCN2B|O60939
C1QL3|Q5VWW1
GPI|A0A0A0MTS2
AGRN|O00468-6
LOC285556|D6RIA3
SH3BGRL|O75368
TWF2|Q6IBS0
AQP4|P55087
MAP2|P11137
LASP1|Q14847
COL6A3|C9JNG9
HN1|Q9UK76-2
AP1B1|Q10567-3
B3GNT8|Q7Z7M8
MAP1LC3B2|A6NCE7
AHSA1|O95433
TAC1|P20366
SOD1|P00441
ENO2|P09104
QSOX2|Q6ZRP7
NPTXR|O95502
SH3BGRL2|Q9UJC5
EIF4B|E7EX17
NECAB2|Q7Z6G3
MIEN1|Q9BRT3
TAGLN3|A0A087WWB6
FETUB|Q9UGM5
AKR1A1|P14550
CANT1|Q8WVQ1
SPTY2D1|Q68D10
SCGB1D2|O95969
SERPIND1|P05546
DNAJB2|P25686
PTPRN2|Q92932-2
OGN|P20774
POMC|P01189
HEBP2|Q9Y5Z4
NPY|P01303
GABARAPL2|P60520
CDS2|O95674
SUMO4|Q6EEV6
RTN1|Q16799
DNAJB4|Q9UDY4
NPTX2|P47972
C1RL|Q9NZP8
TMEFF2|Q9UIK5
CHGB|P05060
EPB41L1|Q9H4G0
F9|P00740
SSPN|Q14714
BLMH|Q13867
HSPA4|P34932
FN1|P02751-15
AKR1B1|P15121
CAMK2B|Q13554
C16orf89|Q6UX73
CAMK2D|E9PBG7
TMED3|Q9Y3Q3
SERPINB9|P50453
CSTB|P04080
CLASP2|O75122-3
CTTN|Q14247
RNF167|Q9H6Y7
ZP2|Q05996
APOA4|P06727
COPB2|P35606
APOA1BP|Q8NCW5
TXN2|Q99757
IDI1|Q13907-2
PTMS|P20962
CCDC112|Q8NEF3-2
ARPP19|H3BMD8
GP5|P40197
RPH3A|Q9Y2J0
ALDOC|P09972
FBXO24|O75426-2
IDH1|O75874
SIL1|Q9H173
ICAM2|P13598
LUM|P51884
PCSK2|P16519
CHIT1|Q13231
MFGE8|Q08431
YWHAH|Q04917
HK1|P19367-3
CAMK1D|Q8IU85
MIF|P14174
LCP1|P13796
EPB41L2|O43491
SUGT1|Q9Y2Z0
FZD7|O75084
PRELP|P51888
SFRP4|Q6FHJ7
PENK|P01210
NUTF2|P61970
HAGH|Q16775
HSPA4L|O95757
SCN2A|Q99250
DNAJB1|P25685
VGF|O15240
FSCN1|Q16658
FGL2|Q14314
BCAT1|P54687-5
EXT1|Q16394
SLC38A6|Q8IZM9-2
PBDC1|Q9BVG4
ADD2|P35612
BDNF|P23560-4
APOL1|O14791-2
SST|P61278
CPLX2|Q6PUV4
PGP|A6NDG6
EFEMP2|O95967
FCGRT|P55899
QSOX1|O00391
GYG1|P46976
ATOX1|E5RIM7
CORO1A|P31146
MATN2|O00339-2
NEFL|P07196
HLA-A|P30443
VTN|P04004
EPHA5|B7ZKJ3
RAD23A|P54725
BNIP3|Q12983
FMOD|Q06828
SERPINA10|G3V2W1
SLIT2|X6R3P0
CRHBP|P24387
F2|P00734
B3GNT2|Q9NY97
SLITRK6|Q9H5Y7
C8G|P07360
SCUBE3|Q8IX30-2
F10|P00742
LTBP3|Q9NS15
C1QTNF1|Q9BXJ1-2
SERPINF2|P08697
TMX4|Q9H1E5
IFNAR2|P48551
FN1|P02751-10
C9orf64|Q5T6V5
IGSF21|Q96ID5
PREP|P48147
THOP1|P52888
GMFB|P60983
TBC1D10B|Q4KMP7
SERPINA4|P29622
PACSIN1|Q9BY11
GAA|P10253
VNN1|O95497
EPG5|Q9HCE0
B3GNT9|Q6UX72
PACS1|Q6VY07-2
PTPLAD1|Q9P035
CAPN2|P17655
LMNB1|P20700
FABP4|P15090
OXR1|Q8N573
IGSF1|Q8N6C5-4
TOM1L2|Q6ZVM7
FDPS|P14324
VPS41|P49754
VWF|P04275
PSMD2|Q13200
PAPPA2|Q9BXP8
CALB2|P22676
GABRA2|E9PBQ7
GLIPR2|Q9H4G4
TPI1|P60174
SDK1|A0A087WTQ6
HIST1H1E|P10412
CDH20|Q9HBT6
IGBP1|P78318
CXorf36|Q9H7Y0
NIF3L1|Q9GZT8-3
NT5DC1|Q5TFE4
SNCG|O76070
NEFM|P07197
ST6GALNAC1|Q9NSC7
COL6A3|P12111
CPN2|P22792
BOC|Q9BWV1-3
PPIL1|Q9Y3C6
CLEC3B|P05452
WFDC1|Q9HC57
CYB5B|J3KNF8
0|H0YC42
NIF3L1|Q9GZT8
S100A11|P31949
APOC1|P02654
IGFBP6|F8VYK9
OSTN|P61366
BST1|A6NC48
NUDC|Q9Y266
RBP4|P02753
MMP2|P08253
DNAJA1|P31689
TIE1|P35590
SPON1|Q9HCB6
CD84|Q9UIB8
TGFBR1|P36897-2
EIF3J|O75822
UBQLN2|Q9UHD9
LDLR|H0YMD1
TMSB4X|P62328
OAF|Q86UD1
MFAP4|K7ES70
PROS1|P07225
PROC|P04070-2
CA12|O43570
BMP6|P22004
CAMK2A|Q9UQM7
SBSN|Q6UWP8
APOC4-APOC2|K7ER74
AEBP1|Q8IUX7
PREPL|Q4J6C6
CYR61|O00622
ITGA1|P56199
SYT1|J3KQA0
LRRC4|Q9HBW1
HMCN1|Q96RW7
PRL|Q5I0G2
NME2|Q32Q12
SLC1A2|P43004
APOE|E7ERP7
PLXNB3|Q9ULL4-2
DPP3|G3V180
WARS|P23381
C4orf48|Q5BLP8-2
MARCKSL1|P49006
MAP4|E7EVA0
GALNT6|Q8NCL4
DCN|P07585
ROBO1|Q9Y6N7-2
SPP1|P10451
SCARA5|Q6ZMJ2
NRXN2|Q9P2S2
NUCB2|A0A087WSV8
P4HB|P07237
BACE1|P56817
CEND1|Q8N111
HIST1H1B|P16401
RPN2|P04844
TIMP3|P35625
ZZEF1|O43149
SERPINA5|P05154
CDIP1|Q9H305
MYLK|Q15746
SLITRK4|Q8IW52
ANTXR1|Q9H6X2
LMTK3|A0A0A0MQW5
MGAT2|Q10469
CCBL1|B7Z4W5
SF3A1|Q15459
FIBIN|Q8TAL6
CACYBP|Q9HB71
AP2B1|P63010-2
COL5A2|P05997
EPHA6|A0A0B4J1T8
VPS29|F8VXU5
KNG1|P01042
MRC2|Q9UBG0
TENM1|Q9UKZ4-2
FABP7|O15540-2
BROX|Q5VW32
TREM2|Q9NZC2
GALNT1|Q10472
WFIKKN2|Q8TEU8
SSTR2|P30874
REEP2|Q9BRK0-2
OSMR|Q99650
PPP1R7|Q15435
IGSF8|Q969P0
OLFML3|Q9NRN5
AMPH|P49418
MTURN|Q8N3F0
KNG1|P01042-2
CX3CL1|H3BSR6
TXNRD2|Q9NNW7
YME1L1|Q96TA2
ATG9A|Q7Z3C6
C8B|P07358
C8A|P07357
PRAP1|H7BY64
ATP6AP1|Q15904
SCG2|P13521
ITM2A|O43736
VIP|P01282
GPLD1|P80108
SIGLEC9|Q9Y336-2
GART|P22102
BOLA2|Q9H3K6
CHST7|Q9NS84
SYN3|O14994
KRT2|P35908
GKN1|Q9NS71
TRH|P20396
EPHB3|P54753
CD5L|O43866
GSTO1|P78417
GPIHBP1|Q8IV16
uncharacterized|A0A0B4J2D5
SQSTM1|Q13501
DYNC1LI2|O43237
RTN4R|H7C215
ROBO2|R4GMM8
YKT6|O15498
CD14|P08571
PCDHGB5|Q9Y5G0
C6orf211|Q9H993
HSP90B1|P14625
POFUT2|Q9Y2G5
SYT1|P21579
LINGO3|P0C6S8
SCAP|Q12770
C1QTNF5|Q9BXJ0
EIF2S2|P20042
NRXN1|E7ETA5
CHST10|O43529
PSMD3|O43242
EPB41L3|Q9Y2J2
BTN3A2|P78410
PON1|P27169
IGF2|P01344-3
HYI|Q5T013
COL14A1|Q05707
NID2|Q14112
PCSK9|Q8NBP7
COLEC11|Q9BWP8-10
LAMA5|O15230
ELMO1|H7C0S6
MAT2A|P31153
HIST1H4A|P62805
HBG2|P69892
PSMB4|P28070
KDR|P35968
SYN1|P17600
ANXA1|P04083
OLFML1|Q6UWY5
TMEM5|Q9Y2B1
TKT|P29401-2
PPM1L|Q5SGD2
FAM20B|O75063
FAM155A|B1AL88
RAB5C|P51148-2
MANEA|Q5SRI9
APOA2|V9GYM3
KRT86|O43790
PCSK1|P29120
ACTR3|P61158
CACHD1|Q5VU97
DPP10|Q8N608-3
PCLO|Q9Y6V0-5
RPS11|P62280
HRG|P04196
OLR1|P78380
LNP|Q9C0E8-4
ACHE|P22303
IGF1R|P08069
SAA2-SAA4|A0A096LPE2
CORO1C|Q9ULV4-3
RECK|O95980
CAMK2D|Q13557-12
C9|P02748
EMC10|M0R2A0
ADAM11|O75078
PRRT2|Q7Z6L0-2
PHOX2B|Q99453
IGFBP6|P24592
M6PR|P20645
MAT2B|Q9NZL9
ST13|P50502
TNFRSF8|P28908
LDHA|P00338-3
EPHA7|Q15375
VIT|Q6UXI7-4
TNFRSF11B|O00300
PAK1|Q13153-2
RDX|P35241-5
ITGB4|P16144
DPP4|P27487
CSF1|P09603
AMBP|P02760
SLITRK2|Q9H156
HSPA13|P48723
ADAMTSL1|Q8N6G6
ADD1|P35611-4
PTPRZ1|P23471
PTPRN|Q16849
CCER2|I3L3R5
KLKB1|H0YAC1
PCP4|P48539
FKRP|Q9H9S5
HEBP1|Q9NRV9
ENTPD6|O75354
UGGT1|Q9NYU2
HABP2|Q14520
SMOC2|Q9H3U7-2
LAMC3|Q9Y6N6
FABP1|P07148
LINGO1|Q96FE5
COL6A1|P12109
CDH2|P19022
ECI1|P42126
BAI2|O60241
IMPA1|P29218-3
SPRN|Q5BIV9
EIF4H|Q15056
CCT6A|P40227
GLO1|Q04760
GOT2|P00505
DISP2|A7MBM2
FAS|P25445
CP|P00450
RTN3|O95197
SERPINA12|Q8IW75
LHPP|Q9H008
CSTA|P01040
PDGFRA|P16234
PSAT1|Q9Y617
ATPIF1|Q9UII2
PNOC|Q13519
PCYOX1|Q9UHG3
PCBD1|P61457
CD300LF|J3KS52
CP|D6RE86
LRP12|Q9Y561
ANXA3|P12429
PDYN|P01213
GC|D6RF35
BCL2L13|A0A087WX97
AGT|P01019
ANGPTL4|Q9BY76
DLK1|P80370
TALDO1|P37837
IL13RA1|P78552
VAMP5|O95183
PPP2R4|Q15257
RARRES1|P49788
PSAP|P07602
MDH2|P40926
TCP1|P17987
AMY2A|P04746
HIST1H3A|P68431
GC|P02774-2
ERP44|Q9BS26
FAT3|Q8TDW7
MAGED2|Q9UNF1
MAB21L3|Q8N8X9
CPN1|P15169
YES1|J3QRU1
PVRL2|Q92692
COLEC12|Q5KU26
SYNJ1|C9JFZ1
LCAT|P04180
ASAH1|Q13510-2
FKBP9|O95302-3
IMPAD1|Q9NX62
TXNDC17|Q9BRA2
CACNA1B|F6RH32
PGM5|Q15124
SLC39A12|Q504Y0
NBR1|Q14596
PKD1|P98161
CLUL1|F5GWQ8
CP|E9PFZ2
GLA|P06280
UBQLN1|Q9UMX0
HSPB11|X6R7Y7
SNRPB2|P08579
SUOX|P51687
TGFB1|P01137
FAM198B|Q6UWH4-2
DCBLD1|Q8N8Z6
RAP1B|P61224
EDIL3|O43854
WFS1|O76024
LRTM2|Q8N967
KRT10|P13645
APP|P05067-6
STC2|O76061
MBTPS1|Q14703
ESM1|Q9NQ30
HDHD2|Q9H0R4
CD9|G8JLH6
RPL23A|A8MUS3
SPINK5|Q9NQ38-3
TNFRSF1A|P19438
CPB2|Q96IY4
TWSG1|Q9GZX9
HUWE1|Q7Z6Z7
AFM|P43652
HLA-A|P30447
GALNT4|Q8N4A0
SDC4|P31431
PLXNA2|O75051
HGFAC|Q04756
PAM|P19021-5
THY1|E9PNQ8
VWA7|Q9Y334
ITIH4|Q14624
CD163|Q86VB7-2
FAM20A|Q96MK3
COL25A1|Q9BXS0
SLC9A3R1|O14745
LDHB|P07195
GANAB|Q14697-2
FSTL5|Q8N475
CPQ|Q9Y646
CNPY3|Q9BT09
LOXL3|P58215
OMD|Q99983
PIANP|Q8IYJ0
NUCKS1|Q9H1E3
LBP|P18428
SERPING1|P05155-3
CETP|P11597
RELN|J3KQ66
PRKAR1B|P31321
KRT78|Q8N1N4
APOM|O95445
EDN3|P14138
APOA1|P02647
FAP|Q12884
LILRA2|Q8N149
TPK1|Q9H3S4
DEFA1|P59665
NEU1|Q99519
TPPP3|Q9BW30
PPP2CA|P67775
CHST15|Q7LFX5
PIGR|P01833
CCDC176|Q8ND07
XXYLT1|Q8NBI6
GUCA2A|Q02747
F3|P13726
LOXL1|Q08397
TGFB2|P61812-2
TMEM132E|Q6IEE7
TMA7|Q9Y2S6
CFI|E7ETH0
TFG|Q92734
HGFAC|D6RAR4
NRN1|A0A087WWT2
HAPLN2|Q9GZV7
GPHN|F5H039
CD81|A6NMH8
FCGR2A|P12318
DNAH5|Q8TE73
AP1B1|Q10567
EVI2A|P22794-2
HLA-C|P30510
GRIA2|P42262-3
HEPACAM|Q14CZ8
APOE|P02649
TFF3|A0A0A6YYJ4
TOM1|O60784
GBA|P04062
LY96|Q9Y6Y9
MYOC|Q99972
HS3ST1|O14792
CASP14|P31944
PSMB7|Q99436
OLFML2B|Q68BL8
PDGFD|Q9GZP0
CXCL16|Q9H2A7
SORCS3|Q9UPU3
0|F8W031
TCN2|P20062
LPHN1|O94910
SLIT3|O75094-4
FAM69C|Q0P6D2
APOF|Q13790
NPTN|Q9Y639-5
PALM|O75781
LGALS3|P17931
NDRG4|Q9ULP0-6
GPR56|Q9Y653
C4B|P0C0L5
ADPGK|Q9BRR6
ISOC1|Q96CN7
YWHAQ|P27348
DPYSL3|Q14195
GNAS|P63092-4
NEFH|P12036
GM2A|P17900
IGFBP4|P22692
MAN2B1|O00754
PCDHGA5|Q9Y5G8
ECM1|Q16610
ARHGDIB|P52566
DSC1|Q08554
PTPRN2|Q92932
PIK3IP1|Q96FE7-4
HAPLN1|P10915
NPNT|D6RH31
ROBO4|Q8WZ75
COA3|Q9Y2R0
DNAJC5|Q9H3Z4
CNP|P09543
BIN1|O00499-2
SDCBP|G5EA09
MGAT4A|Q9UM21
APOC3|B0YIW2
SKP1|P63208
RAC1|P63000-2
FAM171A1|Q5VUB5
TMEM108|Q6UXF1
UFD1L|Q92890-1
DDB1|Q16531
COTL1|Q14019
RPS5|M0R0R2
NLGN3|Q9NZ94
PLG|P00747
ANGPTL7|O43827
LRIG2|O94898
HCN2|Q9UL51
DNAJC3|Q13217
IFI6|P09912-3
CD46|P15529-2
FLT3|P36888
MMRN1|Q13201
SUSD2|Q9UGT4
JAG1|P78504
PCSK6|P29122
FGFR4|P22455
ERLEC1|Q96DZ1
SNCB|Q16143
DBI|P07108-5
CD97|P48960
TNFRSF10D|Q9UBN6
AMIGO2|Q86SJ2
FCGR3A|M9MML0
CCK|P06307
BMPR1B|O00238-2
RNPEP|Q9H4A4
TMED4|Q7Z7H5
SELENBP1|Q13228-4
MB|P02144
SV2C|Q496J9
CALR|P27797
C3|P01024
MAN1C1|Q9NR34
ACYP2|P14621
TMPRSS5|Q9H3S3
UQCRC1|P31930
FRRS1L|Q9P0K9
LPHN2|O95490-6
SLC4A10|Q6U841
FLOT1|O75955
FN3K|Q9H479
GRIA4|P48058
SFRP1|Q8N474
DSG1|Q02413
LGALS8|O00214-2
CHMP4B|Q9H444
DPM3|Q9P2X0-2
RBKS|Q9H477
PLAUR|Q03405
GDF11|O95390
ADRM1|Q16186
EML2|O95834-3
LAMP2|P13473-3
SHBG|P04278
HYOU1|Q9Y4L1
FAM19A4|Q96LR4
PRG2|P13727
WSCD2|Q2TBF2-2
OPTN|Q96CV9
PIP|P12273
CFL2|Q9Y281
GCSH|P23434
OGFOD3|Q6PK18-2
COL4A5|P29400-2
ARPC5|O15511-2
ICOSLG|K4DIA0
DAG1|Q14118
AP2A2|O94973-2
GPX3|P22352
PTCHD2|Q9P2K9
PEAR1|Q5VY43
IQGAP1|P46940
L1CAM|P32004
FAM49B|Q9NUQ9
MSTN|O14793
CRYAB|P02511
CHST8|Q9H2A9
GPR158|Q5T848
BCAP31|P51572-2
FBN2|P35556
PPP3CA|Q08209
PLD3|Q8IV08
IDUA|P35475
PDIA4|P13667
RCSD1|Q6JBY9
KRT9|P35527
0|B4E1Z4
SERPINA6|P08185
CRYM|Q14894
CMBL|Q96DG6
DRAXIN|Q8NBI3
ALCAM|Q13740-2
ABCA8|O94911-3
RAP2A|P10114
PRDX6|P30041
RAB11B|Q15907
GNPTG|Q9UJJ9
PTPRS|Q13332-5
DNAJC16|Q9Y2G8
CRABP1|P29762
CAPNS1|A0A0C4DGQ5
RNF13|O43567
ST8SIA5|O15466-2
C1QL1|O75973
SEMA3C|Q99985
PCDH12|Q9NPG4
DLK2|Q6UY11
AIFM1|O95831
MASP1|P48740-3
S100A9|P06702
HLA-DRB1|Q5Y7A7
NFASC|X6RKN2
CMC4|P56277
FAHD1|Q6P587-3
CD27|P26842
THBS4|P35443
SHISA9|B4DS77
OMG|P23515
CTSA|X6R8A1
GRHPR|U3KQ56
SCUBE1|Q8IWY4
C1QL2|Q7Z5L3
QPCTL|Q9NXS2
VWC2|Q2TAL6
ARV1|H7C484
ALPL|P05186
CADM1|Q9BY67-2
HLA-DQB1|Q5SU54
PAFAH1B1|P43034
FBLN1|P23142
RETN|Q9HD89
LYPD6B|Q8NI32-2
KRT80|Q6KB66
THBS3|P49746
MASP2|O00187
ENPP5|Q9UJA9
SORD|Q00796
DCTN2|Q13561-2
SLC8A2|Q9UPR5
ITGA7|Q13683
VAPA|Q9P0L0-2
PLXDC2|Q6UX71
AMPH|H0Y7T8
CFH|Q5TFM2
0|K7EQZ3
ITGBL1|O95965
ATRNL1|Q5VV63
GSTM2|P28161
H1F0|P07305
A1BG|P04217
AKR1C1|A0A0A0MT30
NRXN3|Q9HDB5
GRB2|P62993
SIRPB1|O00241
FXYD6|Q9H0Q3
CCT3|P49368
GDF10|P55107
F11|P03951
DSC2|Q02487
SUMF2|J3KQJ1
CPB1|P15086
HS6ST3|Q8IZP7
ITIH4|Q14624-2
RNF19B|Q6ZMZ0
CST1|P01037
F13B|P05160
ATP5O|P48047
PVRL3|Q9NQS3
CAMKV|Q8NCB2
PPA1|Q15181
TGOLN2|O43493
VCL|P18206
NLGN1|Q8N2Q7
NEGR1|Q7Z3B1
TGFBI|Q15582
FOLH1|Q04609
PTGFRN|Q9P2B2
ACVR1|Q04771
PMCH|P20382
STX7|O15400
ARPC2|O15144
ZNF605|Q86T29-2
NDST1|P52848
NCSTN|Q92542
BCAS1|A0A0A0MRP7
PLXND1|Q9Y4D7
CTNND2|Q9UQB3
CTSF|Q9UBX1
GNB2L1|P63244
CD109|Q6YHK3
SERPINB6|A0A087X1N8
CRYGD|P07320
PSMB1|P20618
EXT2|Q93063-3
C1orf56|Q9BUN1
CLDN11|O75508
HTRA1|Q92743
KLK7|P49862
PCSK1N|Q9UHG2
POMGNT1|Q8WZA1
CA3|P07451
LRFN2|Q9ULH4
ACTA1|P68133
ADK|P55263
COL6A2|P12110
HSPH1|Q92598
CDH4|P55283
C11orf87|Q6NUJ2
FN1|P02751-4
IGLV3-25|A0A075B6J4
VMO1|Q7Z5L0
LMAN2|Q12907
VAPB|O95292
FZD4|Q9ULV1
IGF2R|P11717
