#id: 3223230345
#name: H.sapiens - Brain (Integrated)
#score: 24.07
#description: integrated dataset: weighted average of all H.sapiens BRAIN, Interaction consistency score: 24.07, Coverage: 57
#organ: BRAIN
#integrated: true
#coverage: 57
#publication_year: 2021
#filename: 9606-BRAIN-integrated.txt
#
#internal_id	string_external_id	abundance
4440511	9606.ENSP00000333994	15291
4434183	9606.ENSP00000251595	15011
4439524	9606.ENSP00000322421	15011
4450881	9606.ENSP00000468500	12074
4433451	9606.ENSP00000229239	11465
4437548	9606.ENSP00000299198	8133
4437206	9606.ENSP00000295897	8022
4440915	9606.ENSP00000339001	7993
4434216	9606.ENSP00000252244	7912
4436586	9606.ENSP00000284440	7882
4445375	9606.ENSP00000369703	7712
4434727	9606.ENSP00000259818	7191
4451549	9606.ENSP00000481006	7157
4440737	9606.ENSP00000336799	7143
4437720	9606.ENSP00000301071	7126
4437721	9606.ENSP00000301072	6739
4441138	9606.ENSP00000341289	6735
4435372	9606.ENSP00000264071	6726
4441991	9606.ENSP00000349960	6327
4450595	9606.ENSP00000458162	6296
4438513	9606.ENSP00000309539	6289
4433993	9606.ENSP00000246662	6160
4445365	9606.ENSP00000369654	5662
4446738	9606.ENSP00000380958	5570
4435898	9606.ENSP00000269576	5438
4435415	9606.ENSP00000264335	5420
4446198	9606.ENSP00000377470	5359
4434056	9606.ENSP00000248437	5266
4449041	9606.ENSP00000419425	5106
4439815	9606.ENSP00000326042	5071
4446977	9606.ENSP00000382982	5071
4446480	9606.ENSP00000379287	4994
4445428	9606.ENSP00000370010	4941
4439188	9606.ENSP00000318197	4866
4449678	9606.ENSP00000433560	4577
4449639	9606.ENSP00000432660	4489
4439351	9606.ENSP00000320295	4185
4433634	9606.ENSP00000234590	4109
4446386	9606.ENSP00000378669	4017
4437770	9606.ENSP00000301522	3998
4439274	9606.ENSP00000319281	3972
4434854	9606.ENSP00000261313	3735
4446184	9606.ENSP00000377372	3671
4440446	9606.ENSP00000333326	3530
4438211	9606.ENSP00000306330	3332
4435927	9606.ENSP00000270142	3248
4450361	9606.ENSP00000451560	3114
4449816	9606.ENSP00000437402	3028
4450181	9606.ENSP00000446007	2963
4439337	9606.ENSP00000320171	2902
4444156	9606.ENSP00000362399	2902
4435094	9606.ENSP00000262494	2817
4446852	9606.ENSP00000381736	2791
4448554	9606.ENSP00000410452	2775
4434993	9606.ENSP00000262030	2698
4437217	9606.ENSP00000295987	2642
4439895	9606.ENSP00000327070	2603
4435583	9606.ENSP00000265333	2555
4440865	9606.ENSP00000338345	2540
4447538	9606.ENSP00000388107	2458
4441649	9606.ENSP00000346694	2448
4443785	9606.ENSP00000360687	2424
4446501	9606.ENSP00000379386	2398
4435133	9606.ENSP00000262746	2393
4444040	9606.ENSP00000361930	2326
4443101	9606.ENSP00000357429	2310
4445606	9606.ENSP00000371267	2271
4448989	9606.ENSP00000418770	2261
4451621	9606.ENSP00000481878	2236
4443408	9606.ENSP00000358865	2217
4433456	9606.ENSP00000229270	2211
4449616	9606.ENSP00000432083	2208
4434401	9606.ENSP00000254976	2198
4438384	9606.ENSP00000308057	2189
4433361	9606.ENSP00000226253	2188
4436014	9606.ENSP00000272298	2139
4436903	9606.ENSP00000291295	2139
4441930	9606.ENSP00000349467	2139
4439221	9606.ENSP00000318697	2134
4442397	9606.ENSP00000353785	2112
4440919	9606.ENSP00000339063	2108
4451269	9606.ENSP00000478061	2060
4451455	9606.ENSP00000480132	2012
4436362	9606.ENSP00000280187	1983
4449851	9606.ENSP00000438144	1893
4436015	9606.ENSP00000272317	1854
4445357	9606.ENSP00000369609	1832
4446806	9606.ENSP00000381412	1825
4443024	9606.ENSP00000357055	1817
4438921	9606.ENSP00000314214	1813
4450743	9606.ENSP00000464383	1813
4439460	9606.ENSP00000321606	1764
4433145	9606.ENSP00000221166	1761
4447833	9606.ENSP00000394071	1744
4436930	9606.ENSP00000291700	1726
4446990	9606.ENSP00000383118	1684
4436861	9606.ENSP00000290378	1659
4451641	9606.ENSP00000482169	1658
4442723	9606.ENSP00000355645	1646
4441360	9606.ENSP00000343690	1640
4439919	9606.ENSP00000327431	1617
4449888	9606.ENSP00000439012	1608
4438499	9606.ENSP00000309431	1599
4450127	9606.ENSP00000444688	1591
