Uniprot,Higginbotham2020,Sathe2019,Bader2020,#Studies
Q96MM7,1,0,0,1
Q9H3S4,1,0,0,1
P12724,1,0,1,2
Q6P179,1,1,0,2
E7EUF1,0,0,1,1
Q9UN36-2,0,0,1,1
E9PL83,0,0,1,1
P21246,1,1,0,2
Q8N9G6,0,1,0,1
Q14116,1,0,0,1
B1AHL2,1,0,1,2
P53999,1,0,0,1
Q9BTY2,1,1,1,3
Q9NTU7,1,1,1,3
J3KNV4,0,0,1,1
P29034,1,0,0,1
P16519,1,1,1,3
F8VXU5,1,0,0,1
P29401,1,1,1,3
P31948,1,1,1,3
P35611,1,0,0,1
Q5TFM2,1,0,0,1
Q9UKA4,1,0,0,1
P52907,1,0,0,1
Q9Y617,1,1,1,3
Q9NYQ7,1,1,0,2
E7EW20,1,0,0,1
Q9HC38,1,1,0,2
Q8WUJ3,1,1,1,3
Q9HCB6,1,1,1,3
P23246,1,0,0,1
Q8N8P6,0,1,0,1
Q9UQM7,1,1,1,3
Q9Y5G0,1,0,0,1
P21589,1,1,0,2
E9PQM1,1,0,0,1
F6S8M0,0,0,1,1
P30481,1,0,0,1
A8MUI8,0,1,0,1
Q92956,1,0,0,1
M9MML6,1,0,0,1
Q00839,1,1,0,2
Q9H4B0,1,0,0,1
P06310,0,0,1,1
P63027,0,1,0,1
P60660,0,1,0,1
P05451,1,1,1,3
Q5JZY3,1,1,0,2
Q5VWW1,1,1,1,3
Q15149,1,1,0,2
D3DWX8,1,0,1,2
Q9H4G4,1,1,0,2
O43149,1,0,0,1
O14798,1,1,0,2
Q5T1S8,1,0,0,1
Q9UJZ1,1,0,0,1
A0A286YFJ8,0,0,1,1
P51148,1,1,0,2
A0A087WYC5,1,0,0,1
P45974,1,0,0,1
P52209,1,1,0,2
A1Z1Q3,1,0,0,1
A0A087WSY5,0,0,1,1
A0A0C4DFP6,0,0,1,1
P61978,1,1,0,2
Q9UNF1,1,0,0,1
A0A087X0R6,1,0,0,1
J3KNF6,1,0,1,2
P13686,1,0,0,1
Q92484,1,1,0,2
P63104,1,1,1,3
P49189,1,1,0,2
Q9BSG5,0,1,0,1
P15692,0,1,0,1
A0A087X0T3,1,0,0,1
Q7L5L3,0,1,0,1
A8MVW0,1,0,0,1
Q6P435,0,1,0,1
P22004,1,1,1,3
P19338,1,0,0,1
P27701,1,1,0,2
Q8IYB0,0,1,0,1
Q9UKY7,1,0,0,1
H0YI30,0,0,1,1
O75074,1,0,0,1
P78318,1,0,0,1
P10412,1,0,0,1
F6SYP7,0,0,1,1
A0A0A0MTI5,0,0,1,1
B4DKD2,0,0,1,1
P01876,1,0,0,1
Q8WWX9,1,0,0,1
Q4LDE5,0,1,0,1
P01860,0,0,1,1
Q8TAL6,1,1,0,2
O95865,1,1,0,2
P12429,1,0,0,1
P14384,1,1,0,2
E9PFW3,1,0,0,1
P09936,1,1,0,2
P03952,0,1,0,1
Q96FQ6,0,1,0,1
A0A0C4DGY8,0,0,1,1
A0A087X0M8,1,0,1,2
Q9Y3B8,1,1,0,2
P98164,1,1,0,2
Q15063,1,1,0,2
P13747,0,1,0,1
Q9UNA0,1,0,0,1
P00813,1,0,0,1
Q16775,1,1,0,2
O75368,1,1,1,3
A6NLU5,1,1,1,3
Q02252,1,0,0,1
P06753,1,1,0,2
Q92626,0,1,0,1
H7C5R1,0,0,1,1
P07996,1,1,1,3
Q14894,1,1,1,3
P36896,1,1,0,2
Q9UBS9,1,1,0,2
Q08722,1,1,0,2
A0A0A0MT69,0,0,1,1
P52803,1,1,0,2
O43736,1,0,0,1
O14672,1,1,1,3
O00764,1,0,0,1
P14209,1,1,1,3
P35916,1,1,0,2
O43897,0,1,0,1
O95989,1,1,0,2
A0A0A0MRZ8,0,0,1,1
P15328,1,1,0,2
Q8N1Y9,0,1,0,1
P80511,1,0,0,1
P20742,1,1,1,3
P60953,1,1,0,2
E7ETC2,0,0,1,1
Q6ZVQ6,0,1,0,1
P48163,1,1,1,3
P16144,1,1,0,2
P56705,0,1,0,1
P09912,1,0,0,1
Q96PQ0,1,1,1,3
P05543,1,1,1,3
P55058,1,1,1,3
A8MWP4,0,1,0,1
P0DOY3,0,0,1,1
Q15223,1,0,1,2
