UniProt;HBFP_Begcevic2016;HBFP_Borg2011;HBFP_Guldbr2014;HBFP_Guo2015;HBFP_Hu2014;HBFP_Macron2018;HBFP_Mouton2010;HBFP_Pan2006;HBFP_Pan2007;HBFP_Schutzer2010;HBFP_Schutzer2011;HBFP_Zhao2018;Bader2020_s005Berlincontrol;Bader2020_s005Germanycontrol;Bader2020_s005Swedencontrol;Dayon2019_tableS3;Higg2020_S2_TableS2A;Higg2020_S2_TableS2H;Higg2020_S2_TableS2I;Macron2018_IdMP_TableS1;Macron2020_mmc2_TableS1;McKetney2021_tableS3_comm;McKetney2021_tableS3_samples;NunezGalindo2015_si004;Sathe2019_tableS3_ct;Schilde2018_S2;Stoop2010_supp3_proteins;Tijms2020_supp8_tableS2;Zhang2015_supp1;max_peptides;count_datasets;datasets_2pept
A0A024QZX5;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;1;3;0
A0A024R0T9;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;1;3;0
A0A024R0X1;;;;;;;;;;;;;;;;;;;;;;;;15;37;;;;;37;2;2
A0A024R3B9;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;1;3;0
A0A024R3W6;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;1;3;0
A0A024R4M0;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;1;0
A0A024R571;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;1;0
A0A024R644;;;;;;;;;;;;;1;1;1;;1;;;;;;;;;;;;;1;4;0
A0A024R6I7;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;1;0
A0A024RA52;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;1;0
A0A024RA55;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;4;1;1
A0A024RAL1;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;2;1;1
A0A075B6H7;;;;;;;;;2;;;;1;1;1;;;;;;;1;;;;;;;;2;5;1
A0A075B6H9;;;;;;;;;;;;;1;1;1;;;;;;;1;1;;;;;;;1;5;0
A0A075B6I0;;;;;;;;;2;;;;1;1;1;;;1;;;;1;;;;;;;;2;6;1
A0A075B6I1;;;;;;;;;;;;;1;1;1;;;;;;;1;;;;;;;;1;4;0
A0A075B6I6;;;;;;;;;3;;;;1;1;1;;;;;;;;;;;;;;;3;4;1
A0A075B6I8;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;1;0
A0A075B6I9;;;;;;;;;;;;;1;1;1;;;;;;;1;1;;;;;;;1;5;0
A0A075B6J1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;1;0
A0A075B6J4;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;1;0
A0A075B6J9;;;;;;;;;;;;;1;1;1;;;;;;;1;1;;;;;;;1;5;0
A0A075B6K0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;0
A0A075B6K4;;;;;;;;;5;;;;1;1;1;;;;;;;1;1;;;;;1;;5;7;1
A0A075B6K5;;;;;;;;;;;;;1;1;1;;;;;;;1;;;;;;1;;1;5;0
A0A075B6K6;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;1;0
A0A075B6K9;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;1;0
A0A075B6L0;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;1;2;0
A0A075B6N7;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;1;0
A0A075B6P5;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;1;3;0
A0A075B6Q5;;;;;;;;;;;;;1;1;1;;;;;;;1;;;;;;;;1;4;0
A0A075B6R2;;;;;;;;;;;;;1;1;1;;;;;;;1;;;;;;;;1;4;0
A0A075B6R9;;;;;;;;;;;;;1;1;1;;1;;;;;1;1;;;;;;;1;6;0
A0A075B6S2;;;;;;;;;;;;;1;1;1;;;;;;;1;1;;;;;1;;1;6;0
A0A075B6S3;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;1;0
A0A075B6S4;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;1;0
A0A075B6S5;;;;;;;;;2;;;;1;1;1;;;;;;;1;;;;;;;;2;5;1
A0A075B6S6;;;;;;;;;;;;;;;;;;;;;;1;;;;2;;;;2;2;1
A0A075B6S8;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;1;2;0
A0A075B6S9;;;;;;;;;;;;;1;1;1;;;;;;;1;;;;;;;;1;4;0
A0A075B7B8;;;;;;;;;;;;;1;1;1;;1;1;1;;;1;1;;;;;;;1;8;0
A0A075B7D0;;;;;;;;;;;;;1;1;1;;;;;;;1;;;;;;;;1;4;0
A0A075B7D8;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;1;2;0
A0A087WSV8;;;;;;;;;;;;;1;1;1;;1;;;;;;;;;;;;;1;4;0
A0A087WSW9;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;1;3;0
A0A087WSY4;;;;;;;;;;;;;1;1;1;;;;;;;1;;;;;;;;1;4;0
A0A087WSY5;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;1;3;0
A0A087WSY6;;;;;;;;;2;;;;1;1;1;;;;;;;;;;;;;;;2;4;1
A0A087WSZ0;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;1;3;0
A0A087WT05;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;1;0
A0A087WTA1;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;1;3;0
A0A087WTA8;;;;;;;;;;;;;1;1;1;;;1;1;;;1;1;;;;;;;1;7;0
A0A087WTB5;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;1;2;0
