Uniprot,#Studies
P04217,3
P01023,3
Q7Z5M8,1
Q9BUJ0,1
P60709,2
P68032,1
Q8TDG2,1
P00813,1
O14672,1
Q9P0K1,3
Q9UHI8,2
O75173,1
O60241,2
O94910,3
Q9HAR2,1
Q8IUX7,2
P43652,3
O00468,3
P01019,3
Q5TGY3,1
Q8IVF2,2
P02765,2
P02768,3
Q13740,3
P04075,2
P09972,3
P02760,3
Q9Y2J4,1
P04745,2
P03950,2
Q01484,1
P04083,1
P08133,1
P51693,3
Q06481,3
P02647,3
P02652,3
P06727,3
P04114,2
P02654,1
P02656,2
P05090,2
P02649,3
P02749,3
O14791,1
O95445,1
P05067,3
Q53QZ3,1
Q8N5I2,1
Q13508,2
Q9ULH1,1
Q76L83,1
P50993,1
Q15904,3
O75787,1
O75882,2
P30530,3
P25311,3
P61769,2
Q9NY97,2
P15291,1
O43505,3
Q6UXY1,1
Q13145,1
P80723,3
Q96GW7,3
P35613,2
P43251,2
Q86VG3,1
Q9H741,1
Q6UX73,2
P02745,3
P02746,3
P02747,3
P00736,3
Q9NZP8,2
P09871,3
P06681,3
Q9H1Z8,2
P01024,3
P0C0L4,2
P0C0L5,3
P04003,1
Q5BLP8,2
P01031,3
P13671,3
P10643,3
P07357,3
P07358,3
P07360,3
P02748,3
P00915,2
O75493,1
Q5VU97,2
P54289,2
Q9BY67,3
Q8N3J6,3
Q8N126,3
Q8NFZ8,3
P05937,2
P27797,3
Q9NYX4,2
Q9UQM7,1
Q13554,1
Q8WVQ1,2
Q14444,1
Q16568,2
Q6UXS9,1
Q6UW01,1
Q9NTU7,1
Q3MJ40,1
Q8IYE0,1
Q4G0X9,1
P06307,2
Q16627,2
P08571,3
Q86VB7,3
P20273,1
Q9HCU0,1
P16070,2
P08174,1
P13987,3
O43866,1
P04233,2
P21926,1
Q8TCZ2,3
Q99459,1
Q9Y6N8,1
P55290,2
P55291,2
P19022,3
P55283,2
P33151,1
P55285,2
Q96SZ6,1
Q9HCU4,2
O15078,1
P00751,2
P00746,3
P08603,3
Q03591,2
P36980,2
P05156,3
Q99674,2
P10645,3
P05060,3
P36222,3
Q15782,2
O00533,3
Q9H2X0,2
Q9BU40,2
O43529,1
O75122,1
P51795,1
Q9Y240,2
P05452,3
P30622,1
O75503,1
O94985,3
Q9BQT9,2
P10909,3
Q96KN2,3
Q14028,1
P26992,2
Q12860,3
Q02246,3
Q8IWV2,2
Q9UHC6,2
Q9C0A0,2
O43405,1
P39060,2
P02452,3
P08123,3
Q96A83,1
P02461,2
P12109,3
P12111,2
Q5KU26,2
P00450,3
Q96IY4,2
P16870,3
P22792,2
Q9Y646,3
Q9H3G5,2
Q96HD1,1
Q9UBG3,1
P02741,2
Q9NQ79,3
P55060,2
P09603,2
P07333,3
O95196,2
P01037,1
P01034,3
Q15828,1
Q8IX94,1
Q01459,2
P07858,2
P53634,2
P07339,3
Q9UBX1,2
P09668,3
P07711,2
Q9UBR2,2
Q13616,1
O60888,3
Q9H2A7,2
P99999,3
P19099,1
Q14118,3
P07108,2
P43146,1
P81605,2
P07585,3
Q8NHQ9,1
Q9UBP4,3
Q8TE73,1
Q8NFT8,2
Q9UHL4,2
Q07507,1
Q02487,1
Q02413,1
A0AVK6,1
Q16610,3
O94769,2
Q12805,3
O95967,1
P52799,2
O94919,3
P06733,2
P09104,2
Q13822,3
P11171,1
P54764,3
P54756,2
Q15375,1
Q96RT1,1
Q9UBQ6,1
P00742,3
P00748,3
P05160,2
P00734,3
P12259,2
P00740,2
Q7Z5A9,1
Q8N3H0,1
Q96MK3,1
Q92520,3
Q9NYQ8,2
P23142,3
P98095,1
Q9UBX5,1
Q53RD9,1
P35555,2
Q9Y6R7,3
P08637,1
Q9UGM5,2
P02671,3
P02675,2
P11362,1
P21802,2
P22607,1
P02679,2
Q14314,2
P62942,1
Q06828,2
P02751,3
Q5SYB0,1
Q5JV73,2
Q9P0K9,1
Q92765,2
Q12841,2
Q6MZW2,2
Q8N475,2
P04066,2
Q9BTY2,2
Q14376,1
Q86SR1,2
Q86SF2,2
Q14697,1
P17677,1
P04406,2
Q14393,1
P02774,3
Q9Y2T3,2
O00451,2
Q92820,2
Q9Y6H8,1
P17900,3
Q9UJJ9,3
O00461,2
Q8NBJ4,2
P17174,2
P35052,1
P80108,1
Q5T848,2
O15354,2
O60883,2
P22352,3
P48058,2
P06396,3
P09211,2
Q14520,2
P69905,2
P68871,2
P02042,2
Q96DB2,1
P06865,2
P07686,1
Q96KK5,1
O60814,1
P62805,1
P22626,1
P00738,2
P00739,2
P02790,3
P04196,3
Q8IZP7,2
Q99714,1
P11021,2
P98160,3
Q92743,2
P04806,1
Q9Y4L1,2
O75144,2
P22304,2
P01344,3
P35858,2
P18065,3
P22692,2
P24593,2
P24592,3
Q16270,3
P01876,2
P01877,2
P01880,1
P01857,2
P01859,2
P01860,2
P01861,2
P01871,2
P04220,2
P23083,2
P01743,2
P01814,2
P01762,1
P01766,2
P01768,2
P01772,1
P01763,2
P01767,2
P01780,1
P01781,2
P06331,1
P01824,2
P01834,2
P01594,1
P01597,2
P01602,2
P01611,1
P06310,2
P01615,1
P04433,2
P01624,1
P01619,2
P15814,1
B9A064,1
A6NGN9,2
P01701,1
P01714,2
P80748,2
P01717,1
P04211,1
P80419,1
P01622,1
P01620,2
P04209,1
P01702,1
P04434,1
P01610,2
P01625,2
P01608,1
P01617,2
P01596,1
P01621,1
P01609,1
P01616,1
P04208,1
P01779,1
P01605,2
P01612,1
P04206,1
P01776,1
P01613,2
P01769,2
P0CG05,1
P01765,1
P01598,2
P01771,1
Q6WRI0,1
Q96ID5,1
Q969P0,2
Q9HB29,1
P40189,3
Q9NX62,2
O95373,1
O14498,3
P56199,1
P26006,1
P19827,3
P19823,3
Q14624,3
Q86UX2,2
Q9Y287,3
P23458,1
P57087,1
P01591,1
Q15046,1
Q8WVF5,1
Q5VYK3,1
P10721,2
O95198,1
Q9UBX7,2
Q92876,3
P03952,3
P01042,3
Q5T749,1
P04264,3
P13645,3
P13646,1
P02533,3
P08779,3
Q04695,1
P35908,3
Q15323,2
P19013,1
