Uniprot,#Peptides_Macron2018A,#Peptides_Macron2020,#Peptides_Zhang2015,#Peptides_Guldbrandsen2014,#Peptides_Macron2018B,#Peptides_Schutzer2010,#Peptides_NunezGalindo2015,#Peptides_Zougman2007,#Peptides_Schilde2018,#Peptides_Guo2015,#Peptides_Stoop2010,#Studies
Q6K0P9,2.0,,,,,,,,,,,1
Q9GZZ8,1.0,3.0,,,,,,,,,,2
P09529,3.0,3.0,4.0,4.0,1.0,,,,,,,5
P61019,2.0,3.0,,,2.0,,,,,,,3
Q9GZX9,4.0,4.0,3.0,3.0,4.0,5.0,,,,,,6
Q9GZX3,3.0,2.0,5.0,4.0,1.0,,,,,,,5
Q96RP7,5.0,5.0,5.0,,2.0,,,,,,,4
O43516,3.0,4.0,,,1.0,,,,,,,3
C9JJH3,1.0,,,,,,,,,,,1
Q9GZV7,6.0,8.0,5.0,2.0,4.0,,,,,,,5
Q9GZT8,3.0,2.0,8.0,6.0,2.0,,,,,,,5
O15240,80.0,87.0,31.0,63.0,45.0,121.0,22.0,,16.0,26.0,7.0,10
Q9NWV4,1.0,,,3.0,1.0,1.0,,,,,,4
Q96A44,1.0,,,,,,,,,,,1
O15230,24.0,42.0,54.0,46.0,13.0,12.0,,,,,,6
Q9NX62,10.0,8.0,16.0,27.0,9.0,19.0,5.0,,6.0,10.0,,9
A6NCE7,2.0,3.0,2.0,,1.0,,,,,,,4
Q13177,2.0,3.0,,,,,,,,,,2
Q9GZP1,3.0,3.0,,1.0,1.0,,,,,,,4
Q9GZP0,2.0,2.0,6.0,1.0,,2.0,,,,,,5
Q96A83,1.0,3.0,,,2.0,,,,,,,3
Q13153,3.0,7.0,,,1.0,2.0,,,,,,4
Q08495,4.0,2.0,,,1.0,,,,,,,3
Q9GZN2,1.0,,,,,,,,,,,1
Q68BL8,5.0,3.0,4.0,2.0,,1.0,,,,,,5
Q13145,4.0,4.0,4.0,7.0,3.0,3.0,,,,,,6
Q9NX14,1.0,,,,,,,,,,,1
Q5SSJ5,2.0,,,,,,,,,,,1
Q9Y2G5,1.0,2.0,9.0,,,,,,,,,3
Q8NCW5,6.0,5.0,9.0,6.0,3.0,,,,4.0,,,6
Q96RD7,1.0,,,,,,,,,,,1
Q71H61,2.0,4.0,,3.0,,,,,,,,3
A6NML5,1.0,,,,1.0,,,,,,,2
Q9Y2J0,5.0,2.0,5.0,6.0,1.0,2.0,,,,,,6
Q66K79,1.0,,2.0,2.0,,,,,,,,3
Q08431,7.0,10.0,16.0,11.0,6.0,7.0,,6.0,5.0,8.0,,9
Q9BU40,9.0,13.0,19.0,13.0,8.0,3.0,1.0,3.0,3.0,8.0,,10
O75477,1.0,,,1.0,,,,,,,,2
