Protein IDs;Gene name;Protein name;Unique peptides K1.1;Unique peptides K1.2;Unique peptides K1.3;Unique peptides K2.1;Unique peptides K2.2;Unique peptides K2.3;Unique peptides K5.1;Unique peptides K5.2;Unique peptides K5.3;Unique peptides K8.1;Unique peptides K8.2;Unique peptides K8.3;Unique peptides K13.1;Unique peptides K13.2;Unique peptides K13.3;Unique peptides K14.1;Unique peptides K14.2;Unique peptides K14.3;Unique peptides K26.1;Unique peptides K26.2;Unique peptides K26.3;Unique peptides K33.1;Unique peptides K33.2;Unique peptides K33.3;Unique peptides K36.1;Unique peptides K36.2;Unique peptides K36.3;Unique peptides K38.1;Unique peptides K38.2;Unique peptides K38.3;Unique peptides K39.1;Unique peptides K39.2;Unique peptides K39.3;Unique peptides K40.1;Unique peptides K40.2;Unique peptides K40.3;LFQ intensity K1.1;LFQ intensity K1.2;LFQ intensity K1.3;LFQ intensity K2.1;LFQ intensity K2.2;LFQ intensity K2.3;LFQ intensity K5.1;LFQ intensity K5.2;LFQ intensity K5.3;LFQ intensity K8.1;LFQ intensity K8.2;LFQ intensity K8.3;LFQ intensity K13.1;LFQ intensity K13.2;LFQ intensity K13.3;LFQ intensity K14.1;LFQ intensity K14.2;LFQ intensity K14.3;LFQ intensity K26.1;LFQ intensity K26.2;LFQ intensity K26.3;LFQ intensity K33.1;LFQ intensity K33.2;LFQ intensity K33.3;LFQ intensity K36.1;LFQ intensity K36.2;LFQ intensity K36.3;LFQ intensity K38.1;LFQ intensity K38.2;LFQ intensity K38.3;LFQ intensity K39.1;LFQ intensity K39.2;LFQ intensity K39.3;LFQ intensity K40.1;LFQ intensity K40.2;LFQ intensity 40.3
A0A075B6S6;IGKV2D-30;Ig kappa chain V-II region RPMI 6410;1;1;1;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;0;0;0;93544000;89555000;65314000;90115000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;123800000;0;0;0;0;0;0;0
A0A0A0MS15;IGHV3-49;;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15237000;0;0
A0A0B4J1U7;IGHV6-1;;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;3;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18752000;27609000;30311000;0;0;0;0;0;0
A0A0C4DH38;IGHV5-51;;2;2;2;3;3;2;2;2;3;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;3;2;2;3;2;2;2;3;2;2;3;2;36;19598000;12719000;22862000;12300000;11190000;21844000;12679000;14814000;10593000;6425600;7818600;13653000;7879300;7566900;11675000;29035000;24402000;13514000;20751000;27997000;16877000;29402000;23297000;32184000;26246000;21838000;24571000;15917000;10677000;14375000;42018000;40429000;39269000;26309000;21864000
A0A0C4DH68;IGKV2-24;;1;1;1;2;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;12933000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A0A0C4DH73;IGKV1-12;Ig kappa chain V-I region Wes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37589000;35017000;32293000;0;0;0
A6NLU5;VSTM2B;V-set and transmembrane domain-containing protein 2B;1;1;1;2;1;1;1;1;1;2;2;1;2;2;1;1;1;1;2;3;2;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;0;0;0;6557200;0;0;0;0;0;7073600;9093800;0;10894000;7808400;0;0;0;0;8527000;8698200;7648800;0;0;0;0;0;0;6489200;0;0;0;0;6865900;0;0;0
O00391;QSOX1;Sulfhydryl oxidase 1;7;9;4;6;7;7;10;5;8;11;10;6;7;10;8;4;4;6;10;7;9;10;7;6;8;8;6;9;8;5;5;8;5;5;5;8;24411000;18702000;17943000;20235000;15833000;17543000;21484000;20384000;20549000;23311000;24315000;21761000;25393000;23796000;21970000;17956000;17758000;16834000;21956000;20734000;20918000;19532000;15889000;18538000;18037000;16382000;20330000;18498000;23819000;17682000;20213000;17346000;16715000;18051000;17574000;16386000
O00451;GFRA2;GDNF family receptor alpha-2;1;2;1;3;2;2;2;2;2;2;2;2;2;2;3;1;2;1;2;2;2;1;1;1;1;2;2;1;1;1;1;1;1;0;1;2;0;3776800;0;6418000;9172400;5890000;4805600;5467400;3752700;7456400;6681500;7179200;6660100;6090500;5216600;0;2832700;0;5820800;5213900;6075900;0;0;0;0;3687400;3723600;0;0;0;0;0;0;0;0;3688200
O00461;GOLIM4;Golgi integral membrane protein 4;1;0;0;1;1;2;0;0;0;2;1;1;1;1;1;0;0;0;1;0;0;1;0;1;0;1;0;1;0;1;1;0;1;0;0;1;0;0;0;0;0;2959500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
