Table S2A. CSF Discovery Differential Expression by T-Test Analysis ;;;;;
       Yellow shaded proteins (n=65) were used in cluster analysis of Figure 1D.  ;;;;;
"       Abbreviations: BH, Benjamini-Hochberg; FDR, False Discovery Rate ";;;;;
;;;;;
Protein ID;Gene Symbol;Brain Module;T-Test CT vs AD;;Log2 Difference
;;;p Value;BH FDR;AD-CT
GDI1|P31150;GDI1;yellow;1,5E-10;4,4E-07;0,294
YWHAZ|P63104;YWHAZ;turquoise;1,3E-09;1,9E-06;0,578
YWHAG|P61981;YWHAG;brown;3,1E-09;2,8E-06;0,441
SCRN1|Q12765-2;SCRN1;green;3,9E-09;2,8E-06;0,351
SMOC1|Q9H4F8-2;SMOC1;lightgreen;6,9E-09;3,8E-06;0,318
PKM|P14618-2;PKM;darkolivegreen;7,9E-09;3,8E-06;0,326
SUMO3|A8MU27;SUMO3;mediumpurple3;1,7E-08;7,0E-06;0,344
GDA|Q9Y2T3-3;GDA;turquoise;2,3E-08;8,4E-06;0,438
CRK|P46108;CRK;green;2,8E-08;8,8E-06;0,317
MAPT|P10636;MAPT;lightgreen;3,5E-08;9,7E-06;0,438
ITGB2|P05107;ITGB2;pink;3,7E-08;9,7E-06;0,293
GGCT|O75223;GGCT;turquoise;2,1E-07;5,0E-05;0,323
ALDOA|P04075-2;ALDOA;plum1;2,7E-07;5,9E-05;0,238
GLOD4|Q9HC38-2;GLOD4;green;3,5E-07;7,3E-05;0,192
CALM2|E7EMB3;CALM2;brown;3,8E-07;7,3E-05;0,318
NTN1|O95631;NTN1;lightgreen;5,9E-07;1,1E-04;0,364
ENOPH1|Q9UHY7;ENOPH1;blue;7,7E-07;1,3E-04;0,308
SKAP1|Q86WV1;SKAP1;NA;8,3E-07;1,3E-04;0,512
PPP3R1|D3YTA9;PPP3R1;turquoise;8,5E-07;1,3E-04;0,237
LAMP5|Q9UJQ1;LAMP5;turquoise;1,1E-06;1,6E-04;0,204
NEDD8-MDP1|E9PL57;NEDD8-MDP1;plum1;1,4E-06;1,9E-04;0,408
DDAH1|O94760;DDAH1;blue;1,5E-06;2,0E-04;0,206
DYNC1I1|O14576;DYNC1I1;brown;1,6E-06;2,0E-04;0,331
ME1|P48163;ME1;skyblue3;1,8E-06;2,2E-04;0,182
YWHAE|P62258;YWHAE;grey;1,9E-06;2,2E-04;0,359
ITGAM|P11215-2;ITGAM;steelblue;2,0E-06;2,3E-04;0,320
PGAM1|P18669;PGAM1;darkolivegreen;2,2E-06;2,3E-04;0,256
CAMK2G|Q13555-6;CAMK2G;grey;3,1E-06;3,2E-04;0,166
SLC2A13|Q96QE2;SLC2A13;orange;4,1E-06;4,0E-04;0,247
CHI3L1|P36222;CHI3L1;grey;4,4E-06;4,3E-04;0,382
MARCKS|P29966;MARCKS;lightgreen;5,3E-06;4,9E-04;0,182
MDH1|P40925-3;MDH1;darkolivegreen;5,7E-06;5,1E-04;0,284
GSS|P48637;GSS;blue;6,6E-06;5,7E-04;0,158
GOT1|P17174;GOT1;darkolivegreen;6,7E-06;5,7E-04;0,222
TXNRD1|Q16881;TXNRD1;saddlebrown;7,4E-06;6,1E-04;0,187
BSN|Q9UPA5;BSN;turquoise;8,2E-06;6,3E-04;0,511
NUDT3|O95989;NUDT3;blue;8,3E-06;6,3E-04;0,200
PEBP1|P30086;PEBP1;yellow;8,4E-06;6,3E-04;0,182
DTD1|Q8TEA8;DTD1;turquoise;1,0E-05;7,4E-04;0,205
PDCD5|O14737-2;PDCD5;floralwhite;1,3E-05;9,4E-04;0,200
GSR|P00390;GSR;midnightblue;1,4E-05;9,5E-04;0,172
GAP43|P17677-2;GAP43;turquoise;1,5E-05;1,0E-03;0,363
STMN1|P16949;STMN1;grey;1,5E-05;1,0E-03;0,214
PGK1|P00558;PGK1;darkolivegreen;1,6E-05;1,0E-03;0,252
FABP3|P05413;FABP3;floralwhite;2,0E-05;1,3E-03;0,392
GNPDA1|P46926;GNPDA1;steelblue;2,1E-05;1,3E-03;0,220
GDI2|P50395;GDI2;yellow;2,1E-05;1,3E-03;0,171
PPP5C|P53041;PPP5C;turquoise;2,3E-05;1,4E-03;0,197
YWHAB|P31946;YWHAB;turquoise;2,6E-05;1,5E-03;0,311
RAP1GAP|X6R8W7;RAP1GAP;turquoise;2,6E-05;1,5E-03;0,298
AKAP12|Q02952;AKAP12;blue;2,9E-05;1,6E-03;0,273
NME1|P15531-2;NME1;plum1;3,0E-05;1,6E-03;0,384
ISLR|O14498;ISLR;grey;4,1E-05;2,2E-03;-0,204
NPEPPS|P55786;NPEPPS;grey;4,4E-05;2,3E-03;0,150
PDXP|Q96GD0;PDXP;turquoise;4,5E-05;2,4E-03;0,237
ENO1|P06733;ENO1;green;4,8E-05;2,5E-03;0,231
PDLIM5|Q96HC4;PDLIM5;lightgreen;5,0E-05;2,5E-03;0,295
PEA15|Q15121-2;PEA15;darkgrey;6,2E-05;3,1E-03;0,192
CD74|H0YBZ2;CD74;darkred;6,5E-05;3,2E-03;-0,185
TCEAL6|Q6IPX3;TCEAL6;brown;6,8E-05;3,2E-03;0,374
ENSA|Q5T5H1;ENSA;tan;6,9E-05;3,2E-03;0,283
SH3BGRL3|A0A087WV23;SH3BGRL3;grey;7,0E-05;3,2E-03;0,202
PPIA|P62937;PPIA;blue;7,7E-05;3,5E-03;0,216
MAP7D1|Q3KQU3;MAP7D1;turquoise;8,0E-05;3,6E-03;0,495
HPRT1|P00492;HPRT1;turquoise;8,7E-05;3,9E-03;0,239
PRDX3|P30048;PRDX3;brown;1,1E-04;5,0E-03;0,145
ARL8B|Q9NVJ2;ARL8B;yellow;1,2E-04;5,1E-03;-0,128
SUMO2|P61956;SUMO2;mediumpurple3;1,2E-04;5,2E-03;0,250
UCHL1|P09936;UCHL1;turquoise;1,3E-04;5,5E-03;0,352
ARPP21|Q9UBL0-3;ARPP21;plum1;1,3E-04;5,5E-03;0,324
TPT1|A0A0B4J2C3;TPT1;purple;1,5E-04;6,1E-03;0,154
GABARAPL1|Q9H0R8-2;GABARAPL1;grey;1,6E-04;6,6E-03;0,229
FKBP1A|P62942;FKBP1A;brown;1,7E-04;6,6E-03;0,160
PARK7|Q99497;PARK7;green;1,8E-04;7,0E-03;0,158
PITHD1|Q9GZP4;PITHD1;grey;2,0E-04;7,8E-03;0,163
MAP1B|P46821;MAP1B;purple;2,1E-04;7,8E-03;0,404
GSN|P06396;GSN;blue;2,1E-04;7,8E-03;-0,216
BABAM1|Q9NWV8;BABAM1;turquoise;2,3E-04;8,5E-03;0,267
MINPP1|Q9UNW1;MINPP1;grey;2,4E-04;8,8E-03;-0,262
PKIA|P61925;PKIA;tan;2,5E-04;8,9E-03;0,287
ARSG|Q96EG1;ARSG;NA;2,8E-04;1,0E-02;-0,365
AHSG|P02765;AHSG;red;2,9E-04;1,0E-02;-0,396
OSTM1|Q86WC4;OSTM1;darkred;3,0E-04;1,1E-02;0,229
PLXDC1|Q8IUK5;PLXDC1;NA;3,3E-04;1,1E-02;-0,091
TMEM115|Q12893;TMEM115;NA;3,3E-04;1,1E-02;0,237
RAD23B|P54727;RAD23B;darkorange;3,4E-04;1,1E-02;0,159
C19orf26|Q8N350;C19orf26;turquoise;3,4E-04;1,1E-02;0,455
SOD2|A0A0C4DFU2;SOD2;grey;3,4E-04;1,1E-02;0,155
NRGN|Q92686;NRGN;tan;3,4E-04;1,1E-02;0,325
BASP1|P80723;BASP1;turquoise;3,4E-04;1,1E-02;0,340
DNAJA2|O60884;DNAJA2;darkolivegreen;3,6E-04;1,1E-02;0,226
RTN4|Q9NQC3;RTN4;purple;3,7E-04;1,2E-02;0,174
MPI|P34949;MPI;blue;3,8E-04;1,2E-02;0,169
CDV3|Q9UKY7;CDV3;tan;3,8E-04;1,2E-02;0,120
ASRGL1|Q7L266;ASRGL1;lightsteelblue1;3,8E-04;1,2E-02;0,181
SCGB2A2|Q6NX70;SCGB2A2;NA;3,9E-04;1,2E-02;0,495
IL1RN|P18510-3;IL1RN;NA;3,9E-04;1,2E-02;0,443
OR3A2|P47893;OR3A2;NA;4,1E-04;1,2E-02;0,236
PGLYRP2|Q96PD5-2;PGLYRP2;NA;4,2E-04;1,2E-02;-0,395
BSCL2|J3KQ12;BSCL2;turquoise;4,3E-04;1,2E-02;0,211
NECAB1|Q8N987;NECAB1;turquoise;4,4E-04;1,3E-02;0,252
GNPDA2|Q8TDQ7;GNPDA2;grey;4,6E-04;1,3E-02;0,193
NECAP1|Q8NC96;NECAP1;tan;4,9E-04;1,4E-02;0,214
MANF|P55145;MANF;floralwhite;4,9E-04;1,4E-02;0,111
UBC|F5H265;UBC;pink;5,2E-04;1,4E-02;0,162
MAPRE2|Q15555;MAPRE2;salmon;5,3E-04;1,4E-02;0,199
SCN2B|O60939;SCN2B;turquoise;5,5E-04;1,5E-02;0,186
C1QL3|Q5VWW1;C1QL3;turquoise;6,1E-04;1,6E-02;0,214
GPI|A0A0A0MTS2;GPI;plum1;6,1E-04;1,6E-02;0,282
AGRN|O00468-6;AGRN;saddlebrown;6,1E-04;1,6E-02;-0,096
LOC285556|D6RIA3;LOC285556;NA;6,1E-04;1,6E-02;0,844
SH3BGRL|O75368;SH3BGRL;darkgrey;6,2E-04;1,6E-02;0,192
TWF2|Q6IBS0;TWF2;turquoise;6,2E-04;1,6E-02;0,143
AQP4|P55087;AQP4;blue;6,4E-04;1,6E-02;0,185
MAP2|P11137;MAP2;tan;6,4E-04;1,6E-02;0,302
LASP1|Q14847;LASP1;tan;6,8E-04;1,7E-02;0,145
COL6A3|C9JNG9;COL6A3;red;6,9E-04;1,7E-02;-0,169
HN1|Q9UK76-2;HN1;tan;7,2E-04;1,7E-02;0,190
AP1B1|Q10567-3;AP1B1;orange;7,6E-04;1,8E-02;0,121
B3GNT8|Q7Z7M8;B3GNT8;NA;7,9E-04;1,9E-02;-0,203
MAP1LC3B2|A6NCE7;MAP1LC3B2;darkolivegreen;8,1E-04;1,9E-02;0,162
AHSA1|O95433;AHSA1;grey;8,4E-04;2,0E-02;0,160
TAC1|P20366;TAC1;yellowgreen;8,9E-04;2,1E-02;-0,231
SOD1|P00441;SOD1;blue;9,0E-04;2,1E-02;0,169
ENO2|P09104;ENO2;darkolivegreen;9,1E-04;2,1E-02;0,169
QSOX2|Q6ZRP7;QSOX2;NA;9,3E-04;2,1E-02;-0,201
NPTXR|O95502;NPTXR;turquoise;9,4E-04;2,1E-02;-0,191
SH3BGRL2|Q9UJC5;SH3BGRL2;brown;9,7E-04;2,2E-02;0,303
EIF4B|E7EX17;EIF4B;plum1;9,9E-04;2,2E-02;0,238
NECAB2|Q7Z6G3;NECAB2;turquoise;1,0E-03;2,3E-02;0,317
MIEN1|Q9BRT3;MIEN1;salmon;1,1E-03;2,3E-02;0,170
TAGLN3|A0A087WWB6;TAGLN3;turquoise;1,1E-03;2,3E-02;0,200
FETUB|Q9UGM5;FETUB;NA;1,1E-03;2,3E-02;-0,455
AKR1A1|P14550;AKR1A1;green;1,1E-03;2,4E-02;0,144
CANT1|Q8WVQ1;CANT1;NA;1,2E-03;2,5E-02;-0,130
SPTY2D1|Q68D10;SPTY2D1;NA;1,2E-03;2,5E-02;0,307
SCGB1D2|O95969;SCGB1D2;NA;1,2E-03;2,5E-02;0,391
SERPIND1|P05546;SERPIND1;sienna3;1,2E-03;2,6E-02;-0,277
DNAJB2|P25686;DNAJB2;plum1;1,3E-03;2,7E-02;0,171
PTPRN2|Q92932-2;PTPRN2;turquoise;1,4E-03;2,8E-02;-0,200
OGN|P20774;OGN;red;1,4E-03;2,8E-02;-0,216
POMC|P01189;POMC;NA;1,4E-03;2,8E-02;-0,244
HEBP2|Q9Y5Z4;HEBP2;green;1,4E-03;2,8E-02;0,177
NPY|P01303;NPY;yellowgreen;1,4E-03;2,8E-02;-0,247
GABARAPL2|P60520;GABARAPL2;plum1;1,5E-03;2,9E-02;0,129
CDS2|O95674;CDS2;turquoise;1,5E-03;2,9E-02;0,203
SUMO4|Q6EEV6;SUMO4;darkolivegreen;1,5E-03;2,9E-02;0,221
RTN1|Q16799;RTN1;tan;1,6E-03;3,0E-02;0,215
DNAJB4|Q9UDY4;DNAJB4;brown;1,6E-03;3,1E-02;0,199
NPTX2|P47972;NPTX2;turquoise;1,7E-03;3,2E-02;-0,283
C1RL|Q9NZP8;C1RL;NA;1,7E-03;3,2E-02;-0,223
TMEFF2|Q9UIK5;TMEFF2;yellowgreen;1,7E-03;3,2E-02;0,151
CHGB|P05060;CHGB;tan;1,7E-03;3,2E-02;-0,161
EPB41L1|Q9H4G0;EPB41L1;turquoise;1,8E-03;3,3E-02;0,274
F9|P00740;F9;NA;1,8E-03;3,3E-02;-0,266
SSPN|Q14714;SSPN;NA;1,8E-03;3,3E-02;0,282
BLMH|Q13867;BLMH;salmon;1,8E-03;3,4E-02;0,127
HSPA4|P34932;HSPA4;darkolivegreen;1,9E-03;3,4E-02;0,173
FN1|P02751-15;FN1;red;1,9E-03;3,5E-02;-0,144
AKR1B1|P15121;AKR1B1;green;2,0E-03;3,6E-02;0,166
CAMK2B|Q13554;CAMK2B;turquoise;2,1E-03;3,8E-02;0,107
C16orf89|Q6UX73;C16orf89;NA;2,2E-03;3,8E-02;-0,190
CAMK2D|E9PBG7;CAMK2D;turquoise;2,2E-03;3,9E-02;0,119
TMED3|Q9Y3Q3;TMED3;NA;2,3E-03;4,0E-02;-0,196
SERPINB9|P50453;SERPINB9;lightcyan1;2,3E-03;4,0E-02;0,136
CSTB|P04080;CSTB;green;2,3E-03;4,0E-02;0,168
CLASP2|O75122-3;CLASP2;salmon;2,4E-03;4,0E-02;0,183
CTTN|Q14247;CTTN;tan;2,4E-03;4,1E-02;0,167
RNF167|Q9H6Y7;RNF167;NA;2,5E-03;4,2E-02;0,146
ZP2|Q05996;ZP2;NA;2,6E-03;4,4E-02;-0,263
APOA4|P06727;APOA4;cyan;2,7E-03;4,5E-02;-0,306
COPB2|P35606;COPB2;blue;2,7E-03;4,5E-02;0,116
APOA1BP|Q8NCW5;APOA1BP;grey;2,7E-03;4,5E-02;0,175
TXN2|Q99757;TXN2;brown;2,7E-03;4,5E-02;0,180
IDI1|Q13907-2;IDI1;black;2,8E-03;4,5E-02;0,237
PTMS|P20962;PTMS;grey;2,8E-03;4,6E-02;0,177
CCDC112|Q8NEF3-2;CCDC112;NA;2,9E-03;4,7E-02;-0,149
