No.	UniProtKB ID	Entry Name	Organism	Gene Name
1	P12821	ACE_HUMAN	Homo sapiens (Human)	ACE
2	Q9BYF1	ACE2_HUMAN	Homo sapiens (Human)	ACE2
3	P22303	ACES_HUMAN	Homo sapiens (Human)	ACHE
4	O14672	ADA10_HUMAN	Homo sapiens (Human)	ADAM10
5	Q13444	ADA15_HUMAN	Homo sapiens (Human)	ADAM15
6	Q9H013	ADA19_HUMAN	Homo sapiens (Human)	ADAM19
7	Q9UKQ2	ADA28_HUMAN	Homo sapiens (Human)	ADAM28
8	P78325	ADAM8_HUMAN	Homo sapiens (Human)	ADAM8
9	Q96PE1	AGRA2_HUMAN	Homo sapiens (Human)	ADGRA2
10	O14514	AGRB1_HUMAN	Homo sapiens (Human)	ADGRB1
11	Q9UHX3	AGRE2_HUMAN	Homo sapiens (Human)	ADGRE2
12	P48960	AGRE5_HUMAN	Homo sapiens (Human)	ADGRE5
13	Q9Y653	AGRG1_HUMAN	Homo sapiens (Human)	ADGRG1
14	Q86SQ4	AGRG6_HUMAN	Homo sapiens (Human)	ADGRG6
15	P08588	ADRB1_HUMAN	Homo sapiens (Human)	ADRB1
16	Q15109	RAGE_HUMAN	Homo sapiens (Human)	AGER
17	Q13740	CD166_HUMAN	Homo sapiens (Human)	ALCAM
18	P15144	AMPN_HUMAN	Homo sapiens (Human)	ANPEP
19	P04083	ANXA1_HUMAN	Homo sapiens (Human)	ANXA1
20	P07355	ANXA2_HUMAN	Homo sapiens (Human)	ANXA2
21	Q16853	AOC3_HUMAN	Homo sapiens (Human)	AOC3
22	P51693	APLP1_HUMAN	Homo sapiens (Human)	APLP1
23	Q06481	APLP2_HUMAN	Homo sapiens (Human)	APLP2
24	P05067	A4_HUMAN	Homo sapiens (Human)	APP
25	P15514	AREG_HUMAN	Homo sapiens (Human)	AREG
26	P78348	ASIC1_HUMAN	Homo sapiens (Human)	ASIC1
27	P48044	V2R_BOVIN	Bos taurus (Bovine)	AVPR2
28	P30530	UFO_HUMAN	Homo sapiens (Human)	AXL
29	O35598	ADA10_MOUSE	Mus musculus (Mouse)	Adam10
30	Q9JLN6	ADA28_MOUSE	Mus musculus (Mouse)	Adam28
31	Q05910	ADAM8_MOUSE	Mus musculus (Mouse)	Adam8
32	Q9Z0M6	AGRE5_MOUSE	Mus musculus (Mouse)	Adgre5
33	P25095	AGTRA_RAT	Rattus norvegicus (Rat)	Agtr1
34	P12023	A4_MOUSE	Mus musculus (Mouse)	App
35	P31955	AREG_MOUSE	Mus musculus (Mouse)	Areg
36	P17981	NAR2A_MOUSE	Mus musculus (Mouse)	Art2a
37	Q9CYN9	RENR_MOUSE	Mus musculus (Mouse)	Atp6ap2
38	Q00993	UFO_MOUSE	Mus musculus (Mouse)	Axl
39	P15291	B4GT1_HUMAN	Homo sapiens (Human)	B4GALT1
