From	Entry
ENSP00000333994	P68871
ENSP00000251595	P69905
ENSP00000322421	P69905
ENSP00000468500	A0A1X7SCE1
ENSP00000229239	P04406
ENSP00000299198	P12277
ENSP00000295897	P02768
ENSP00000339001	P07437
ENSP00000252244	P04264
ENSP00000284440	P09936
ENSP00000369703	Q13885
ENSP00000259818	Q9BVA1
ENSP00000481006	P60201
ENSP00000336799	P68363
ENSP00000301071	Q71U36
ENSP00000301072	Q9BQE3
ENSP00000341289	P68371
ENSP00000264071	P04350
ENSP00000458162	P63261
ENSP00000309539	Q16555
ENSP00000246662	P35527
ENSP00000380958	P02686
ENSP00000269576	P13645
ENSP00000264335	P62258
ENSP00000377470	P09543
ENSP00000248437	P68366
ENSP00000419425	P62937
ENSP00000326042	P0DPH8
ENSP00000382982	P0DPH7
ENSP00000379287	P63104
ENSP00000370010	P62328
ENSP00000318197	Q6PEY2
ENSP00000433560	P02511
ENSP00000432660	P23528
ENSP00000320295	Q13509
ENSP00000234590	P06733
ENSP00000378669	A0A2U3TZM8
ENSP00000301522	P32119
ENSP00000319281	P80723
ENSP00000261313	P30086
ENSP00000377372	P17677
ENSP00000333326	Q9NY65
ENSP00000306330	P61981
ENSP00000270142	P00441
ENSP00000451560	A0A0B4J269
ENSP00000437402	P09104
ENSP00000446007	P08670
ENSP00000320171	P14618
ENSP00000362399	P61764
ENSP00000262494	P09471
ENSP00000381736	P25705
ENSP00000410452	P16949
ENSP00000262030	P06576
ENSP00000295987	P17600
ENSP00000327070	P40926
ENSP00000265333	P21796
ENSP00000338345	P37840
ENSP00000388107	P62987
ENSP00000346694	P22626
ENSP00000360687	P41222
ENSP00000379386	P07195
ENSP00000262746	Q06830
ENSP00000361930	P31946
ENSP00000357429	O15540
ENSP00000371267	P27348
ENSP00000418770	Q99497
ENSP00000481878	P62873
ENSP00000358865	Q16352
ENSP00000229270	P60174
ENSP00000432083	P11142
ENSP00000254976	P60880
ENSP00000308057	Q16143
ENSP00000226253	P09972
ENSP00000272298	P0DP24
ENSP00000291295	P0DP25
ENSP00000349467	P0DP23
ENSP00000318697	Q9BUF5
ENSP00000353785	O94811
ENSP00000339063	P68104
ENSP00000478061	P29966
ENSP00000480132	A0A087WWD4
ENSP00000280187	P51674
ENSP00000438144	A0A5K1VW95
ENSP00000272317	P62979
ENSP00000369609	A0A2U3TZJ3
ENSP00000381412	A0A5K1VW76
ENSP00000357055	Q15121
ENSP00000314214	P63027
ENSP00000464383	L7N2F9
ENSP00000321606	Q14194
ENSP00000221166	P07197
ENSP00000394071	P31150
ENSP00000291700	P04271
ENSP00000383118	P60953
ENSP00000290378	P68032
ENSP00000482169	P07196
ENSP00000355645	P68133
ENSP00000343690	Q14195
ENSP00000327431	P69891
ENSP00000439012	P07108
ENSP00000444688	P13637
ENSP00000362413	P00558
ENSP00000373620	P10809
ENSP00000362014	Q05193
ENSP00000366525	P02792
ENSP00000310861	P35908
ENSP00000254810	P84243
ENSP00000355778	P84243
ENSP00000284240	P04216
ENSP00000456206	Q3ZCM7
ENSP00000242285	P09496
ENSP00000361635	P45880
ENSP00000335153	P07900
ENSP00000386857	P63267
ENSP00000361824	Q13813
ENSP00000381607	P09211
ENSP00000304229	P49773
ENSP00000248975	Q04917
ENSP00000360609	P08238
ENSP00000269321	P52565
ENSP00000296511	P08758
ENSP00000296755	P46821
ENSP00000273550	P02794
ENSP00000217182	Q05639
ENSP00000324105	P13929
ENSP00000237014	P02766
ENSP00000480050	Q92777
ENSP00000261205	P21579
ENSP00000342026	P30041
ENSP00000417207	P14651
ENSP00000216254	Q99798
ENSP00000355315	P62891
ENSP00000384719	P62760
ENSP00000359991	P18669
ENSP00000253413	P36543
ENSP00000215095	P61266
ENSP00000445175	P00338
ENSP00000371958	P21926
ENSP00000296417	P0C0S5
ENSP00000308405	Q71UI9
ENSP00000372654	P55087
ENSP00000406773	P81605
ENSP00000233893	P61604
ENSP00000274764	Q96A08
ENSP00000330074	P16401
ENSP00000215909	P09382
ENSP00000322419	P05387
ENSP00000245206	P00505
ENSP00000305260	P62879
ENSP00000297258	Q01469
ENSP00000273398	P38606
ENSP00000362924	P06396
ENSP00000416706	Q562R1
ENSP00000349142	P36542
ENSP00000428845	Q9Y277
ENSP00000290349	P16152
ENSP00000231487	P63208
ENSP00000219599	Q14894
ENSP00000365439	P61978
ENSP00000354111	Q9H3Z4
ENSP00000298159	Q9Y281
ENSP00000361087	O76070
ENSP00000363641	P10599
ENSP00000354876	P00403
ENSP00000356864	O14880
ENSP00000445306	P05023
ENSP00000297012	Q96QV6
ENSP00000334448	P59768
ENSP00000356790	P05026
ENSP00000349259	Q01082
ENSP00000278379	P43004
ENSP00000265113	P43003
ENSP00000360671	P05141
ENSP00000340820	A0A7I2PLE3
ENSP00000362820	P84103
ENSP00000304697	P0CG47
ENSP00000371798	Q16658
ENSP00000341826	P09651
ENSP00000376309	P51991
ENSP00000370808	P12236
ENSP00000345347	P09429
ENSP00000352544	Q6PUV4
ENSP00000369981	Q99962
ENSP00000309415	P09497
ENSP00000222256	P20336
ENSP00000363041	Q9NZ45
ENSP00000369538	P50395
ENSP00000265462	P30044
ENSP00000358155	Q6FI13
ENSP00000475814	Q6FI13
ENSP00000167586	P02533
ENSP00000332194	Q16777
ENSP00000381293	P46459
ENSP00000356354	P22061
ENSP00000281456	P12235
ENSP00000247461	P27824
ENSP00000376886	P22392
ENSP00000320866	P27797
ENSP00000332790	Q8IUE6
ENSP00000307786	P99999
ENSP00000290299	P48047
ENSP00000353508	P11137
ENSP00000233143	P63313
ENSP00000217971	O00264
ENSP00000356275	P21291
ENSP00000434024	P16104
ENSP00000337060	P15531
ENSP00000447006	Q12860
ENSP00000313199	Q14103
ENSP00000351022	P09493
ENSP00000359539	P17174
ENSP00000346550	P08133
ENSP00000288699	Q9BPU6
ENSP00000277865	P00367
ENSP00000054666	Q15836
ENSP00000301653	P08779
ENSP00000362638	P49006
ENSP00000479488	P35232
ENSP00000248553	P04792
ENSP00000298510	P30048
ENSP00000265062	P51149
ENSP00000439189	Q6S8J3
ENSP00000236850	P02647
ENSP00000441875	Q99623
ENSP00000391481	P29401
ENSP00000284031	O94760
ENSP00000362817	P05413
ENSP00000215832	P28482
ENSP00000263368	P30043
ENSP00000249700	Q9NZR1
ENSP00000354490	P50993
ENSP00000300026	P23284
ENSP00000387286	P62820
ENSP00000381992	A0A024RA87
ENSP00000405573	A0A2U3TZU2
ENSP00000400175	P61586
ENSP00000351777	P55072
ENSP00000308452	Q04695
ENSP00000310226	Q9H0U4
ENSP00000291568	P04080
ENSP00000215754	P14174
ENSP00000244537	P62805
ENSP00000347168	P62805
ENSP00000366956	P62805
ENSP00000366974	P62805
ENSP00000367034	P62805
ENSP00000443017	P62805
ENSP00000462355	P62805
ENSP00000462667	P62805
ENSP00000479106	P62805
ENSP00000479461	P62805
ENSP00000479794	P62805
ENSP00000480960	P62805
ENSP00000481486	P62805
ENSP00000484789	P62805
ENSP00000331897	P48735
ENSP00000389649	P18859
ENSP00000378199	P54652
ENSP00000357516	A0A2R2Y2Q3
ENSP00000239940	P35080
ENSP00000477781	A0A0B4J2C3
ENSP00000348602	P49418
ENSP00000362308	O75368
ENSP00000268379	P22695
ENSP00000225655	P07737
ENSP00000344547	P06454
ENSP00000246069	P60981
ENSP00000301587	O75947
ENSP00000457513	P13073
ENSP00000215375	P30049
ENSP00000263655	Q96F85
ENSP00000299518	P50213
ENSP00000324173	P11021
ENSP00000281243	P09417
ENSP00000312999	P04899
ENSP00000482826	A0A087WZQ7
ENSP00000216442	Q9Y5K8
ENSP00000339740	Q13557
ENSP00000369586	P02100
ENSP00000222812	Q16623
ENSP00000341094	P20671
ENSP00000307900	P15104
ENSP00000328484	Q99878
ENSP00000351589	P0C0S8
ENSP00000352119	P0C0S8
ENSP00000352627	P0C0S8
ENSP00000366679	Q96KK5
ENSP00000482431	P0C0S8
ENSP00000482538	P0C0S8
ENSP00000356042	P15311
ENSP00000345230	A0A5F9UN72
ENSP00000438553	Q9BTM1
ENSP00000325905	Q16629
ENSP00000379098	Q13554
ENSP00000303373	P04908
ENSP00000355656	Q7L7L0
ENSP00000483842	P04908
ENSP00000367022	Q93077
ENSP00000338413	P22314
ENSP00000446252	P04179
ENSP00000337838	Q9NQC3
ENSP00000284292	Q92686
ENSP00000263233	P08247
ENSP00000307705	P10412
ENSP00000477527	P23527
ENSP00000358151	Q16778
ENSP00000252252	P04259
ENSP00000482674	P33778
ENSP00000377494	Q9UI15
ENSP00000295685	O15144
ENSP00000258962	Q07955
ENSP00000476136	P06899
ENSP00000339850	O14531
ENSP00000263645	P60033
ENSP00000332706	Q00577
ENSP00000354468	A0A8J8YWN6
ENSP00000196371	P55809
ENSP00000317159	P08574
ENSP00000401010	B1AK88
ENSP00000479284	Q8N257
ENSP00000451712	Q9UN36
ENSP00000343027	P63096
ENSP00000348461	P63000
ENSP00000322020	Q9H936
ENSP00000339566	P16403
ENSP00000482835	P63010
ENSP00000350090	Q32P51
ENSP00000272233	P62745
ENSP00000300688	O75964
ENSP00000292385	Q16643
ENSP00000299529	P29762
ENSP00000262646	P61019
ENSP00000299767	P14625
ENSP00000318195	P19338
ENSP00000376800	P58546
ENSP00000393241	P62269
ENSP00000302896	P46781
ENSP00000304283	P60763
ENSP00000216962	P11216
ENSP00000400459	O60641
ENSP00000276390	P21281
ENSP00000285379	P00918
ENSP00000283179	A0A1X7SBS1
ENSP00000316176	P61088
ENSP00000244534	P16402
ENSP00000264893	Q9NVA2
ENSP00000267484	Q16799
ENSP00000315130	P10909
ENSP00000264710	P61026
ENSP00000283268	Q8TBJ5
ENSP00000322439	P49411
ENSP00000479169	Q93079
ENSP00000308430	O43169
ENSP00000343158	Q9Y2J2
ENSP00000321744	P62807
ENSP00000348924	P62807
ENSP00000366962	P62807
ENSP00000445633	P62807
ENSP00000483237	P62807
ENSP00000289316	P58876
ENSP00000483903	Q99877
ENSP00000364945	O95865
ENSP00000477907	Q99879
ENSP00000367086	O00154
ENSP00000349430	O60814
ENSP00000203407	P31930
ENSP00000225665	Q02978
ENSP00000366618	Q99880
ENSP00000481622	P57053
ENSP00000251453	P62249
ENSP00000300289	P30101
ENSP00000300283	P12532
ENSP00000406577	P12532
ENSP00000362463	Q04760
ENSP00000358737	P24539
ENSP00000217133	Q9H4B7
ENSP00000342056	O75390
ENSP00000358921	P61163
ENSP00000005257	P11233
ENSP00000328336	Q8N111
ENSP00000228318	Q00325
ENSP00000275603	P40227
ENSP00000445831	Q5QNW6
ENSP00000256682	P61204
ENSP00000451291	P07910
ENSP00000354346	A0A0R4J2E8
ENSP00000278572	P23396
ENSP00000264758	P35611
ENSP00000258424	P10606
ENSP00000309565	P07919
ENSP00000256594	P21266
ENSP00000317780	P20674
ENSP00000303222	Q9Y6C9
ENSP00000366694	Q96CX2
ENSP00000416066	P01009
ENSP00000319060	A0A2Q3DQE3
ENSP00000270792	Q9H299
ENSP00000417142	Q16718
ENSP00000484060	Q9BY11
ENSP00000362744	P62701
ENSP00000340989	P31947
ENSP00000357535	P30084
ENSP00000449328	P05388
ENSP00000295688	P49368
ENSP00000296930	P06748
ENSP00000290949	P61421
ENSP00000385834	P02787
ENSP00000347872	Q99536
ENSP00000446215	P62826
ENSP00000200691	P25713
ENSP00000247970	Q13526
ENSP00000444357	Q96FW1
ENSP00000221855	Q99426
ENSP00000273258	O75915
ENSP00000316809	Q00169
ENSP00000348965	Q14204
ENSP00000297185	P38646
ENSP00000362946	P61106
ENSP00000345656	Q9P0L0
ENSP00000430656	P00915
ENSP00000447001	Q07020
ENSP00000337168	Q9H4G0
ENSP00000298556	P00492
ENSP00000391311	Q99719
ENSP00000324804	P30153
ENSP00000474560	Q16836
ENSP00000341911	O75781
ENSP00000263774	O75489
ENSP00000382941	P78324
ENSP00000294117	P63215
ENSP00000452762	P13804
ENSP00000345179	P05090
ENSP00000333277	Q71DI3
ENSP00000358154	Q71DI3
