Entry	Protein existence
A0A024RBG1	Inferred from homology
A0A087X1C5	Uncertain
A0A0B4J2F0	Evidence at protein level
A0A0B4J2F2	Uncertain
A0A0C5B5G6	Evidence at protein level
A0A0K2S4Q6	Evidence at protein level
A0A0U1RRE5	Evidence at protein level
A0A5B9	Evidence at protein level
A0AV02	Evidence at protein level
A0AV96	Evidence at protein level
A0AVF1	Evidence at transcript level
A0AVI4	Evidence at protein level
A0AVK6	Evidence at protein level
A0AVT1	Evidence at protein level
A0FGR8	Evidence at protein level
A0FGR9	Evidence at protein level
A0JLT2	Evidence at protein level
A0JNW5	Evidence at protein level
A0JP26	Evidence at protein level
A0M8Q6	Evidence at protein level
A0MZ66	Evidence at protein level
A0PJK1	Evidence at protein level
A0PJY2	Evidence at protein level
A0PK00	Evidence at protein level
A0PK11	Evidence at protein level
A1A4S6	Evidence at protein level
A1A4Y4	Evidence at protein level
A1A519	Evidence at transcript level
A1A5B4	Evidence at protein level
A1A5C7	Evidence at protein level
A1E959	Evidence at protein level
A1KXE4	Evidence at protein level
A1KZ92	Evidence at protein level
A1L0T0	Evidence at protein level
A1L167	Evidence at protein level
A1L390	Evidence at protein level
A1L3X0	Evidence at protein level
A1L4H1	Evidence at protein level
A1L4K1	Evidence at protein level
A1X283	Evidence at protein level
A1XBS5	Evidence at protein level
A1Z1Q3	Evidence at protein level
A2A288	Evidence at protein level
A2A2Y4	Evidence at protein level
A2IDD5	Evidence at protein level
A2PYH4	Evidence at protein level
A2RRP1	Evidence at protein level
A2RTX5	Evidence at protein level
A2RU14	Evidence at protein level
A2RU30	Evidence at protein level
A2RU49	Evidence at protein level
A2RUB1	Evidence at transcript level
A2RUB6	Evidence at protein level
A2RUC4	Evidence at protein level
A2RUH7	Evidence at protein level
A2VDJ0	Evidence at protein level
A2VEC9	Evidence at transcript level
A3KMH1	Evidence at protein level
A4D0S4	Evidence at transcript level
A4D126	Evidence at protein level
A4D161	Evidence at protein level
A4D1B5	Evidence at protein level
A4D1E9	Evidence at protein level
A4D1P6	Evidence at protein level
A4D1T9	Evidence at protein level
A4D256	Evidence at transcript level
A4D2B0	Evidence at protein level
A4D2B8	Uncertain
A4GXA9	Evidence at protein level
A4UGR9	Evidence at protein level
A5D8T8	Evidence at protein level
A5D8V6	Evidence at protein level
A5D8V7	Evidence at protein level
A5D8W1	Evidence at protein level
A5LHX3	Evidence at protein level
A5PKW4	Evidence at protein level
A5PLL7	Evidence at protein level
A5PLN9	Evidence at protein level
A5X5Y0	Evidence at protein level
A5YKK6	Evidence at protein level
A5YM72	Evidence at protein level
A6BM72	Evidence at protein level
A6H8Y1	Evidence at protein level
A6H8Z2	Evidence at protein level
A6NC98	Evidence at protein level
A6NCS4	Evidence at protein level
A6ND01	Evidence at protein level
A6ND36	Evidence at protein level
A6NDB9	Evidence at protein level
A6NDE4	Evidence at transcript level
A6NDG6	Evidence at protein level
A6NDV4	Evidence at protein level
A6NED2	Evidence at protein level
