




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	Brain_CSF_positive.txt (Homo sapiens)
Reference List:	Brain_all.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Brain_all.txt - REFLIST (2434)	Brain_CSF_positive.txt (961)	Brain_CSF_positive.txt (expected)	Brain_CSF_positive.txt (over/under)	Brain_CSF_positive.txt (fold Enrichment)	Brain_CSF_positive.txt (raw P-value)	Brain_CSF_positive.txt (FDR)
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	68	66	26.85	+	2.46	2.15E-07	9.03E-05
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	99	88	39.09	+	2.25	2.27E-08	1.30E-05
cell-cell adhesion (GO:0098609)	147	123	58.04	+	2.12	3.50E-10	2.15E-07
cell adhesion (GO:0007155)	213	171	84.10	+	2.03	7.03E-13	2.80E-09
biological adhesion (GO:0022610)	213	171	84.10	+	2.03	7.03E-13	1.87E-09
synapse organization (GO:0050808)	128	93	50.54	+	1.84	6.35E-06	1.69E-03
cell junction organization (GO:0034330)	157	110	61.99	+	1.77	2.58E-06	8.59E-04
axon development (GO:0061564)	148	103	58.43	+	1.76	7.76E-06	1.67E-03
axonogenesis (GO:0007409)	132	90	52.12	+	1.73	5.54E-05	6.41E-03
negative regulation of cellular component organization (GO:0051129)	126	85	49.75	+	1.71	1.05E-04	1.16E-02
export from cell (GO:0140352)	116	77	45.80	+	1.68	3.78E-04	3.77E-02
regulation of neuron projection development (GO:0010975)	154	102	60.80	+	1.68	3.61E-05	4.64E-03
cell morphogenesis involved in differentiation (GO:0000904)	162	107	63.96	+	1.67	2.86E-05	4.14E-03
cell morphogenesis involved in neuron differentiation (GO:0048667)	153	101	60.41	+	1.67	4.60E-05	5.55E-03
cellular component morphogenesis (GO:0032989)	182	120	71.86	+	1.67	8.94E-06	1.78E-03
regulation of plasma membrane bounded cell projection organization (GO:0120035)	183	120	72.25	+	1.66	9.36E-06	1.82E-03
regulation of cell projection organization (GO:0031344)	187	122	73.83	+	1.65	8.48E-06	1.78E-03
cell part morphogenesis (GO:0032990)	175	114	69.09	+	1.65	2.11E-05	3.50E-03
cell projection morphogenesis (GO:0048858)	175	114	69.09	+	1.65	2.11E-05	3.43E-03
neuron projection morphogenesis (GO:0048812)	174	113	68.70	+	1.64	2.69E-05	4.04E-03
plasma membrane bounded cell projection morphogenesis (GO:0120039)	174	113	68.70	+	1.64	2.69E-05	3.97E-03
cell morphogenesis (GO:0000902)	203	131	80.15	+	1.63	6.79E-06	1.75E-03
neuron projection development (GO:0031175)	227	145	89.62	+	1.62	2.43E-06	8.82E-04
regulation of cellular component biogenesis (GO:0044087)	164	102	64.75	+	1.58	2.20E-04	2.40E-02
modulation of chemical synaptic transmission (GO:0050804)	221	135	87.26	+	1.55	3.79E-05	4.80E-03
regulation of trans-synaptic signaling (GO:0099177)	221	135	87.26	+	1.55	3.79E-05	4.72E-03
regulation of anatomical structure morphogenesis (GO:0022603)	174	106	68.70	+	1.54	3.06E-04	3.21E-02
neuron development (GO:0048666)	279	166	110.16	+	1.51	1.01E-05	1.92E-03
regulation of cellular component organization (GO:0051128)	396	233	156.35	+	1.49	1.42E-07	6.28E-05
