SMOC1|Q9H4F8-2
APP|P05067
MDK|E9PLM6
ICAM1|P05362
SQSTM1|Q13501
HTRA1|Q92743
MAPT|P10636
NECAB1|Q8N987
NTN1|O95631
MAPT|P10636-4
VGF|O15240
HMOX2|A0A087WT44
RPH3A|Q9Y2J0
ACTN4|O43707
SFRP1|Q8N474
PLIN4|Q96Q06-2
ADD3|Q9UEY8
PLIN4|Q96Q06
KRAS|P01116
HSPB1|P04792
CPNE5|Q9HCH3
CLDN10|P78369
ACTN4|K7EJH8
RPS27A|P62979
COTL1|Q14019
C4B|P0C0L5
CISD1|Q9NZ45
RAP2A|P10114
COL25A1|Q9BXS0
CSTB|P04080
GNG12|Q9UBI6
PACSIN1|Q9BY11
PVRL1|Q15223
SDC4|P31431
NPTX2|P47972
PLCD1|P51178-2
APOO|Q9BUR5
ADH5|P11766
CADM2|Q8N3J6-3
FAM213A|Q9BRX8
CD109|Q6YHK3
PLCD1|P51178
NAPG|Q99747
PLEC|Q15149-8
NDUFC2|O95298
EEF1A1|Q5JR01
ROCK2|O75116
SNAP23|O00161
ALDH1L1|O75891-3
GMPR|P36959
CAMKK2|Q96RR4
SPOCK2|Q92563
ARHGAP26|Q9UNA1
OLFM3|Q96PB7
GPC4|O75487
GPNMB|Q14956
UQCR11|O14957
DNAJB4|Q9UDY4
SYT12|Q8IV01
BBOX1|O75936
PAFAH1B3|Q15102
KRAS|P01116-2
STX1A|Q16623
EEF1A1|A0A087WVQ9
SEPT2|Q15019-2
PRDX6|P30041
ADIRF|Q15847
PLCD3|Q8N3E9
NDUFB5|H0Y886
UQCRB|E5RHG9
CADM3|Q8N126-2
LRRC57|Q8N9N7
APP|P05067-4
OLFM1|Q99784
APOE|P02649
PXN|P49023-3
TMX3|Q96JJ7
ERBB2IP|Q96RT1-8
CEND1|Q8N111
NDUFA9|Q16795
SGTB|Q96EQ0
GSTP1|P09211
EHD3|Q9NZN3
TOMM70A|O94826
MICALL2|Q8IY33
HSPB8|Q9UJY1
IDH1|O75874
NDUFS1|P28331-2
KIAA1045|Q9UPV7
BLVRB|P30043
GJA1|P17302
PDHA1|P08559-4
R3HDM2|B5MCU0
PIP5K1C|O60331-3
ADAM11|O75078
PIP5K1C|O60331
PRRT2|Q7Z6L0-2
R3HDM2|B5MCG9
PDK3|Q15120-2
C4A|P0C0L4
NDUFA3|O95167
PLXNA1|Q9UIW2
COX7A2L|O14548
IGSF9B|Q9UPX0-2
PHGDH|O43175
TIMM44|O43615
GFAP|P14136-2
OPCML|Q14982-3
PLXNA4|Q9HCM2
GFAP|P14136
ERO1L|Q96HE7
AHNAK|Q09666
RGS7|P49802
NDUFA10|E7ESZ7
MFF|Q9GZY8
USP7|Q93009
NDUFS6|O75380
LINGO1|Q96FE5
DUSP3|P51452
CSNK1A1|P48729
CSNK1A1|P48729-2
SEPT5|B4DJ62
PPP5C|P53041
TMOD3|Q9NYL9
CA4|P22748
PGM1|P36871
SEC14L2|O76054
PDHB|P11177
FBP1|P09467
EEF1A1|P68104
HSPB6|O14558
NDUFB3|O43676
STXBP5L|Q9Y2K9
CS|O75390
PBXIP1|Q96AQ6
RPS6KA2|F2Z2J1
TWF2|Q6IBS0
GNB5|O14775
PADI2|Q9Y2J8
ACTN2|P35609
FAH|P16930
GFAP|K7ELP4
UQCRC1|P31930
NRN1|A0A087WWT2
PSAT1|Q9Y617
PLSCR4|Q9NRQ2
CYC1|P08574
NGEF|Q8N5V2
MSN|P26038
NDUFS7|F5GXJ1
PTPRD|P23468
EFNA3|P52797
PGM2|Q96G03
DLD|P09622
NDUFA2|O43678
CAPG|P40121
BDH2|Q9BUT1
NDUFS2|O75306
PURA|Q00577
PTK2B|Q14289
SLC25A14|O95258-3
STX1B|P61266
NDUFS7|O75251
TIMP2|P16035
UQCRC2|P22695
OPCML|Q14982-4
SLC25A14|O95258
CEP170B|J3KQR7
SDHB|A0A087WXX8
CEP170B|Q9Y4F5
SWAP70|Q9UH65
PCYOX1L|Q8NBM8
IRGQ|Q8WZA9
RPL10|P27635
CPLX2|D6R960
SNTA1|Q13424
GATM|P50440-2
PDLIM4|P50479
DNM1|Q05193
OR1M1|Q8NGA1
CALCOCO1|Q9P1Z2
THY1|E9PNQ8
ITGB2|D3DSM0
NCALD|P61601
STAM|Q92783
PICK1|Q9NRD5
DLAT|P10515
UQCRB|P14927
GM2A|P17900
STXBP5L|E9PFI2
DIRAS1|O95057
SEPT7|Q16181
PLP2|Q04941
CAP2|P40123
PRDX1|Q06830
NDUFB6|O95139
DNAJC6|O75061
WDFY1|Q8IWB7
DNAJC6|O75061-2
SH3BGRL2|Q9UJC5
GFRA2|O00451
MAPT|P10636-8
SUCLA2|Q9P2R7
GABRA1|P14867
FECH|P22830-2
UQCRQ|O14949
OPTN|Q96CV9
ENO1|P06733
ARRB1|P49407
SCN2A|Q99250
PTPRF|H0Y4H1
ACTN1|P12814-3
RASA2|A0A0A0MSJ9
SEPT7|Q16181-2
FIS1|Q9Y3D6
NOGENE|B4E171
HLA-DRA|P01903
BRSK1|Q8TDC3-2
GRAMD3|Q96HH9
KIF21A|H0YI78
FABP7|O15540
MTAP|Q13126-2
HK1|P19367-3
ACOT7|O00154
MTAP|B4DUC8
MLIP|Q5VWP3-3
ADD3|Q9UEY8-2
GRAMD3|Q96HH9-3
SLC4A10|Q6U841
ATP6V1B1|P15313
NDUFB10|O96000
PLXNB1|O43157
KCNMA1|H0Y379
PLCD3|F5GXC1
GFAP|K7EKD1
AGK|Q53H12
SEPT7|E7EPK1
ANXA5|P08758
PTPRD|P23468-7
AP3B2|Q13367-4
IMMT|Q16891-2
GAP43|P17677
AP3B2|Q13367
GAP43|P17677-2
AK1|Q5T9B7
GATM|P50440
ATP6V1B2|P21281
NDUFB11|Q9NX14-2
CAMK4|Q16566
COX4I1|P13073
UGGT1|Q9NYU2
CPLX2|Q6PUV4
AUH|Q13825
PVRL1|Q15223-2
C2CD4C|Q8TF44
KCNH5|Q8NCM2
FERMT2|Q96AC1-3
MARK1|Q9P0L2
ASAH1|Q13510-2
OPTN|Q96CV9-2
VSNL1|P62760
NPC2|P61916
DGKZ|Q13574-3
ITGA7|Q13683-7
SEPT5|Q99719
DPP6|P42658
CMBL|Q96DG6
HMGN5|P82970
PRMT8|Q9NR22
NPC2|G3V3D1
SFXN1|Q9H9B4
DBT|P11182
LPIN1|Q14693-7
TFRC|P02786
DBI|P07108-5
BAIAP2|Q9UQB8-6
SEPT5|G3XAH0
ITGA6|P23229-6
NRBP1|F8W6G1
LRRC75A|Q8NAA5
SOGA3|Q5TF21
CDH20|Q9HBT6
TBC1D10B|Q4KMP7
EPHA4|P54764
GAS7|O60861
AGAP2|F8VVT9
DGKZ|Q13574
ADK|P55263
EZR|E7EQR4
GAPDH|P04406
ALAD|P13716
ANP32A|P39687
ESD|P10768
STXBP1|P61764
TAGLN3|A0A087WWB6
RELL1|Q8IUW5
KCNMA1|Q5SVJ7
PDZD2|O15018
GLOD4|Q9HC38-2
BAG3|O95817
NDUFB7|P17568
EPHB6|F8WCM8
PRRT2|H3BN10
SEPT10|B5ME97
IDH3G|H7C1W2
SLC4A8|Q2Y0W8
CPNE6|O95741-2
SLC9A3R1|O14745
AFG3L2|Q9Y4W6
AP3D1|O14617-5
RPL18A|Q02543
CKMT1A|P12532
ANO6|Q4KMQ2-2
CLU|P10909-2
CAPNS1|A0A0C4DGQ5
PREP|P48147
BAIAP2|Q9UQB8
SLC8A1|P32418-3
MAPRE3|Q9UPY8
PPP1R9B|D3DTX6
CSRP1|P21291
GYG2|O15488
CD44|P16070
BAIAP2|Q9UQB8-4
S100A6|P06703
GYG2|O15488-4
RPL5|P46777
DNM1L|O00429-6
SYNE1|Q8NF91-5
GCLM|P48507
CYCS|P99999
CORO1A|H3BTU6
SYNM|A0A075B7B1
SLC25A10|Q9UBX3-2
SELENBP1|Q13228-4
SCRIB|Q14160
AP2M1|E9PFW3
CD99|P14209
SCRIB|Q14160-3
CSK|P41240
FXR2|P51116
AP2M1|Q96CW1
NDUFA8|P51970
NDUFB9|Q9Y6M9
HMGA1|P17096
EPHX1|P07099
CORO1A|P31146
TRIM9|Q9C026-5
COX6C|P09669
RPL3|P39023
SYNPO|Q8N3V7-2
SYNE1|F5GXQ8
EPB41L3|Q9Y2J2-2
KIF5C|O60282
ARHGAP39|Q9C0H5-2
DOC2B|A0A087WZX8
CNKSR3|G9CGD6
KIAA1549L|Q6ZVL6
GRIA2|P42262
KTN1|Q86UP2-3
ARHGAP39|Q9C0H5
NFS1|Q9Y697
NES|P48681
TAX1BP3|O14907
DGKI|O75912
SCIN|Q9Y6U3
ITGB1|P05556
SYNJ1|C9JFZ1
PSME1|Q06323
NDUFS8|O00217
PAK1|Q13153
RPS6KA5|A0A0A0MQV2
FUNDC2|Q9BWH2
PDE4A|P27815
GNAI1|P63096
LPCAT4|Q643R3
PLCL2|Q9UPR0
NNT|Q13423
SCRN1|Q12765-2
ACO2|A2A274
CPNE3|O75131
DLGAP1|O14490-4
CAPS|K7EL21
UQCRFS1|P47985
GJB6|O95452
TAC3|Q9UHF0
ACO2|Q99798
SYNPO|Q8N3V7
SYNM|O15061
HMGA1|P17096-3
EPB41L1|A0A0C4DH22
PAK1|Q13153-2
ARHGAP44|Q17R89
IDH3G|P51553
UGP2|Q16851
KTN1|Q86UP2
MYH7B|A0A087X0T3
TRIM36|Q9NQ86
DGKI|E7EWQ4
DMTN|Q08495-4
NDUFAF7|Q7L592
SHANK2|Q9UPX8-3
EPHB6|O15197
TESC|Q96BS2
RASAL2|Q9UJF2-2
IGFBP5|P24593
PSME1|Q06323-2
C9orf78|Q9NZ63
HADHB|P55084
BNIP3|Q12983
AP2B1|P63010-2
ATL1|Q8WXF7-2
DMTN|Q08495
AMPD2|Q01433
PRKG1|Q13976-2
S100A11|P31949
CRYL1|Q9Y2S2
ASS1|P00966
AP3M2|P53677
ARHGEF2|V9GYM8
UGP2|E7EUC7
KCNMA1|Q12791-2
IDH2|P48735
SHANK2|A0A0A0MSQ6
KIAA1211L|Q6NV74
GFAP|P14136-3
DDAH2|O95865
NECAP2|Q9NVZ3-2
CDKN1B|P46527
PPP1R9A|Q9ULJ8-3
HEPACAM|Q14CZ8
DLG1|C9JN61
PCSK1|P29120
SDHB|P21912
TUBB6|Q9BUF5
NECAP2|Q9NVZ3
SORD|Q00796
NDUFS3|O75489
KIAA1549L|H0YDE5
KCNMA1|Q12791-7
C19orf70|A0A0B4J2A5
HMGN3|A0A087WZE9
OPA1|H7C141
CACNA2D1|P54289
SOD3|P08294
HNRNPF|P52597
TSPO|P30536
SDHA|P31040
SARS2|M0QWZ7
TJP2|Q9UDY2-6
PEA15|Q15121-2
CDH10|Q9Y6N8
NOGENE|M0R2C6
ATAD3A|Q9NVI7-2
PPFIA4|O75335
