# NetGPI 1.1	Timestamp: 20220609110655
# ID	Seq-length	Pred. GPI-Anchored	Omega-site pos.	Likelihood	Amino-acid
sp_Q86UA6_RIP_HUMAN	219	Not GPI-Anchored	-	0.523	*
sp_Q8NFU3_TSTD1_HUMAN	115	Not GPI-Anchored	-	0.987	*
sp_Q8NBP0_TTC13_HUMAN	860	Not GPI-Anchored	-	0.993	*
sp_Q9H892_TTC12_HUMAN	705	Not GPI-Anchored	-	0.975	*
sp_Q99614_TTC1_HUMAN	292	Not GPI-Anchored	-	0.993	*
sp_Q6IQ55_TTBK2_HUMAN	1244	Not GPI-Anchored	-	0.992	*
sp_Q5TCY1_TTBK1_HUMAN	1321	Not GPI-Anchored	-	0.990	*
sp_Q5T7W7_TSTD2_HUMAN	516	Not GPI-Anchored	-	0.993	*
sp_Q16762_THTR_HUMAN	297	Not GPI-Anchored	-	0.994	*
sp_Q96AE7_TTC17_HUMAN	1141	Not GPI-Anchored	-	0.995	*
sp_Q96PN8_TSSK3_HUMAN	268	Not GPI-Anchored	-	0.992	*
sp_Q9Y5U2_TSSC4_HUMAN	329	Not GPI-Anchored	-	0.993	*
sp_Q9UJK0_TSR3_HUMAN	312	Not GPI-Anchored	-	0.993	*
sp_Q969E8_TSR2_HUMAN	191	Not GPI-Anchored	-	0.995	*
sp_Q2NL82_TSR1_HUMAN	804	Not GPI-Anchored	-	0.995	*
sp_Q86VY4_TSYL5_HUMAN	417	Not GPI-Anchored	-	0.975	*
sp_Q96N46_TTC14_HUMAN	770	Not GPI-Anchored	-	0.986	*
sp_Q6DKK2_TTC19_HUMAN	380	Not GPI-Anchored	-	0.994	*
sp_Q99816_TS101_HUMAN	390	Not GPI-Anchored	-	0.993	*
sp_Q96AY4_TTC28_HUMAN	2481	Not GPI-Anchored	-	0.992	*
sp_Q5I0X7_TTC32_HUMAN	151	Not GPI-Anchored	-	0.995	*
sp_Q49AM3_TTC31_HUMAN	519	Not GPI-Anchored	-	0.992	*
sp_Q8N4P2_TT30B_HUMAN	665	Not GPI-Anchored	-	0.994	*
sp_Q86WT1_TT30A_HUMAN	665	Not GPI-Anchored	-	0.995	*
sp_P53804_TTC3_HUMAN	2025	Not GPI-Anchored	-	0.989	*
sp_Q8NA56_TTC29_HUMAN	475	Not GPI-Anchored	-	0.996	*
sp_Q6P3X3_TTC27_HUMAN	843	Not GPI-Anchored	-	0.994	*
sp_Q8NDW8_TT21A_HUMAN	1320	Not GPI-Anchored	-	0.996	*
sp_A0AVF1_IFT56_HUMAN	554	Not GPI-Anchored	-	0.995	*
sp_Q96NG3_ODAD4_HUMAN	672	Not GPI-Anchored	-	0.996	*
sp_Q6PF05_TT23L_HUMAN	361	Not GPI-Anchored	-	0.995	*
sp_Q5W5X9_TTC23_HUMAN	447	Not GPI-Anchored	-	0.988	*
sp_Q5TAA0_TTC22_HUMAN	569	Not GPI-Anchored	-	0.991	*
sp_Q7Z4L5_TT21B_HUMAN	1316	Not GPI-Anchored	-	0.995	*
sp_Q9UJ04_TSYL4_HUMAN	414	Not GPI-Anchored	-	0.985	*
sp_Q9H2G4_TSYL2_HUMAN	693	Not GPI-Anchored	-	0.991	*
sp_Q9H0U9_TSYL1_HUMAN	437	Not GPI-Anchored	-	0.985	*
sp_Q99598_TSNAX_HUMAN	290	Not GPI-Anchored	-	0.988	*
sp_Q8NG11_TSN14_HUMAN	270	Not GPI-Anchored	-	0.967	*
sp_O95857_TSN13_HUMAN	204	Not GPI-Anchored	-	0.986	*
sp_O95859_TSN12_HUMAN	305	Not GPI-Anchored	-	0.993	*
sp_A1L157_TSN11_HUMAN	253	Not GPI-Anchored	-	0.950	*
sp_O60635_TSN1_HUMAN	241	GPI-Anchored	217	0.269	G
sp_Q2TAA8_TXIP1_HUMAN	658	Not GPI-Anchored	-	0.978	*
sp_Q96NA8_TSNA1_HUMAN	513	Not GPI-Anchored	-	0.340	*
sp_O95153_RIMB1_HUMAN	1857	Not GPI-Anchored	-	0.994	*
sp_Q15631_TSN_HUMAN	228	Not GPI-Anchored	-	0.995	*
sp_Q8WUA8_TSK_HUMAN	353	Not GPI-Anchored	-	0.978	*
sp_Q63HK5_TSH3_HUMAN	1081	Not GPI-Anchored	-	0.995	*
sp_Q9NRE2_TSH2_HUMAN	1034	Not GPI-Anchored	-	0.996	*
sp_Q6ZSZ6_TSH1_HUMAN	1077	Not GPI-Anchored	-	0.996	*
sp_P16473_TSHR_HUMAN	764	Not GPI-Anchored	-	0.995	*
sp_O95858_TSN15_HUMAN	294	Not GPI-Anchored	-	0.984	*
sp_Q96FV3_TSN17_HUMAN	270	Not GPI-Anchored	-	0.987	*
sp_Q96SJ8_TSN18_HUMAN	248	GPI-Anchored	222	0.443	A
sp_P0C672_TSN19_HUMAN	248	Not GPI-Anchored	-	0.994	*
