"CSF-PR / CSF MIXED-MODE BOUND FRACTION / Proteins / "
"","PI","Accession","Other Protein(s)","Description","CHROMOSOME","Gene Name","Coverage(%)","Non Enzymatic Peptides","#Peptides","#Spectra","NSAF","RANK (NSAF)","MW","Confidence","Spectrum Lower Range","Spectrum Upper Range","Peptide Lower Range","Peptide Upper Range","Validated"
1.00,"SINGLE PROTEIN","P10909",""," Clusterin (CLUS_HUMAN)","8","CLU",36.97,"true",20.00,78.00,0.04,54.00,52.46,86.16,,,,,"true"
2.00,"SINGLE PROTEIN","P04264",""," Keratin, type II cytoskeletal 1 (K2C1_HUMAN)","12","KRT1",35.25,"true",19.00,25.00,0.01,219.00,66.00,86.11,,,,,"true"
3.00,"SINGLE PROTEIN","P00738",""," Haptoglobin (HPT_HUMAN)","16","HP",61.82,"true",35.00,122.00,0.04,61.00,45.18,86.06,,,,,"true"
4.00,"SINGLE PROTEIN","P05060",""," Secretogranin-1 (SCG1_HUMAN)","20","CHGB",38.11,"true",22.00,90.00,0.05,41.00,78.23,86.01,,,,,"true"
5.00,"SINGLE PROTEIN","P01008",""," Antithrombin-III (ANT3_HUMAN)","1","SERPINC1",38.58,"false",19.00,72.00,0.05,31.00,52.57,85.96,,,,,"true"
6.00,"SINGLE PROTEIN","P02679",""," Fibrinogen gamma chain (FIBG_HUMAN)","4","FGG",46.36,"false",18.00,30.00,0.01,173.00,51.48,85.96,,,,,"true"
7.00,"SINGLE PROTEIN","P02675",""," Fibrinogen beta chain (FIBB_HUMAN)","4","FGB",47.25,"true",22.00,104.00,0.03,76.00,55.89,85.92,,,,,"true"
8.00,"SINGLE PROTEIN","P01019",""," Angiotensinogen (ANGT_HUMAN)","1","AGT",36.08,"true",16.00,48.00,0.07,20.00,53.12,85.91,,,,,"true"
9.00,"SINGLE PROTEIN","P01023",""," Alpha-2-macroglobulin (A2MG_HUMAN)","12","A2M",61.06,"true",81.00,210.00,0.01,172.00,163.19,85.87,,,,,"true"
10.00,"SINGLE PROTEIN","P00747",""," Plasminogen (PLMN_HUMAN)","6","PLG",41.11,"true",26.00,89.00,0.03,89.00,90.51,85.87,,,,,"true"
11.00,"SINGLE PROTEIN","P06727",""," Apolipoprotein A-IV (APOA4_HUMAN)","11","APOA4",46.72,"false",15.00,17.00,0.00,292.00,45.37,85.86,,,,,"true"
12.00,"SINGLE PROTEIN","P02787",""," Serotransferrin (TRFE_HUMAN)","3","TF",75.36,"true",104.00,745.00,0.10,15.00,77.01,85.82,,,,,"true"
13.00,"SINGLE PROTEIN","P06396",""," Gelsolin (GELS_HUMAN)","9","GSN",40.28,"true",21.00,57.00,0.02,156.00,85.64,85.82,,,,,"true"
14.00,"SINGLE PROTEIN","P01024",""," Complement C3 (CO3_HUMAN)","19","C3",68.85,"true",131.00,454.00,0.01,178.00,187.03,85.77,,,,,"true"
15.00,"SINGLE PROTEIN","P02649",""," Apolipoprotein E (APOE_HUMAN)","19","APOE",57.10,"true",24.00,138.00,0.08,18.00,36.13,85.77,,,,,"true"
16.00,"SINGLE PROTEIN","P02768",""," Serum albumin (ALBU_HUMAN)","4","ALB",89.33,"true",240.00,4642.00,0.75,2.00,69.32,85.71,,,,,"true"
17.00,"SINGLE PROTEIN","P08603",""," Complement factor H (CFAH_HUMAN)","1","CFH",42.16,"true",45.00,141.00,0.02,114.00,139.00,85.71,,,,,"true"
18.00,"SINGLE PROTEIN","P02751",""," Fibronectin (FINC_HUMAN)","2","FN1",12.15,"true",19.00,37.00,0.00,336.00,262.46,85.71,,,,,"true"
19.00,"SINGLE PROTEIN","P04217",""," Alpha-1B-glycoprotein (A1BG_HUMAN)","19","A1BG",30.71,"true",12.00,35.00,0.03,87.00,54.22,85.67,,,,,"true"
20.00,"SINGLE PROTEIN","P02766",""," Transthyretin (TTHY_HUMAN)","18","TTR",83.67,"true",46.00,401.00,0.33,3.00,15.88,85.66,,,,,"true"
21.00,"SINGLE PROTEIN","P01011",""," Alpha-1-antichymotrypsin (AACT_HUMAN)","14","SERPINA3",50.35,"true",33.00,123.00,0.04,50.00,47.62,85.66,,,,,"true"
22.00,"SINGLE PROTEIN","P01009",""," Alpha-1-antitrypsin (A1AT_HUMAN)","14","SERPINA1",77.27,"true",68.00,694.00,0.15,10.00,46.71,85.61,,,,,"true"
23.00,"SINGLE PROTEIN","P04114",""," Apolipoprotein B-100 (APOB_HUMAN)","2","APOB",6.33,"true",22.00,42.00,0.00,433.00,515.28,85.61,,,,,"true"
24.00,"RELATED PROTEINS","P0C0L4","P0C0L5"," Complement C4-A (CO4A_HUMAN)","6","C4A",42.78,"true",69.00,184.00,0.00,304.00,192.65,85.56,,,,,"true"
