# NetGPI 1.1	Timestamp: 20220609105826
# ID	Seq-length	Pred. GPI-Anchored	Omega-site pos.	Likelihood	Amino-acid
sp_Q86VH4_LRRT4_HUMAN	590	Not GPI-Anchored	-	0.985	*
sp_Q14651_PLSI_HUMAN	629	Not GPI-Anchored	-	0.993	*
sp_O14494_PLPP1_HUMAN	284	Not GPI-Anchored	-	0.995	*
sp_O43688_PLPP2_HUMAN	288	Not GPI-Anchored	-	0.960	*
sp_O14495_PLPP3_HUMAN	311	Not GPI-Anchored	-	0.994	*
sp_Q5VZY2_PLPP4_HUMAN	271	Not GPI-Anchored	-	0.994	*
sp_Q8NEB5_PLPP5_HUMAN	264	Not GPI-Anchored	-	0.993	*
sp_Q8IY26_PLPP6_HUMAN	295	Not GPI-Anchored	-	0.740	*
sp_Q8NBV4_PLPP7_HUMAN	271	Not GPI-Anchored	-	0.602	*
sp_Q8TBJ4_PLPR1_HUMAN	325	Not GPI-Anchored	-	0.993	*
sp_Q96GM1_PLPR2_HUMAN	343	Not GPI-Anchored	-	0.992	*
sp_Q6T4P5_PLPR3_HUMAN	718	Not GPI-Anchored	-	0.992	*
sp_Q7Z2D5_PLPR4_HUMAN	763	Not GPI-Anchored	-	0.992	*
sp_Q32ZL2_PLPR5_HUMAN	321	Not GPI-Anchored	-	0.995	*
sp_O43660_PLRG1_HUMAN	514	Not GPI-Anchored	-	0.995	*
sp_P13797_PLST_HUMAN	630	Not GPI-Anchored	-	0.990	*
sp_Q9ULL4_PLXB3_HUMAN	1909	Not GPI-Anchored	-	0.994	*
sp_O15162_PLS1_HUMAN	318	Not GPI-Anchored	-	0.994	*
sp_Q9NRY7_PLS2_HUMAN	297	Not GPI-Anchored	-	0.986	*
sp_Q9NRY6_PLS3_HUMAN	295	Not GPI-Anchored	-	0.987	*
sp_Q9NRQ2_PLS4_HUMAN	329	Not GPI-Anchored	-	0.993	*
sp_P55058_PLTP_HUMAN	493	Not GPI-Anchored	-	0.991	*
sp_Q9BX97_PLVAP_HUMAN	442	Not GPI-Anchored	-	0.978	*
sp_Q8IUK5_PLDX1_HUMAN	500	Not GPI-Anchored	-	0.989	*
sp_Q6UX71_PXDC2_HUMAN	529	Not GPI-Anchored	-	0.945	*
sp_Q9UIW2_PLXA1_HUMAN	1896	Not GPI-Anchored	-	0.977	*
sp_O75051_PLXA2_HUMAN	1894	Not GPI-Anchored	-	0.988	*
sp_P51805_PLXA3_HUMAN	1871	Not GPI-Anchored	-	0.974	*
sp_Q9HCM2_PLXA4_HUMAN	1894	Not GPI-Anchored	-	0.982	*
sp_O43157_PLXB1_HUMAN	2135	Not GPI-Anchored	-	0.994	*
sp_O94903_PLPHP_HUMAN	275	Not GPI-Anchored	-	0.995	*
sp_Q04941_PLP2_HUMAN	152	Not GPI-Anchored	-	0.994	*
sp_P60201_MYPR_HUMAN	277	Not GPI-Anchored	-	0.875	*
sp_O60568_PLOD3_HUMAN	738	Not GPI-Anchored	-	0.993	*
sp_A1L390_PKHG3_HUMAN	1219	Not GPI-Anchored	-	0.990	*
sp_Q58EX7_PKHG4_HUMAN	1191	Not GPI-Anchored	-	0.991	*
sp_Q96PX9_PKH4B_HUMAN	1271	Not GPI-Anchored	-	0.975	*
sp_O94827_PKHG5_HUMAN	1006	Not GPI-Anchored	-	0.883	*
sp_Q3KR16_PKHG6_HUMAN	790	Not GPI-Anchored	-	0.992	*
sp_Q9ULM0_PKHH1_HUMAN	1364	Not GPI-Anchored	-	0.989	*
sp_Q8IVE3_PKHH2_HUMAN	1493	Not GPI-Anchored	-	0.988	*
sp_Q7Z736_PKHH3_HUMAN	793	Not GPI-Anchored	-	0.993	*
sp_Q9NW61_PKHJ1_HUMAN	149	Not GPI-Anchored	-	0.994	*
sp_Q9Y4G2_PKHM1_HUMAN	1056	Not GPI-Anchored	-	0.994	*
sp_Q8IWE5_PKHM2_HUMAN	1019	Not GPI-Anchored	-	0.994	*
sp_Q6ZWE6_PKHM3_HUMAN	761	Not GPI-Anchored	-	0.995	*
sp_Q53GL0_PKHO1_HUMAN	409	Not GPI-Anchored	-	0.995	*
sp_Q8TD55_PKHO2_HUMAN	490	Not GPI-Anchored	-	0.994	*
sp_Q9HBL7_PLRKT_HUMAN	147	Not GPI-Anchored	-	0.996	*
sp_O60240_PLIN1_HUMAN	522	Not GPI-Anchored	-	0.988	*
sp_Q99541_PLIN2_HUMAN	437	Not GPI-Anchored	-	0.996	*
sp_O60664_PLIN3_HUMAN	434	Not GPI-Anchored	-	0.996	*
sp_Q96Q06_PLIN4_HUMAN	1357	Not GPI-Anchored	-	0.990	*
sp_Q00G26_PLIN5_HUMAN	463	Not GPI-Anchored	-	0.994	*
sp_P53350_PLK1_HUMAN	603	Not GPI-Anchored	-	0.983	*
sp_Q9NYY3_PLK2_HUMAN	685	Not GPI-Anchored	-	0.986	*
sp_Q9H4B4_PLK3_HUMAN	646	Not GPI-Anchored	-	0.991	*
sp_Q496M5_PLK5_HUMAN	336	Not GPI-Anchored	-	0.982	*
sp_Q9Y342_PLLP_HUMAN	182	Not GPI-Anchored	-	0.991	*
sp_Q02809_PLOD1_HUMAN	727	Not GPI-Anchored	-	0.994	*
sp_O00469_PLOD2_HUMAN	737	Not GPI-Anchored	-	0.994	*
sp_O15031_PLXB2_HUMAN	1838	Not GPI-Anchored	-	0.994	*
sp_O60486_PLXC1_HUMAN	1568	Not GPI-Anchored	-	0.996	*
sp_Q9ULL1_PKHG1_HUMAN	1385	Not GPI-Anchored	-	0.987	*
sp_Q8TCS8_PNPT1_HUMAN	783	Not GPI-Anchored	-	0.987	*
sp_P11086_PNMT_HUMAN	282	Not GPI-Anchored	-	0.993	*
sp_Q9H307_PININ_HUMAN	717	Not GPI-Anchored	-	0.994	*
sp_Q9NRX1_PNO1_HUMAN	252	Not GPI-Anchored	-	0.992	*
