Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Site
P0CG20	PRR35_HUMAN	reviewed	Proline-rich protein 35 (Uncharacterized protein RJD1)	PRR35 C16orf11	Homo sapiens (Human)	571	
Q9ULX5	RN112_HUMAN	reviewed	RING finger protein 112 (EC 2.3.2.27) (Brain finger protein) (Zinc finger protein 179)	RNF112 BFP ZNF179	Homo sapiens (Human)	631	
Q92529	SHC3_HUMAN	reviewed	SHC-transforming protein 3 (Neuronal Shc) (N-Shc) (Protein Rai) (SHC-transforming protein C) (Src homology 2 domain-containing-transforming protein C3) (SH2 domain protein C3)	SHC3 NSHC SHCC	Homo sapiens (Human)	594	
Q9H3T3	SEM6B_HUMAN	reviewed	Semaphorin-6B (Semaphorin-Z) (Sema Z)	SEMA6B SEMAN SEMAZ UNQ1907/PRO4353	Homo sapiens (Human)	888	
O15540	FABP7_HUMAN	reviewed	Fatty acid-binding protein, brain (Brain lipid-binding protein) (BLBP) (Brain-type fatty acid-binding protein) (B-FABP) (Fatty acid-binding protein 7) (Mammary-derived growth inhibitor related)	FABP7 BLBP FABPB MRG	Homo sapiens (Human)	132	
Q9NYI0	PSD3_HUMAN	reviewed	PH and SEC7 domain-containing protein 3 (Epididymis tissue protein Li 20mP) (Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6 D) (Exchange factor for ARF6 D) (Hepatocellular carcinoma-associated antigen 67) (Pleckstrin homology and SEC7 domain-containing protein 3)	PSD3 EFA6D EFA6R HCA67 KIAA0942	Homo sapiens (Human)	1048	
P58400	NRX1B_HUMAN	reviewed	Neurexin-1-beta (Neurexin I-beta)	NRXN1	Homo sapiens (Human)	472	
Q9ULB1	NRX1A_HUMAN	reviewed	Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha)	NRXN1 KIAA0578	Homo sapiens (Human)	1477	
Q8IYE0	CC146_HUMAN	reviewed	Coiled-coil domain-containing protein 146	CCDC146 KIAA1505	Homo sapiens (Human)	955	
P53667	LIMK1_HUMAN	reviewed	LIM domain kinase 1 (LIMK-1) (EC 2.7.11.1)	LIMK1 LIMK	Homo sapiens (Human)	647	
O60359	CCG3_HUMAN	reviewed	Voltage-dependent calcium channel gamma-3 subunit (Neuronal voltage-gated calcium channel gamma-3 subunit) (Transmembrane AMPAR regulatory protein gamma-3) (TARP gamma-3)	CACNG3	Homo sapiens (Human)	315	
P12036	NFH_HUMAN	reviewed	Neurofilament heavy polypeptide (NF-H) (200 kDa neurofilament protein) (Neurofilament triplet H protein)	NEFH KIAA0845 NFH	Homo sapiens (Human)	1026	
Q8TCI5	PIFO_HUMAN	reviewed	Protein pitchfork	PIFO C1orf88	Homo sapiens (Human)	191	
P56817	BACE1_HUMAN	reviewed	Beta-secretase 1 (EC 3.4.23.46) (Aspartyl protease 2) (ASP2) (Asp 2) (Beta-site amyloid precursor protein cleaving enzyme 1) (Beta-site APP cleaving enzyme 1) (Memapsin-2) (Membrane-associated aspartic protease 2)	BACE1 BACE KIAA1149	Homo sapiens (Human)	501	
P78357	CNTP1_HUMAN	reviewed	Contactin-associated protein 1 (Caspr) (Caspr1) (Neurexin IV) (Neurexin-4) (p190)	CNTNAP1 CASPR NRXN4	Homo sapiens (Human)	1384	
O14578	CTRO_HUMAN	reviewed	Citron Rho-interacting kinase (CRIK) (EC 2.7.11.1) (Serine/threonine-protein kinase 21)	CIT CRIK KIAA0949 STK21	Homo sapiens (Human)	2027	
Q92932	PTPR2_HUMAN	reviewed	Receptor-type tyrosine-protein phosphatase N2 (R-PTP-N2) (EC 3.1.3.-) (EC 3.1.3.48) (Islet cell autoantigen-related protein) (IAR) (ICAAR) (Phogrin) [Cleaved into: IA-2beta60]	PTPRN2 KIAA0387	Homo sapiens (Human)	1015	SITE 427..428;  /note="Cleavage";  /evidence="ECO:0000255"
P78380	OLR1_HUMAN	reviewed	Oxidized low-density lipoprotein receptor 1 (Ox-LDL receptor 1) (C-type lectin domain family 8 member A) (Lectin-like oxidized LDL receptor 1) (LOX-1) (Lectin-like oxLDL receptor 1) (hLOX-1) (Lectin-type oxidized LDL receptor 1) [Cleaved into: Oxidized low-density lipoprotein receptor 1, soluble form]	OLR1 CLEC8A LOX1	Homo sapiens (Human)	273	SITE 183;  /note="Not glycosylated";  /evidence="ECO:0000305"
P47898	5HT5A_HUMAN	reviewed	5-hydroxytryptamine receptor 5A (5-HT-5) (5-HT-5A) (5-HT5A) (Serotonin receptor 5A)	HTR5A	Homo sapiens (Human)	357	
Q5JST6	EFHC2_HUMAN	reviewed	EF-hand domain-containing family member C2	EFHC2	Homo sapiens (Human)	749	
Q96PV0	SYGP1_HUMAN	reviewed	Ras/Rap GTPase-activating protein SynGAP (Neuronal RasGAP) (Synaptic Ras GTPase-activating protein 1) (Synaptic Ras-GAP 1)	SYNGAP1 KIAA1938	Homo sapiens (Human)	1343	
Q8N461	FXL16_HUMAN	reviewed	F-box/LRR-repeat protein 16 (F-box and leucine-rich repeat protein 16)	FBXL16 C16orf22 FBL16	Homo sapiens (Human)	479	
Q9UF02	CCG5_HUMAN	reviewed	Voltage-dependent calcium channel gamma-5 subunit (Neuronal voltage-gated calcium channel gamma-5 subunit) (Transmembrane AMPAR regulatory protein gamma-5) (TARP gamma-5)	CACNG5	Homo sapiens (Human)	275	
P82279	CRUM1_HUMAN	reviewed	Protein crumbs homolog 1	CRB1	Homo sapiens (Human)	1406	
P12034	FGF5_HUMAN	reviewed	Fibroblast growth factor 5 (FGF-5) (Heparin-binding growth factor 5) (HBGF-5) (Smag-82)	FGF5	Homo sapiens (Human)	268	
P51693	APLP1_HUMAN	reviewed	Amyloid beta precursor like protein 1 (Amyloid beta (A4) precursor-like protein 1) (Amyloid-like protein 1) (APLP) (APLP-1) [Cleaved into: C30]	APLP1	Homo sapiens (Human)	650	SITE 620..621;  /note="Cleavage; by caspase-3";  /evidence="ECO:0000250"
Q765I0	UTS2B_HUMAN	reviewed	Urotensin-2B (Urotensin II-related peptide) (Urotensin IIB) (U-IIB) (UIIB) (Urotensin-2 domain-containing protein)	UTS2B URP UTS2D	Homo sapiens (Human)	119	
O60241	AGRB2_HUMAN	reviewed	Adhesion G protein-coupled receptor B2 (Brain-specific angiogenesis inhibitor 2)	ADGRB2 BAI2	Homo sapiens (Human)	1585	SITE 296..297;  /note="Cleavage; by furin";  /evidence="ECO:0000269|PubMed:20367554"
Q9UJ04	TSYL4_HUMAN	reviewed	Testis-specific Y-encoded-like protein 4 (TSPY-like protein 4)	TSPYL4 KIAA0721	Homo sapiens (Human)	414	
Q00005	2ABB_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B beta isoform (PP2A subunit B isoform B55-beta) (PP2A subunit B isoform PR55-beta) (PP2A subunit B isoform R2-beta) (PP2A subunit B isoform beta)	PPP2R2B	Homo sapiens (Human)	443	
B1AJZ9	FHAD1_HUMAN	reviewed	Forkhead-associated domain-containing protein 1 (FHA domain-containing protein 1)	FHAD1 KIAA1937	Homo sapiens (Human)	1412	
O60285	NUAK1_HUMAN	reviewed	NUAK family SNF1-like kinase 1 (EC 2.7.11.1) (AMPK-related protein kinase 5) (ARK5) (Omphalocele kinase 1)	NUAK1 ARK5 KIAA0537 OMPHK1	Homo sapiens (Human)	661	
O95158	NXPH4_HUMAN	reviewed	Neurexophilin-4	NXPH4 NPH4 UNQ1928/PRO4403	Homo sapiens (Human)	308	
Q70EL1	UBP54_HUMAN	reviewed	Inactive ubiquitin carboxyl-terminal hydrolase 54 (Inactive ubiquitin-specific peptidase 54)	USP54 C10orf29	Homo sapiens (Human)	1684	
Q13639	5HT4R_HUMAN	reviewed	5-hydroxytryptamine receptor 4 (5-HT-4) (5-HT4) (Serotonin receptor 4)	HTR4	Homo sapiens (Human)	388	
Q2TAC6	KIF19_HUMAN	reviewed	Kinesin-like protein KIF19	KIF19	Homo sapiens (Human)	998	
O95803	NDST3_HUMAN	reviewed	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 3 (Glucosaminyl N-deacetylase/N-sulfotransferase 3) (NDST-3) (hNDST-3) (N-heparan sulfate sulfotransferase 3) (N-HSST 3) [Includes: Heparan sulfate N-deacetylase NDST3 (EC 3.-.-.-); [heparan sulfate]-glucosamine N-sulfotransferase NDST3 (EC 2.8.2.8)]	NDST3 HSST3 UNQ2544/PRO4998	Homo sapiens (Human)	873	
Q5M775	CYTSB_HUMAN	reviewed	Cytospin-B (Nuclear structure protein 5) (NSP5) (Sperm antigen HCMOGT-1) (Sperm antigen with calponin homology and coiled-coil domains 1)	SPECC1 CYTSB NSP5	Homo sapiens (Human)	1068	
Q9UFE4	CCD39_HUMAN	reviewed	Coiled-coil domain-containing protein 39	CCDC39	Homo sapiens (Human)	941	
O15350	P73_HUMAN	reviewed	Tumor protein p73 (p53-like transcription factor) (p53-related protein)	TP73 P73	Homo sapiens (Human)	636	
Q6UXD5	SE6L2_HUMAN	reviewed	Seizure 6-like protein 2	SEZ6L2 PSK UNQ1903/PRO4349	Homo sapiens (Human)	910	
Q9ULZ1	APEL_HUMAN	reviewed	Apelin (APJ endogenous ligand) [Cleaved into: Apelin-36; Apelin-31; Apelin-28; Apelin-13]	APLN APEL	Homo sapiens (Human)	77	
Q8TDV0	GP151_HUMAN	reviewed	G-protein coupled receptor 151 (G-protein coupled receptor PGR7) (GPCR-2037) (Galanin receptor 4) (Galanin-receptor-like protein) (GalRL)	GPR151 GALR4 GALRL PGR7	Homo sapiens (Human)	419	
A8K8P3	SFI1_HUMAN	reviewed	Protein SFI1 homolog (hSFI1)	SFI1 KIAA0542	Homo sapiens (Human)	1242	
Q6S5L8	SHC4_HUMAN	reviewed	SHC-transforming protein 4 (Rai-like protein) (RaLP) (SHC-transforming protein D) (hShcD) (Src homology 2 domain-containing-transforming protein C4) (SH2 domain protein C4)	SHC4 SHCD UNQ6438/PRO21364	Homo sapiens (Human)	630	
P49286	MTR1B_HUMAN	reviewed	Melatonin receptor type 1B (Mel-1B-R) (Mel1b receptor)	MTNR1B	Homo sapiens (Human)	362	
Q6UWN8	ISK6_HUMAN	reviewed	Serine protease inhibitor Kazal-type 6 (Kallikrein inhibitor)	SPINK6 UNQ844/PRO1782	Homo sapiens (Human)	80	SITE 42..43;  /note="Reactive bond";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00798"
O60315	ZEB2_HUMAN	reviewed	Zinc finger E-box-binding homeobox 2 (Smad-interacting protein 1) (SMADIP1) (Zinc finger homeobox protein 1b)	ZEB2 KIAA0569 SIP1 ZFHX1B ZFX1B HRIHFB2411	Homo sapiens (Human)	1214	
Q9NUR3	TM74B_HUMAN	reviewed	Transmembrane protein 74B	TMEM74B C20orf46	Homo sapiens (Human)	256	
Q587J8	KHDC3_HUMAN	reviewed	KH domain-containing protein 3 (ES cell-associated transcript 1 protein) (KHDC3-like protein)	KHDC3L C6orf221 ECAT1	Homo sapiens (Human)	217	
Q9UPR0	PLCL2_HUMAN	reviewed	Inactive phospholipase C-like protein 2 (PLC-L(2)) (PLC-L2) (Phospholipase C-L2) (Phospholipase C-epsilon-2) (PLC-epsilon-2)	PLCL2 KIAA1092 PLCE2	Homo sapiens (Human)	1127	
A6NN14	ZN729_HUMAN	reviewed	Zinc finger protein 729	ZNF729	Homo sapiens (Human)	1252	
O00445	SYT5_HUMAN	reviewed	Synaptotagmin-5 (Synaptotagmin V) (SytV)	SYT5	Homo sapiens (Human)	386	
Q9P2W7	B3GA1_HUMAN	reviewed	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1 (EC 2.4.1.135) (Beta-1,3-glucuronyltransferase 1) (Glucuronosyltransferase P) (GlcAT-P) (UDP-GlcUA:glycoprotein beta-1,3-glucuronyltransferase) (GlcUAT-P)	B3GAT1 GLCATP	Homo sapiens (Human)	334	SITE 228;  /note="Interaction with galactose moiety of substrate glycoprotein"; SITE 321;  /note="Interaction with galactose moiety of substrate glycoprotein";  /evidence="ECO:0000250"
Q9NPD7	NRN1_HUMAN	reviewed	Neuritin	NRN1 NRN	Homo sapiens (Human)	142	
Q8TBJ5	FEZF2_HUMAN	reviewed	Fez family zinc finger protein 2 (Forebrain embryonic zinc finger-like protein 2) (Zinc finger protein 312) (Zinc finger protein Fez-like)	FEZF2 FEZL ZNF312 FKSG36	Homo sapiens (Human)	459	
Q9UL68	MYT1L_HUMAN	reviewed	Myelin transcription factor 1-like protein (MyT1-L) (MyT1L)	MYT1L KIAA1106	Homo sapiens (Human)	1186	
Q2MJR0	SPRE3_HUMAN	reviewed	Sprouty-related, EVH1 domain-containing protein 3 (Spred-3)	SPRED3 EVE-3	Homo sapiens (Human)	410	
O75145	LIPA3_HUMAN	reviewed	Liprin-alpha-3 (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein alpha-3) (PTPRF-interacting protein alpha-3)	PPFIA3 KIAA0654	Homo sapiens (Human)	1194	
Q9P2U7	VGLU1_HUMAN	reviewed	Vesicular glutamate transporter 1 (VGluT1) (Brain-specific Na(+)-dependent inorganic phosphate cotransporter) (Solute carrier family 17 member 7)	SLC17A7 BNPI VGLUT1	Homo sapiens (Human)	560	
O60262	GBG7_HUMAN	reviewed	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7	GNG7 GNGT7	Homo sapiens (Human)	68	
Q9Y5L3	ENTP2_HUMAN	reviewed	Ectonucleoside triphosphate diphosphohydrolase 2 (NTPDase 2) (EC 3.6.1.-) (CD39 antigen-like 1) (Ecto-ATP diphosphohydrolase 2) (Ecto-ATPDase 2) (Ecto-ATPase 2)	ENTPD2 CD39L1	Homo sapiens (Human)	495	
O95196	CSPG5_HUMAN	reviewed	Chondroitin sulfate proteoglycan 5 (Acidic leucine-rich EGF-like domain-containing brain protein) (Neuroglycan C)	CSPG5 CALEB NGC	Homo sapiens (Human)	566	
Q9UBC7	GALP_HUMAN	reviewed	Galanin-like peptide	GALP	Homo sapiens (Human)	116	
P51513	NOVA1_HUMAN	reviewed	RNA-binding protein Nova-1 (Neuro-oncological ventral antigen 1) (Onconeural ventral antigen 1) (Paraneoplastic Ri antigen) (Ventral neuron-specific protein 1)	NOVA1	Homo sapiens (Human)	507	
Q8N9Z9	LMTD1_HUMAN	reviewed	Lamin tail domain-containing protein 1 (Intermediate filament tail domain-containing protein 1)	LMNTD1 IFLTD1	Homo sapiens (Human)	388	
Q8NGT1	OR2K2_HUMAN	reviewed	Olfactory receptor 2K2 (HTPCRH06) (Olfactory receptor OR9-17)	OR2K2 OR2AR1P	Homo sapiens (Human)	316	
Q86SP6	GP149_HUMAN	reviewed	Probable G-protein coupled receptor 149 (G-protein coupled receptor PGR10)	GPR149 PGR10	Homo sapiens (Human)	731	
O75553	DAB1_HUMAN	reviewed	Disabled homolog 1	DAB1	Homo sapiens (Human)	588	
Q96RG2	PASK_HUMAN	reviewed	PAS domain-containing serine/threonine-protein kinase (PAS-kinase) (PASKIN) (hPASK) (EC 2.7.11.1)	PASK KIAA0135	Homo sapiens (Human)	1323	
Q2TAL6	VWC2_HUMAN	reviewed	Brorin (Brain-specific chordin-like protein) (von Willebrand factor C domain-containing protein 2)	VWC2 UNQ739/PRO1434	Homo sapiens (Human)	325	
P34903	GBRA3_HUMAN	reviewed	Gamma-aminobutyric acid receptor subunit alpha-3 (GABA(A) receptor subunit alpha-3)	GABRA3	Homo sapiens (Human)	492	
Q9BSW7	SYT17_HUMAN	reviewed	Synaptotagmin-17 (Protein B/K) (Synaptotagmin XVII) (SytXVII)	SYT17	Homo sapiens (Human)	474	
P55283	CADH4_HUMAN	reviewed	Cadherin-4 (Retinal cadherin) (R-CAD) (R-cadherin)	CDH4	Homo sapiens (Human)	916	
A8MXK1	VSTM5_HUMAN	reviewed	V-set and transmembrane domain-containing protein 5	VSTM5 C11orf90	Homo sapiens (Human)	200	
Q7Z407	CSMD3_HUMAN	reviewed	CUB and sushi domain-containing protein 3 (CUB and sushi multiple domains protein 3)	CSMD3 KIAA1894	Homo sapiens (Human)	3707	
O94991	SLIK5_HUMAN	reviewed	SLIT and NTRK-like protein 5 (Leucine-rich repeat-containing protein 11)	SLITRK5 KIAA0918 LRRC11	Homo sapiens (Human)	958	
