CSF-PR / CSF GEL DEPLETED FRACTION / Proteins / 
index,PI,Accession,Other Protein(s),Description,CHROMOSOME,Gene Name,Coverage(%),Non Enzymatic Peptides,#Peptides,#Spectra,NSAF,RANK (NSAF),MW,Confidence,Spectrum Lower Range,Spectrum Upper Range,Peptide Lower Range,Peptide Upper Range,Validated
1.00,SINGLE PROTEIN,P0C0L5,, Complement C4-B (CO4B_HUMAN),6,C4B,73.45,true,243.00,4983.00,0.12,126.00,192.67,100.00,,,,,true
2.00,SINGLE PROTEIN,P0C0L4,, Complement C4-A (CO4A_HUMAN),6,C4A,73.45,true,242.00,4952.00,0.11,150.00,192.65,100.00,,,,,true
3.00,SINGLE PROTEIN,P02751,, Fibronectin (FINC_HUMAN),2,FN1,55.16,true,164.00,1935.00,0.06,251.00,262.46,100.00,,,,,true
4.00,SINGLE PROTEIN,P02768,, Serum albumin (ALBU_HUMAN),4,ALB,87.52,true,161.00,6367.00,0.92,11.00,69.32,100.00,,,,,true
5.00,SINGLE PROTEIN,P04114,, Apolipoprotein B-100 (APOB_HUMAN),2,APOB,34.69,true,147.00,424.00,0.00,1290.00,515.28,100.00,,,,,true
6.00,SINGLE PROTEIN,P06396,, Gelsolin (GELS_HUMAN),9,GSN,72.12,true,140.00,2696.00,0.69,17.00,85.64,100.00,,,,,true
7.00,SINGLE PROTEIN,P01024,, Complement C3 (CO3_HUMAN),19,C3,70.84,true,139.00,1042.00,0.06,275.00,187.03,100.00,,,,,true
8.00,SINGLE PROTEIN,P00450,, Ceruloplasmin (CERU_HUMAN),3,CP,79.53,true,128.00,2184.00,0.29,51.00,122.13,100.00,,,,,true
9.00,SINGLE PROTEIN,P01011,, Alpha-1-antichymotrypsin (AACT_HUMAN),14,SERPINA3,79.43,true,127.00,3565.00,1.95,6.00,47.62,100.00,,,,,true
10.00,SINGLE PROTEIN,P98160,, Basement membrane-specific heparan sulfate proteoglycan core protein (PGBM_HUMAN),1,HSPG2,33.52,true,123.00,656.00,0.01,808.00,468.53,100.00,,,,,true
11.00,SINGLE PROTEIN,P08603,, Complement factor H (CFAH_HUMAN),1,CFH,68.40,true,116.00,1972.00,0.15,104.00,139.00,100.00,,,,,true
12.00,SINGLE PROTEIN,P78509,, Reelin (RELN_HUMAN),7,RELN,31.65,true,114.00,585.00,0.01,871.00,388.14,100.00,,,,,true
13.00,SINGLE PROTEIN,P02790,, Hemopexin (HEMO_HUMAN),11,HPX,80.74,true,112.00,3223.00,1.15,8.00,51.64,100.00,,,,,true
14.00,SINGLE PROTEIN,Q13822,, Ectonucleotide pyrophosphatase/phosphodiesterase family member 2 (ENPP2_HUMAN),8,ENPP2,72.89,true,112.00,1753.00,0.25,60.00,98.93,100.00,,,,,true
