"CSF-PR / CSF GEL BOUND FRACTION / Proteins / "
"","PI","Accession","Other Protein(s)","Description","CHROMOSOME","Gene Name","Coverage(%)","Non Enzymatic Peptides","#Peptides","#Spectra","NSAF","RANK (NSAF)","MW","Confidence","Spectrum Lower Range","Spectrum Upper Range","Peptide Lower Range","Peptide Upper Range","Validated"
1.00,"SINGLE PROTEIN","P02768",""," Serum albumin (ALBU_HUMAN)","4","ALB",92.61,"true",273.00,27694.00,3.43,3.00,69.32,100.00,,,,,"true"
2.00,"SINGLE PROTEIN","P01024",""," Complement C3 (CO3_HUMAN)","19","C3",81.66,"true",197.00,5741.00,0.17,74.00,187.03,100.00,,,,,"true"
3.00,"SINGLE PROTEIN","P02787",""," Serotransferrin (TRFE_HUMAN)","3","TF",92.55,"true",173.00,6893.00,0.81,14.00,77.01,100.00,,,,,"true"
4.00,"SINGLE PROTEIN","P01023",""," Alpha-2-macroglobulin (A2MG_HUMAN)","12","A2M",75.58,"true",153.00,3909.00,0.15,88.00,163.19,100.00,,,,,"true"
5.00,"SINGLE PROTEIN","P08603",""," Complement factor H (CFAH_HUMAN)","1","CFH",60.76,"true",84.00,998.00,0.09,110.00,139.00,100.00,,,,,"true"
6.00,"SINGLE PROTEIN","P01009",""," Alpha-1-antitrypsin (A1AT_HUMAN)","14","SERPINA1",83.73,"true",79.00,3345.00,0.84,12.00,46.71,100.00,,,,,"true"
7.00,"SINGLE PROTEIN","P0C0L5",""," Complement C4-B (CO4B_HUMAN)","6","C4B",49.25,"true",79.00,1018.00,0.04,171.00,192.67,100.00,,,,,"true"
8.00,"SINGLE PROTEIN","P0C0L4",""," Complement C4-A (CO4A_HUMAN)","6","C4A",49.25,"true",79.00,1018.00,0.04,171.00,192.65,100.00,,,,,"true"
9.00,"SINGLE PROTEIN","P01857",""," Ig gamma-1 chain C region (IGHG1_HUMAN)","14","IGHG1",84.55,"true",75.00,3216.00,2.55,4.00,36.08,100.00,,,,,"true"
10.00,"SINGLE PROTEIN","P02751",""," Fibronectin (FINC_HUMAN)","2","FN1",36.25,"true",70.00,481.00,0.02,218.00,262.46,100.00,,,,,"true"
11.00,"SINGLE PROTEIN","P01859",""," Ig gamma-2 chain C region (IGHG2_HUMAN)","14","IGHG2",84.66,"true",66.00,2499.00,0.86,10.00,35.88,100.00,,,,,"true"
12.00,"SINGLE PROTEIN","P02766",""," Transthyretin (TTHY_HUMAN)","18","TTR",87.07,"true",64.00,3391.00,3.99,2.00,15.88,100.00,,,,,"true"
13.00,"SINGLE PROTEIN","P02649",""," Apolipoprotein E (APOE_HUMAN)","19","APOE",78.86,"true",57.00,2664.00,1.43,6.00,36.13,100.00,,,,,"true"
14.00,"SINGLE PROTEIN","P00747",""," Plasminogen (PLMN_HUMAN)","6","PLG",59.26,"true",55.00,374.00,0.07,132.00,90.51,100.00,,,,,"true"
15.00,"SINGLE PROTEIN","P01860",""," Ig gamma-3 chain C region (IGHG3_HUMAN)","14","IGHG3",68.70,"true",51.00,2093.00,0.44,26.00,41.26,100.00,,,,,"true"
16.00,"SINGLE PROTEIN","P04114",""," Apolipoprotein B-100 (APOB_HUMAN)","2","APOB",14.55,"false",50.00,172.00,0.00,672.00,515.28,100.00,,,,,"true"
