# NetGPI 1.1	Timestamp: 20221114105818
# ID	Seq-length	Pred. GPI-Anchored	Omega-site pos.	Likelihood	Amino-acid
sp_P51451_BLK_HUMAN	505	Not GPI-Anchored	-	0.996	*
sp_P24530_EDNRB_HUMAN	442	Not GPI-Anchored	-	0.964	*
sp_P40313_CTRL_HUMAN	264	Not GPI-Anchored	-	0.989	*
sp_Q6GPI1_CTRB2_HUMAN	263	Not GPI-Anchored	-	0.984	*
sp_P13498_CY24A_HUMAN	195	Not GPI-Anchored	-	0.994	*
sp_P33240_CSTF2_HUMAN	577	Not GPI-Anchored	-	0.994	*
sp_O95196_CSPG5_HUMAN	566	Not GPI-Anchored	-	0.994	*
sp_Q19T08_ECSCR_HUMAN	205	Not GPI-Anchored	-	0.985	*
sp_Q9NWM3_CUED1_HUMAN	386	Not GPI-Anchored	-	0.995	*
sp_O75071_EFC14_HUMAN	495	Not GPI-Anchored	-	0.861	*
sp_Q14527_HLTF_HUMAN	1009	Not GPI-Anchored	-	0.994	*
sp_Q8IY85_EFC13_HUMAN	973	Not GPI-Anchored	-	0.995	*
sp_Q6NXP0_EFC12_HUMAN	572	Not GPI-Anchored	-	0.991	*
sp_Q9BUY7_EFC11_HUMAN	163	Not GPI-Anchored	-	0.994	*
sp_Q5T6X4_F162B_HUMAN	162	Not GPI-Anchored	-	0.993	*
sp_P11308_ERG_HUMAN	479	Not GPI-Anchored	-	0.992	*
sp_Q96A26_F162A_HUMAN	154	Not GPI-Anchored	-	0.993	*
sp_Q96C01_F136A_HUMAN	138	Not GPI-Anchored	-	0.994	*
sp_Q9NUB4_CT141_HUMAN	165	Not GPI-Anchored	-	0.578	*
sp_Q9BQM9_CT144_HUMAN	153	Not GPI-Anchored	-	0.994	*
sp_O76062_ERG24_HUMAN	418	Not GPI-Anchored	-	0.990	*
sp_Q7Z408_CSMD2_HUMAN	3487	Not GPI-Anchored	-	0.960	*
sp_Q9NPI6_DCP1A_HUMAN	582	Not GPI-Anchored	-	0.994	*
sp_Q8WWI5_CTL1_HUMAN	657	Not GPI-Anchored	-	0.975	*
sp_Q99708_CTIP_HUMAN	897	Not GPI-Anchored	-	0.996	*
sp_P02775_CXCL7_HUMAN	128	Not GPI-Anchored	-	0.986	*
sp_Q8IX95_CTGE3_HUMAN	158	Not GPI-Anchored	-	0.993	*
sp_Q96RT6_CTGE2_HUMAN	745	Not GPI-Anchored	-	0.993	*
sp_Q6PEY0_CXB7_HUMAN	223	Not GPI-Anchored	-	0.986	*
sp_O14595_CTDS2_HUMAN	271	Not GPI-Anchored	-	0.994	*
sp_Q9UKR5_ERG28_HUMAN	140	Not GPI-Anchored	-	0.990	*
sp_Q6NSI3_FA53A_HUMAN	398	Not GPI-Anchored	-	0.975	*
sp_Q96PS1_FACOS_HUMAN	177	Not GPI-Anchored	-	0.994	*
sp_P21860_ERBB3_HUMAN	1342	Not GPI-Anchored	-	0.995	*
sp_O75844_FACE1_HUMAN	475	Not GPI-Anchored	-	0.995	*
sp_P13804_ETFA_HUMAN	333	Not GPI-Anchored	-	0.995	*
sp_Q8NEV8_EXPH5_HUMAN	1989	Not GPI-Anchored	-	0.994	*
sp_P14138_EDN3_HUMAN	238	Not GPI-Anchored	-	0.994	*
sp_P20800_EDN2_HUMAN	178	Not GPI-Anchored	-	0.995	*
sp_Q9H112_CST11_HUMAN	138	Not GPI-Anchored	-	0.980	*
sp_Q9Y3L3_3BP1_HUMAN	701	Not GPI-Anchored	-	0.986	*
sp_P35568_IRS1_HUMAN	1242	Not GPI-Anchored	-	0.994	*
sp_P78411_IRX5_HUMAN	483	Not GPI-Anchored	-	0.993	*
sp_Q9H1B7_I2BPL_HUMAN	796	Not GPI-Anchored	-	0.995	*
sp_P01569_IFNA5_HUMAN	189	Not GPI-Anchored	-	0.996	*
sp_Q96NU7_HUTI_HUMAN	426	Not GPI-Anchored	-	0.996	*
sp_Q5TF58_IFFO2_HUMAN	517	Not GPI-Anchored	-	0.987	*
sp_B1ANH7_IBADT_HUMAN	110	Not GPI-Anchored	-	0.990	*
sp_P01857_IGHG1_HUMAN	330	Not GPI-Anchored	-	0.995	*
sp_P29459_IL12A_HUMAN	219	Not GPI-Anchored	-	0.980	*
sp_P56537_IF6_HUMAN	245	Not GPI-Anchored	-	0.993	*
sp_Q6B9Z1_IGFL4_HUMAN	124	Not GPI-Anchored	-	0.992	*
sp_P20700_LMNB1_HUMAN	586	Not GPI-Anchored	-	0.992	*
sp_Q969F9_HPS3_HUMAN	1004	Not GPI-Anchored	-	0.995	*
sp_P52597_HNRPF_HUMAN	415	Not GPI-Anchored	-	0.991	*
sp_Q14103_HNRPD_HUMAN	355	Not GPI-Anchored	-	0.995	*
sp_P36639_8ODP_HUMAN	156	Not GPI-Anchored	-	0.995	*
sp_P16860_ANFB_HUMAN	134	Not GPI-Anchored	-	0.993	*
sp_Q9GZQ3_COMD5_HUMAN	224	Not GPI-Anchored	-	0.993	*
sp_Q13520_AQP6_HUMAN	282	Not GPI-Anchored	-	0.989	*
sp_Q9UBI1_COMD3_HUMAN	195	Not GPI-Anchored	-	0.994	*
sp_Q86X83_COMD2_HUMAN	199	Not GPI-Anchored	-	0.996	*
sp_Q8N668_COMD1_HUMAN	190	Not GPI-Anchored	-	0.989	*
sp_A6NJJ6_CS067_HUMAN	358	Not GPI-Anchored	-	0.981	*
sp_P54852_EMP3_HUMAN	163	Not GPI-Anchored	-	0.861	*
sp_Q9H2H0_CXXC4_HUMAN	198	Not GPI-Anchored	-	0.984	*
sp_O60494_CUBN_HUMAN	3623	Not GPI-Anchored	-	0.979	*
sp_P31146_COR1A_HUMAN	461	Not GPI-Anchored	-	0.995	*
sp_Q5JW98_CAHM4_HUMAN	314	Not GPI-Anchored	-	0.996	*
sp_O00230_CORT_HUMAN	105	Not GPI-Anchored	-	0.994	*
sp_Q8IW19_APLF_HUMAN	511	Not GPI-Anchored	-	0.996	*
sp_Q9Y689_ARL5A_HUMAN	179	Not GPI-Anchored	-	0.994	*
sp_Q9BZZ5_API5_HUMAN	524	Not GPI-Anchored	-	0.992	*
sp_Q96BI3_APH1A_HUMAN	265	Not GPI-Anchored	-	0.992	*
sp_Q99873_ANM1_HUMAN	371	Not GPI-Anchored	-	0.995	*
sp_P43146_DCC_HUMAN	1447	Not GPI-Anchored	-	0.989	*
sp_P06132_DCUP_HUMAN	367	Not GPI-Anchored	-	0.991	*
sp_O75935_DCTN3_HUMAN	186	Not GPI-Anchored	-	0.996	*
sp_O43303_CP110_HUMAN	1012	Not GPI-Anchored	-	0.994	*
sp_P20674_COX5A_HUMAN	150	Not GPI-Anchored	-	0.995	*
sp_Q6V0L0_CP26C_HUMAN	522	Not GPI-Anchored	-	0.958	*
sp_Q9ULZ9_MMP17_HUMAN	603	GPI-Anchored	565	0.327	S
sp_Q9NVX7_KBTB4_HUMAN	518	Not GPI-Anchored	-	0.695	*
sp_Q8NDC4_MORN4_HUMAN	146	Not GPI-Anchored	-	0.993	*
sp_P0C870_JMJD7_HUMAN	316	Not GPI-Anchored	-	0.992	*
sp_P20702_ITAX_HUMAN	1163	Not GPI-Anchored	-	0.993	*
sp_Q8IU57_INLR1_HUMAN	520	Not GPI-Anchored	-	0.993	*
sp_A6NMK8_INY2B_HUMAN	535	Not GPI-Anchored	-	0.995	*
sp_Q6ZRS4_ITPI1_HUMAN	1044	Not GPI-Anchored	-	0.989	*
sp_Q1A5X6_IQCJ_HUMAN	159	Not GPI-Anchored	-	0.989	*
sp_A0A1B0GVH7_IQCM_HUMAN	501	Not GPI-Anchored	-	0.996	*
sp_A6NCM1_IQCAL_HUMAN	818	Not GPI-Anchored	-	0.996	*
sp_Q4KMZ1_IQCC_HUMAN	466	Not GPI-Anchored	-	0.991	*
sp_O15131_IMA6_HUMAN	539	Not GPI-Anchored	-	0.994	*
sp_A4D0V7_CPED1_HUMAN	1026	Not GPI-Anchored	-	0.995	*
sp_Q6ZS62_COLC1_HUMAN	124	Not GPI-Anchored	-	0.979	*
sp_P14316_IRF2_HUMAN	349	Not GPI-Anchored	-	0.988	*
sp_Q9NZU0_FLRT3_HUMAN	649	Not GPI-Anchored	-	0.983	*
sp_Q0D2K5_EGFEM_HUMAN	195	Not GPI-Anchored	-	0.991	*
sp_P13929_ENOB_HUMAN	434	Not GPI-Anchored	-	0.995	*
sp_A1L3X0_ELOV7_HUMAN	281	Not GPI-Anchored	-	0.980	*
sp_Q8WYP5_ELYS_HUMAN	2266	Not GPI-Anchored	-	0.994	*
sp_Q5VWQ8_DAB2P_HUMAN	1189	Not GPI-Anchored	-	0.985	*
sp_Q01524_DEF6_HUMAN	100	Not GPI-Anchored	-	0.992	*
sp_Q9BQ39_DDX50_HUMAN	737	Not GPI-Anchored	-	0.990	*
sp_Q9NQI0_DDX4_HUMAN	724	Not GPI-Anchored	-	0.990	*
sp_Q9BUQ8_DDX23_HUMAN	820	Not GPI-Anchored	-	0.994	*
sp_Q9UHL0_DDX25_HUMAN	483	Not GPI-Anchored	-	0.996	*
sp_Q9NUU7_DD19A_HUMAN	478	Not GPI-Anchored	-	0.984	*
sp_A6NH13_DAS1_HUMAN	148	Not GPI-Anchored	-	0.994	*
sp_Q14203_DCTN1_HUMAN	1278	Not GPI-Anchored	-	0.990	*
sp_P0C7X4_FHL19_HUMAN	201	Not GPI-Anchored	-	0.466	*
sp_Q9P219_DAPLE_HUMAN	2028	Not GPI-Anchored	-	0.993	*
sp_Q6GPH6_IPIL1_HUMAN	555	Not GPI-Anchored	-	0.991	*
sp_A8MXQ7_IQAK1_HUMAN	560	Not GPI-Anchored	-	0.993	*
sp_Q9NQZ3_DAZ1_HUMAN	744	Not GPI-Anchored	-	0.994	*
sp_Q8N0V5_GNT2A_HUMAN	402	Not GPI-Anchored	-	0.994	*
sp_Q6ZMW3_EMAL6_HUMAN	1958	Not GPI-Anchored	-	0.991	*
sp_Q8IZS6_DYLT2_HUMAN	198	GPI-Anchored	175	0.278	S
