# NetGPI 1.1	Timestamp: 20220609104850
# ID	Seq-length	Pred. GPI-Anchored	Omega-site pos.	Likelihood	Amino-acid
sp_Q9P265_DIP2B_HUMAN	1576	Not GPI-Anchored	-	0.993	*
sp_O43820_HYAL3_HUMAN	417	Not GPI-Anchored	-	0.995	*
sp_P34969_5HT7R_HUMAN	479	Not GPI-Anchored	-	0.993	*
sp_Q92743_HTRA1_HUMAN	480	Not GPI-Anchored	-	0.995	*
sp_O43464_HTRA2_HUMAN	458	Not GPI-Anchored	-	0.996	*
sp_P83110_HTRA3_HUMAN	453	Not GPI-Anchored	-	0.991	*
sp_P83105_HTRA4_HUMAN	476	Not GPI-Anchored	-	0.991	*
sp_P42858_HD_HUMAN	3142	Not GPI-Anchored	-	0.994	*
sp_P57058_HUNK_HUMAN	714	Not GPI-Anchored	-	0.994	*
sp_O60921_HUS1_HUMAN	280	Not GPI-Anchored	-	0.989	*
sp_Q7Z6Z7_HUWE1_HUMAN	4374	Not GPI-Anchored	-	0.992	*
sp_Q96D96_HVCN1_HUMAN	273	Not GPI-Anchored	-	0.989	*
sp_Q12794_HYAL1_HUMAN	435	Not GPI-Anchored	-	0.995	*
sp_Q12891_HYAL2_HUMAN	473	GPI-Anchored	447	0.391	G
sp_Q2M3T9_HYAL4_HUMAN	481	GPI-Anchored	455	0.360	C
sp_P47898_5HT5A_HUMAN	357	Not GPI-Anchored	-	0.990	*
sp_Q4G0P3_HYDIN_HUMAN	5121	Not GPI-Anchored	-	0.989	*
sp_Q5T013_HYI_HUMAN	277	Not GPI-Anchored	-	0.995	*
sp_A2RU49_HYKK_HUMAN	373	Not GPI-Anchored	-	0.993	*
sp_Q96M11_HYLS1_HUMAN	299	Not GPI-Anchored	-	0.984	*
sp_Q9Y4L1_HYOU1_HUMAN	999	Not GPI-Anchored	-	0.994	*
sp_Q9NX55_HYPK_HUMAN	121	Not GPI-Anchored	-	0.986	*
sp_Q2TAA2_IAH1_HUMAN	248	Not GPI-Anchored	-	0.993	*
sp_P41252_SYIC_HUMAN	1262	Not GPI-Anchored	-	0.993	*
sp_Q9NSE4_SYIM_HUMAN	1012	Not GPI-Anchored	-	0.994	*
sp_Q5T440_CAF17_HUMAN	356	Not GPI-Anchored	-	0.994	*
sp_P21815_SIAL_HUMAN	317	Not GPI-Anchored	-	0.995	*
sp_Q9P2D0_IBTK_HUMAN	1353	Not GPI-Anchored	-	0.991	*
sp_P50406_5HT6R_HUMAN	440	Not GPI-Anchored	-	0.986	*
sp_Q13639_5HT4R_HUMAN	388	Not GPI-Anchored	-	0.993	*
sp_Q8NDH6_ICA1L_HUMAN	482	Not GPI-Anchored	-	0.989	*
sp_P61604_CH10_HUMAN	102	Not GPI-Anchored	-	0.993	*
sp_P38646_GRP75_HUMAN	679	Not GPI-Anchored	-	0.994	*
sp_P04792_HSPB1_HUMAN	205	Not GPI-Anchored	-	0.995	*
sp_Q9Y547_IFT25_HUMAN	144	Not GPI-Anchored	-	0.976	*
sp_Q16082_HSPB2_HUMAN	182	Not GPI-Anchored	-	0.996	*
sp_Q12988_HSPB3_HUMAN	150	Not GPI-Anchored	-	0.995	*
sp_O14558_HSPB6_HUMAN	160	Not GPI-Anchored	-	0.993	*
sp_Q9UBY9_HSPB7_HUMAN	170	Not GPI-Anchored	-	0.995	*
sp_Q9UJY1_HSPB8_HUMAN	196	Not GPI-Anchored	-	0.995	*
sp_Q9BQS6_HSPB9_HUMAN	159	Not GPI-Anchored	-	0.993	*
sp_Q96EW2_HBAP1_HUMAN	488	Not GPI-Anchored	-	0.988	*
sp_Q9NZL4_HPBP1_HUMAN	359	Not GPI-Anchored	-	0.993	*
sp_P10809_CH60_HUMAN	573	Not GPI-Anchored	-	0.987	*
sp_P98160_PGBM_HUMAN	4391	Not GPI-Anchored	-	0.983	*
sp_O95264_5HT3B_HUMAN	441	Not GPI-Anchored	-	0.585	*
sp_Q92598_HS105_HUMAN	858	Not GPI-Anchored	-	0.993	*
sp_Q9BUP3_HTAI2_HUMAN	242	Not GPI-Anchored	-	0.995	*
sp_O43719_HTSF1_HUMAN	755	Not GPI-Anchored	-	0.991	*
sp_P86397_HTD2_HUMAN	168	Not GPI-Anchored	-	0.985	*
sp_P08908_5HT1A_HUMAN	422	Not GPI-Anchored	-	0.993	*
sp_P28222_5HT1B_HUMAN	390	Not GPI-Anchored	-	0.983	*
sp_P28221_5HT1D_HUMAN	377	Not GPI-Anchored	-	0.974	*
sp_P28566_5HT1E_HUMAN	365	Not GPI-Anchored	-	0.988	*
