Supplementary Table 2. Spectrum Mill protein summary report of the iTRAQ discovery data. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Exp1 numSpectra;Exp1 totalIntensity;Exp1 pct_cov;Exp1 unique_peptides;Exp1 iTRAQ_ratio_1;Exp1 iTRAQ_ratio_2;Exp1 iTRAQ_ratio_3;Exp2 numSpectra;Exp2 totalIntensity;Exp2 pct_cov;Exp2 unique_peptides;Exp2 iTRAQ_ratio_1;Exp2 iTRAQ_ratio_2;Exp2 iTRAQ_ratio_3;Exp3 numSpectra;Exp3 totalIntensity;Exp3 pct_cov;Exp3 unique_peptides;Exp3 iTRAQ_ratio_1;Exp3 iTRAQ_ratio_2;Exp3 iTRAQ_ratio_3;Exp4 numSpectra;Exp4 totalIntensity;Exp4 pct_cov;Exp4 unique_peptides;Exp4 iTRAQ_ratio_1;Exp4 iTRAQ_ratio_2;Exp4 iTRAQ_ratio_3;Exp5 numSpectra;Exp5 totalIntensity;Exp5 pct_cov;Exp5 unique_peptides;Exp5 iTRAQ_ratio_1;Exp5 iTRAQ_ratio_2;Exp5 iTRAQ_ratio_3; accession_number; accession_numbers; coverage_map; coverage_maps; percentCoverage; percentCoverages; numPepsUnique; scoreUnique; scoresUnique;iTRAQ_115_114;iTRAQ_115_114_stddev;iTRAQ_116_114;iTRAQ_116_114_stddev;iTRAQ_117_114;iTRAQ_117_114_stddev;iTRAQ_numRatios; groupNum; subgroupNum; numSubgroups; entry_name;;;
857;1,11E+11;55%;89;0,81;1,01;0,85;989;1,72E+11;59%;94;1,67;1,64;1,58;926;2,82E+11;55%;88;0,75;0,64;1,32;938;3,41E+11;58%;92;0,62;0,68;0,77;1010;5,23E+11;55%;92;1,11;0,84;1,25;IPI00892604;IPI00892604|IPI00418163|IPI00887154|IPI00969516;0+1533+31+180;0+22+37+4+92+4+26+3+26+20+59+4+7+12+21+38+29+55+61+39+20+9+26+52+5+8+21+1+13+8+22+3+68+2+11+3+13+72+38+2+49+25+21+9+66+41+43+68+47+15+9+3+23+7+8+38+19+10+17+3+87+1+10+2+17+10+9+2+15+11+14+3+12+6+5+63|0+22+37+4+92+4+26+3+26+20+59+4+7+12+21+38+29+55+61+39+20+9+26+52+5+8+21+1+13+8+22+3+68+2+11+3+13+72+38+2+49+25+21+9+66+41+43+68+47+15+9+3+23+7+8+38+19+10+17+3+87+1+10+2+17+10+9+2+15+11+14+3+12+6+5+63|0+22+37+4+92+4+26+3+26+20+59+4+7+12+21+38+29+55+61+39+20+9+26+52+5+8+21+1+13+8+22+3+68+2+11+3+13+72+38+2+49+25+21+9+66+41+43+68+47+15+9+3+23+7+8+38+19+10+17+3+87+1+10+2+17+10+9+2+15+11+14+3+12+6+5+63|0+21+27+41+43+68+47+15+9+3+23+7+8+38+19+10+17+3+87+1+10+2+17+10+9+2+15+11+14+3+12+6+5+63;61;61|61|61|54;99;1828,63;1828.63|1828.63|1827.56|555.46;1;0,9;0,97;1,26;1,16;1,48;4041;1;1,1;1;C4B Complement component C4B (Childo blood group) 2;;;
844;1,08E+11;55%;89;0,81;1,02;0,84;971;1,69E+11;59%;94;1,68;1,65;1,57;912;2,79E+11;55%;88;0,75;0,64;1,32;924;3,38E+11;58%;92;0,62;0,69;0,76;985;5,16E+11;55%;91;1,13;0,86;1,23;IPI00643525;IPI00643525|IPI00843913|IPI00892547|IPI00937598;0+1533+31+180;0+22+37+4+92+4+26+3+26+20+59+4+7+12+21+38+29+55+61+39+20+9+26+52+5+8+21+1+13+8+22+3+68+2+11+3+13+72+38+2+49+25+21+9+66+41+37+74+47+15+9+3+23+7+8+38+19+10+17+3+87+1+10+2+17+10+9+2+15+11+14+3+12+6+5+63|0+22+37+4+92+4+26+3+26+20+59+4+7+12+21+38+29+55+61+39+20+9+26+52+5+8+21+1+13+8+22+3+68+2+11+3+13+72+38+2+49+25+21+9+66+41+37+74+47+15+9+3+23+7+8+38+19+10+17+3+87+1+10+2+17+10+9+2+15+11+14+3+12+6+5+63|0+22+37+4+92+4+26+3+26+20+59+4+7+12+21+38+29+80+36+39+20+9+26+52+5+8+21+1+13+8+22+3+68+2+11+3+13+72+38+2+49+25+21+9+66+41+37+74+47+15+9+3+23+7+8+38+19+10+17+3+87+1+10+2+17+10+9+2+15+11+14+3+12+6+5+63|0+22+37+4+92+4+26+3+26+20+59+4+7+12+21+38+29+80+36+39+20+9+26+52+5+8+21+1+13+8+22+3+68+2+11+3+13+72+38+2+49+25+21+9+66+41+37+74+47+15+9+3+23+7+8+38+19+10+61+1+10+2+17+10+9+2+15+11+14+3+12+6+5+63;60;60|60|59|58;98;1813,86;1813.86|1812.79|1792.99|1719.96;1;0,9;0,97;1,27;1,15;1,49;3969;1;1,2;1;C4A Putative uncharacterized protein C4A;;;
818;1,04E+11;53%;87;0,8;1,03;0,85;932;1,62E+11;57%;93;1,69;1,69;1,61;868;2,63E+11;53%;86;0,75;0,65;1,32;888;3,18E+11;56%;90;0,61;0,69;0,77;953;4,78E+11;53%;89;1,13;0,86;1,23;IPI00654875;IPI00654875;0+1533+31+180;0+22+37+4+92+4+26+3+26+20+59+4+7+12+21+38+29+55+61+39+20+9+26+52+5+8+21+1+13+8+22+3+68+2+11+3+13+72+38+2+49+25+21+9+66+41+15+96+47+15+9+3+23+7+8+38+19+10+17+3+87+1+10+2+17+10+9+2+15+11+14+3+12+6+5+63;59;59;97;1790,44;1790,44;1;0,92;0,98;1,31;1,16;1,54;3812;1;1,3;1;C4B Complement C4-B;;;
269;1,30E+10;30%;57;0,64;0,87;0,47;300;1,94E+10;34%;62;1,31;0,87;0,91;271;3,95E+10;31%;58;0,61;0,63;1,05;305;4,34E+10;32%;61;0,47;0,35;0,55;276;4,84E+10;30%;58;0,35;0,5;0,85;IPI00022418;IPI00022418|IPI00339223|IPI00855785|IPI00339227|IPI00339224|IPI00339228|IPI00855777|IPI00339226|IPI00414283|IPI00479723|IPI00339225|IPI00873210|IPI00339319|IPI00867588|IPI00556632|IPI00411462|IPI00856050|IPI00383776;0+1355+27+1004;0+57+10+16+33+16+23+19+11+45+7+4+7+121+42+33+13+22+7+68+30+71+39+136+12+61+93+20+19+5+37+39+13+33+45+44+23+10+22+49+34+45+42+3+94+6+7+50+25+68+24+8+26+79+61+2+16+45+29+130+15+59+21+39+27+24+22+30|0+57+10+16+33+16+23+19+11+45+7+4+7+121+42+33+13+22+7+68+30+71+39+136+12+61+93+20+19+5+37+39+13+33+45+44+23+10+22+49+34+45+42+3+94+6+7+50+25+68+24+8+26+79+61+2+16+45+29+99+15+59+21+39+27+24+22+30|0+57+10+16+33+16+23+19+11+45+7+4+7+121+42+33+13+22+7+68+30+71+39+136+12+61+93+20+19+5+37+39+13+33+45+168+22+49+34+45+42+3+94+6+7+50+25+68+24+8+26+79+61+2+16+45+29+130+15+59+21+39+27+24+22+30|0+57+10+16+33+16+23+19+11+45+7+4+7+121+42+33+13+22+7+68+30+71+39+136+12+61+93+20+19+5+37+39+13+33+45+168+22+49+34+45+42+3+94+6+7+50+25+68+24+8+26+79+61+2+16+45+29+99+15+59+21+39+27+24+22+30|0+57+10+16+33+16+23+19+11+45+7+4+7+121+42+33+13+22+7+68+30+71+39+136+12+61+93+20+19+5+37+39+13+33+45+44+23+10+22+49+34+45+42+3+94+6+7+50+25+68+24+8+26+79+61+2+16+148+15+59+21+39+27+24+22+30|0+57+10+16+33+16+23+19+11+45+7+4+7+121+42+33+13+22+7+68+30+71+39+136+12+61+93+20+19+5+37+39+13+33+45+44+23+10+22+49+34+45+42+3+94+6+7+53+24+8+26+79+61+2+16+45+29+130+15+59+21+39+27+24+22+30|0+57+10+16+33+16+23+19+11+45+7+4+7+121+42+33+13+22+7+68+30+71+39+136+12+61+93+20+19+5+37+39+13+33+45+44+23+10+22+49+34+45+42+3+94+6+7+53+24+8+26+79+61+2+16+45+29+99+15+59+21+39+27+24+22+30|0+57+10+16+33+16+23+19+11+45+7+4+7+121+42+33+13+22+7+68+30+71+39+136+12+61+93+20+19+5+37+39+13+33+45+44+23+10+22+49+34+45+42+3+94+6+7+50+25+68+24+8+26+79+61+2+16+76+21+39+27+24+22+30|0+57+10+16+33+16+23+19+11+45+7+4+7+121+42+33+13+22+7+68+30+71+39+136+12+61+93+20+19+5+37+39+13+33+45+44+23+10+22+49+34+45+42+3+94+6+7+53+24+8+26+79+61+2+16+148+15+59+21+39+27+24+22+30|0+57+10+16+33+16+23+19+11+45+7+4+7+121+42+33+13+22+7+68+30+71+39+136+12+61+93+20+19+5+37+39+13+33+45+44+23+10+22+49+34+45+42+3+94+6+7+53+24+8+26+79+61+2+16+84+15+59+21+39+27+24+22+30|0+57+10+16+33+16+23+19+11+45+7+4+7+121+42+33+13+22+7+68+30+71+39+136+12+61+93+20+19+5+37+39+13+33+45+44+23+10+22+49+34+45+42+3+94+6+7+50+25+68+24+8+26+79+61+2+16+84+15+64+27+24+22+30|0+57+10+16+33+16+23+19+11+45+7+4+7+121+42+33+13+22+7+68+30+71+39+136+12+61+93+20+19+5+37+39+13+33+45+176+7+45+42+3+94+6+7+50+25+68+24+8+26+79+61+2+16+45+29+130+15+59+21+39+27+24+22+30|0+57+10+16+33+16+23+19+11+45+7+4+7+121+42+33+13+22+7+68+30+71+39+136+12+61+93+20+19+5+37+39+13+33+45+175+7+45+42+3+94+6+7+50+25+68+24+8+26+79+61+2+16+45+29+130+15+59+21+39+27+24+22+30|0+57+10+16+33+16+23+19+11+45+7+4+7+121+42+33+13+22+7+68+30+71+39+136+12+61+93+20+19+5+37+39+13+33+45+168+22+49+34+45+42+3+94+6+7+53+24+8+26+79+61+2+16+84+15+59+21+39+27+24+22+30|0+57+10+16+33+16+23+19+11+45+7+4+7+121+42+33+13+22+7+68+30+71+39+136+12+61+93+20+19+5+37+39+13+33+45+61+73+6+7+53+24+8+26+79+61+2+16+148+15+59+21+39+27+24+22+30|0+57+10+16+33+16+23+19+11+45+7+4+7+134+14+33+13+22+7+68+30+73|0+16+12+6+7+53+17+2+16+45+29+99+15+25|0+11+16+93;38;38|39|36|37|38|39|39|40|39|40|39|35|35|37|36|24|28|13;72;1236,41;1236.41|1236.41|1219.78|1219.78|1217.06|1201.4|1201.4|1195.98|1182.05|1182.05|1180.3|1165.74|1165.74|1165.42|1038.6|250.28|118.42|31.87;0,67;0,41;0,64;0,31;0,76;0,36;1357;2;2,1;1;FN1 Isoform 1 of Fibronectin;;;
272;1,40E+10;28%;56;0,64;0,87;0,47;305;2,01E+10;32%;61;1,32;0,88;0,92;278;4,14E+10;29%;57;0,61;0,63;1,05;312;4,49E+10;30%;61;0,47;0,35;0,54;286;5,06E+10;29%;58;0,34;0,5;0,85;IPI00845263;IPI00845263;0+1446+27+948;0+57+10+16+33+16+23+19+11+45+7+4+7+121+42+33+13+22+7+68+30+71+39+136+12+61+93+20+19+5+37+39+13+33+45+168+22+49+34+45+42+3+94+6+7+50+25+68+24+8+26+79+61+2+16+148+27+47+21+39+27+24+22+30;36;36;71;1222,98;1222,98;0,67;0,41;0,64;0,31;0,76;0,35;1392;2;2,2;1;FN1 fibronectin isoform 2 preproprotein;;;
325;2,10E+10;39%;50;0,82;0,59;1,09;332;2,49E+10;40%;53;0,99;0,81;0,68;361;6,91E+10;41%;55;0,82;0,99;0,88;370;8,26E+10;42%;55;0,62;0,55;0,83;376;1,23E+11;43%;55;1,18;0,6;0,88;IPI00019591;IPI00019591|IPI00947496|IPI00921523|IPI00893864|IPI00947137|IPI00218508|IPI00942221|IPI00947478|IPI00910539|IPI00945859;0+883+25+358;0+104+6+92+66+13+23+20+49+11+33+31+9+14+6+75+24+3+9+9+4+76+23+93+57+33+32+6+35+31+21+27+12+19+17+6+18+3+31+3+6+10+49+3+16+6+32|0+173+46+29+49+11+33+31+9+14+6+125+23+93+57+33+32+6+35+31+21+27+12+19+17+6+18+3+31+3+6+10+49+3+16+6+32|0+50+24+3+9+9+4+76+23+93+57+33+32+6+35+31+21+27+12+19+17+6+18+3+31+3+6+10+49+3+16+6+32|0+50+24+3+9+9+4+76+23+93+57+33+32+6+35+31+21+27+12+19+17+8|0+19+7+6+35+38+17+6+18+3+31+3+6+10+49+3+16+6+32|0+50+24+3+9+9+4+76+23+93+57+33+32+6+35+31+21+27+5+83|0+31+6+92+23+5|0+50+24+3+9+9+4+45|0+50+24+3+9+9+4+23|0+3+28+37;45;45|44|50|39|69|33|18|25|30|41;63;1079,62;1079.62|952.39|731.1|442.8|406.99|384.32|54.59|47.71|47.71|39.51;0,89;0,38;0,7;0,42;0,87;0,56;1661;3;3,1;1;CFB cDNA FLJ55673, highly similar to Complement factor B;;;
313;2,00E+10;39%;49;0,85;0,59;1,09;309;2,36E+10;39%;51;0,98;0,81;0,69;341;6,63E+10;39%;53;0,82;0,99;0,88;350;8,06E+10;41%;53;0,62;0,55;0,85;357;1,21E+11;41%;53;1,18;0,6;0,87;IPI00939824;IPI00939824|IPI00939333;0+883+25+358;0+104+6+92+66+13+23+20+49+11+33+31+9+14+6+75+24+3+9+9+4+76+23+93+57+33+32+6+35+31+21+27+12+19+17+6+18+3+31+3+6+10+49+3+16+6+32|0+50+24+3+9+9+4+76+23+93+57+33+32+6+35+31+21+27+12+19+17+6+18+3+31+3+6+10+49+3+16+6+32;45;45|50;62;1052,8;1052.8|704.28;0,89;0,39;0,7;0,42;0,87;0,57;1570;3;3,2;1;- 141 kDa protein;;;
76;2,22E+09;24%;17;0,78;0,67;0,96;84;2,72E+09;27%;20;1,04;0,9;0,81;75;6,27E+09;25%;20;0,66;0,79;1,06;111;1,24E+10;28%;21;0,55;0,47;1,55;76;8,61E+09;25%;19;0,66;0,35;0,96;IPI00303963;IPI00303963|IPI00645500|IPI00910028|IPI00643506|IPI00946416|IPI00943098|IPI00945911|IPI00945726;0+493+17+242;0+166+6+131+26+26+66+13+23+20+49+11+33+31+9+14+6+60+21+10+13+6+12|0+137+6+131+26+26+66+13+23+20+49+11+33+31+9+14+6+60+21+10+13+6+12|0+57+26+26+66+13+23+20+49+11+33+31+9+14+6+60+21+10+13+6+12|0+43+6+92+66+13+23+20+49+11+33+31+9+14+6+60+21+10+13+6+12|0+30+6+92+66+13+23+20+49+11+33+31+9+14+6+60+21+10+13+6+12|0+90+26+26+66+13+23+20+49+11+33+31+9+14+6+46|0+34+6+131+26+26+66+13+23+28|0+26+26+26+46+36;35;35|36|50|44|45|45|34|45;27;441,6;441.6|441.6|428.96|407.51|407.51|369.97|204|124.48;0,73;0,28;0,62;0,28;1,1;0,41;400;3;3,3;1;C2 Complement C2 (Fragment);;;
431;6,57E+10;49%;45;0,83;1;1,67;429;6,69E+10;51%;45;1,03;1,03;0,85;490;1,86E+11;50%;45;1;1,32;1,14;464;1,71E+11;48%;41;0,79;0,81;0,92;452;1,99E+11;49%;44;0,84;0,73;0,83;IPI00017601;IPI00017601|IPI00947307|IPI00794184|IPI00793626|IPI00793108|IPI00879084|IPI00946590|IPI00792393;0+439+23+603;0+22+20+1+19+7+41+38+61+28+21+22+27+38+14+13+23+27+14+1+44+3+74+12+49+93+20+38+8+2+39+45+37+5+5+25+21+51+23+34|0+22+20+1+19+7+41+38+61+28+21+22+27+38+14+13+23+27+14+1+44+3+53+10+11+12+49+22+20+38+8+2+39+45+37+5+5+25+21+60|0+18+21+22+27+38+14+13+23+27+14+1+44+3+53+10+11+12+49+93+20+38+8+2+39+45+37+5+5+25+21+51+23+34|0+14+49+79+20+26|0+16+37+5+5+25+21+65|0+22+20+67+41+29|0+22+14+5+5+25+21+51+23+59|0+24+23+41;52;52|55|48|36|36|34|28|26;50;957,29;957.29|918.71|732.2|152.09|93.37|93.04|90.74|19.87;0,89;0,56;0,97;0,92;1,07;1,08;1846;4;4,1;1;CP Ceruloplasmin;;;
213;1,15E+10;41%;45;0,8;0,77;0,89;241;1,51E+10;41%;49;1,21;1,05;0,95;230;4,10E+10;35%;42;0,76;0,95;1;234;3,92E+10;32%;38;0,77;0,66;0,8;284;6,11E+10;43%;49;0,7;0,69;1,32;IPI00029739;IPI00029739|IPI00942414|IPI00218999|IPI00515041|IPI00027507|IPI00908535|IPI00844262|IPI00654723;0+958+14+259;0+28+23+6+21+4+63+11+27+21+7+25+29+20+10+13+43+53+20+72+22+2+7+40+15+1+41+20+22+63+20+5+12+3+9+56+20+3+10+18+21+13+13+26+51+27+8+22+6+90+24+2+14+13+15+1|0+28+23+6+21+4+63+11+27+21+7+25+29+20+10+13+43+53+20+25|0+18+23+6+21+4+63+11+27+21+7+25+29+20+10+13+43+53+20+25|0+28+23+6+21+4+45+45+29+20+10+13+43+53+20+25|0+39+10+281|0+39+10+220|0+39+10+183|0+39+10+146;46;46|54|55|49|3|3|4|5;55;914,49;914.49|396.32|396.32|291.42|20.32|20.32|20.32|20.32;0,84;0,54;0,82;0,57;1,01;0,8;1132;5;5,1;1;CFH Isoform 1 of Complement factor H;;;
