# NetGPI 1.1	Timestamp: 20221114111313
# ID	Seq-length	Pred. GPI-Anchored	Omega-site pos.	Likelihood	Amino-acid
sp_Q8NGR5_OR1L4_HUMAN	311	Not GPI-Anchored	-	0.989	*
sp_Q9P253_VPS18_HUMAN	973	Not GPI-Anchored	-	0.993	*
sp_O43895_XPP2_HUMAN	674	GPI-Anchored	649	0.443	A
sp_Q8IWB7_WDFY1_HUMAN	410	Not GPI-Anchored	-	0.991	*
sp_Q6ICG8_WBP2L_HUMAN	309	Not GPI-Anchored	-	0.986	*
sp_O15537_XLRS1_HUMAN	224	Not GPI-Anchored	-	0.988	*
sp_P54219_VMAT1_HUMAN	525	Not GPI-Anchored	-	0.995	*
sp_Q5GH76_XKR4_HUMAN	650	Not GPI-Anchored	-	0.995	*
sp_Q05940_VMAT2_HUMAN	514	Not GPI-Anchored	-	0.978	*
sp_Q7Z3J2_VP35L_HUMAN	963	Not GPI-Anchored	-	0.994	*
sp_Q9C0C9_UBE2O_HUMAN	1292	Not GPI-Anchored	-	0.994	*
sp_Q9UBQ0_VPS29_HUMAN	182	Not GPI-Anchored	-	0.996	*
sp_Q9NRW7_VPS45_HUMAN	570	Not GPI-Anchored	-	0.991	*
sp_Q15836_VAMP3_HUMAN	100	Not GPI-Anchored	-	0.403	*
sp_O94966_UBP19_HUMAN	1318	Not GPI-Anchored	-	0.643	*
sp_Q5SRN2_TSBP1_HUMAN	563	Not GPI-Anchored	-	0.996	*
sp_P19224_UD16_HUMAN	532	Not GPI-Anchored	-	0.993	*
sp_Q14694_UBP10_HUMAN	798	Not GPI-Anchored	-	0.990	*
sp_Q9UBH6_XPR1_HUMAN	696	Not GPI-Anchored	-	0.994	*
sp_Q9BS34_ZN670_HUMAN	389	Not GPI-Anchored	-	0.993	*
sp_Q5VV52_ZN691_HUMAN	315	Not GPI-Anchored	-	0.966	*
sp_Q9UK33_ZN580_HUMAN	172	Not GPI-Anchored	-	0.994	*
sp_Q96A56_T53I1_HUMAN	240	Not GPI-Anchored	-	0.995	*
sp_P40227_TCPZ_HUMAN	531	Not GPI-Anchored	-	0.992	*
sp_Q4LDE5_SVEP1_HUMAN	3571	Not GPI-Anchored	-	0.994	*
sp_Q8WXF1_PSPC1_HUMAN	523	Not GPI-Anchored	-	0.994	*
sp_Q9BVG9_PTSS2_HUMAN	487	Not GPI-Anchored	-	0.987	*
sp_Q9UQ74_PSG8_HUMAN	426	Not GPI-Anchored	-	0.968	*
sp_Q15008_PSMD6_HUMAN	389	Not GPI-Anchored	-	0.995	*
sp_E5RG02_PRS46_HUMAN	174	Not GPI-Anchored	-	0.993	*
sp_P08575_PTPRC_HUMAN	1306	Not GPI-Anchored	-	0.977	*
sp_P58294_PROK1_HUMAN	105	Not GPI-Anchored	-	0.994	*
sp_Q6ZSY5_PPR3F_HUMAN	799	Not GPI-Anchored	-	0.478	*
sp_Q8IY26_PLPP6_HUMAN	295	Not GPI-Anchored	-	0.740	*
sp_P09086_PO2F2_HUMAN	479	Not GPI-Anchored	-	0.990	*
sp_Q6DJT9_PLAG1_HUMAN	500	Not GPI-Anchored	-	0.973	*
sp_Q9UKF7_PITC1_HUMAN	332	Not GPI-Anchored	-	0.994	*
sp_Q6H3X3_ULBP5_HUMAN	334	Not GPI-Anchored	-	0.984	*
sp_Q9NXT0_ZN586_HUMAN	402	Not GPI-Anchored	-	0.995	*
sp_Q1RN00_YC018_HUMAN	199	Not GPI-Anchored	-	0.624	*
sp_Q86VK4_ZN410_HUMAN	478	Not GPI-Anchored	-	0.996	*
sp_Q9Y462_ZN711_HUMAN	761	Not GPI-Anchored	-	0.995	*
sp_P52741_ZN134_HUMAN	427	Not GPI-Anchored	-	0.994	*
sp_Q8N1G0_ZN687_HUMAN	1237	Not GPI-Anchored	-	0.979	*
sp_Q15697_ZN174_HUMAN	407	Not GPI-Anchored	-	0.987	*
