Entry	Topological domain	Transmembrane
Q9NWW9	TOPO_DOM 1..133;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 155..162;  /note="Lumenal";  /evidence="ECO:0000255"	TRANSMEM 134..154;  /note="Helical";  /evidence="ECO:0000255"
Q99569		
Q02325		
Q6UXB8		
P62195		
Q13523		
A0A0G2JMD5		
P23470	TOPO_DOM 20..736;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 763..1445;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 737..762;  /note="Helical";  /evidence="ECO:0000255"
Q86Y79		
Q99952		
P08708		
Q9HAC7		
Q9Y3F1		
G2XKQ0		
B0FP48	TOPO_DOM 34..204;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 226..263;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 205..225;  /note="Helical";  /evidence="ECO:0000255"
Q7L8C5	TOPO_DOM 1..6;  /note="Vesicular";  /evidence="ECO:0000255"; TOPO_DOM 30..426;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 7..29;  /note="Helical";  /evidence="ECO:0000255"
Q9BT88	TOPO_DOM 1..15;  /note="Vesicular";  /evidence="ECO:0000255"; TOPO_DOM 37..431;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 16..36;  /note="Helical";  /evidence="ECO:0000255"
Q9Y6N9		
Q495M9		
A0A1B0GUX0		
O75410		
Q5DID0	TOPO_DOM 22..1272;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 1294..1318;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 1273..1293;  /note="Helical";  /evidence="ECO:0000255"
Q8TBG9	TOPO_DOM 1..4;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 26..81;  /note="Vesicular";  /evidence="ECO:0000255"; TOPO_DOM 103..114;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 136..177;  /note="Vesicular";  /evidence="ECO:0000255"; TOPO_DOM 199..265;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 5..25;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 82..102;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 115..135;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 178..198;  /note="Helical";  /evidence="ECO:0000255"
Q9NVA4		TRANSMEM 17..37;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 48..68;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 86..106;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 179..199;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 212..232;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 254..274;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 287..307;  /note="Helical";  /evidence="ECO:0000255"
P13051		
O75528		
P63027	TOPO_DOM 2..94;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 115..116;  /note="Vesicular";  /evidence="ECO:0000255"	TRANSMEM 95..114;  /note="Helical; Anchor for type IV membrane protein";  /evidence="ECO:0000255"
P21796		TRANSMEM 26..35;  /note="Beta stranded";  /evidence="ECO:0000269|PubMed:18755977, ECO:0000269|PubMed:18832158"; TRANSMEM 39..47;  /note="Beta stranded";  /evidence="ECO:0000269|PubMed:18755977, ECO:0000269|PubMed:18832158"; TRANSMEM 54..64;  /note="Beta stranded";  /evidence="ECO:0000269|PubMed:18755977, ECO:0000269|PubMed:18832158"; TRANSMEM 69..76;  /note="Beta stranded";  /evidence="ECO:0000269|PubMed:18755977, ECO:0000269|PubMed:18832158"; TRANSMEM 80..89;  /note="Beta stranded";  /evidence="ECO:0000269|PubMed:18755977, ECO:0000269|PubMed:18832158"; TRANSMEM 95..104;  /note="Beta stranded";  /evidence="ECO:0000269|PubMed:18755977, ECO:0000269|PubMed:18832158"; TRANSMEM 111..120;  /note="Beta stranded";  /evidence="ECO:0000269|PubMed:18755977, ECO:0000269|PubMed:18832158"; TRANSMEM 123..130;  /note="Beta stranded";  /evidence="ECO:0000269|PubMed:18755977, ECO:0000269|PubMed:18832158"; TRANSMEM 137..145;  /note="Beta stranded";  /evidence="ECO:0000269|PubMed:18755977, ECO:0000269|PubMed:18832158"; TRANSMEM 150..158;  /note="Beta stranded";  /evidence="ECO:0000269|PubMed:18755977, ECO:0000269|PubMed:18832158"; TRANSMEM 163..175;  /note="Beta stranded";  /evidence="ECO:0000269|PubMed:18755977, ECO:0000269|PubMed:18832158"; TRANSMEM 178..185;  /note="Beta stranded";  /evidence="ECO:0000269|PubMed:18755977, ECO:0000269|PubMed:18832158"; TRANSMEM 189..198;  /note="Beta stranded";  /evidence="ECO:0000269|PubMed:18755977, ECO:0000269|PubMed:18832158"; TRANSMEM 202..211;  /note="Beta stranded";  /evidence="ECO:0000269|PubMed:18755977, ECO:0000269|PubMed:18832158"; TRANSMEM 218..227;  /note="Beta stranded";  /evidence="ECO:0000269|PubMed:18755977, ECO:0000269|PubMed:18832158"; TRANSMEM 231..238;  /note="Beta stranded";  /evidence="ECO:0000269|PubMed:18755977, ECO:0000269|PubMed:18832158"; TRANSMEM 242..251;  /note="Beta stranded";  /evidence="ECO:0000269|PubMed:18755977, ECO:0000269|PubMed:18832158"; TRANSMEM 254..263;  /note="Beta stranded";  /evidence="ECO:0000269|PubMed:18755977, ECO:0000269|PubMed:18832158"; TRANSMEM 273..282;  /note="Beta stranded";  /evidence="ECO:0000269|PubMed:18755977, ECO:0000269|PubMed:18832158"
Q15836	TOPO_DOM 2..77;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 99..100;  /note="Vesicular";  /evidence="ECO:0000255"	TRANSMEM 78..98;  /note="Helical; Anchor for type IV membrane protein";  /evidence="ECO:0000255"
Q9BV40	TOPO_DOM 1..75;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 97..100;  /note="Vesicular";  /evidence="ECO:0000255"	TRANSMEM 76..96;  /note="Helical; Anchor for type IV membrane protein";  /evidence="ECO:0000255"
