IPI ID;UniProt Accession
IPI00000027;-
IPI00000044;P01127
IPI00000070;P01130
IPI00000076;P01138
IPI00000087;O60939
IPI00000104;O60942
IPI00000130;P61278
IPI00000137;Q9UJJ9
IPI00000138;P26572
IPI00000144;P01178
IPI00000160;P01189
IPI00000190;P60033
IPI00000265;Q5VUB5
IPI00000459;O14668
IPI00000760;O95865
IPI00000775;Q96JA1
IPI00000779;-
IPI00000792;Q08257
IPI00000811;P28072
IPI00000816;P62258
IPI00000824;Q16288
IPI00000828;P01210
IPI00000832;P01213
IPI00000871;P01236
IPI00000874;Q06830
IPI00000877;Q9Y4L1
IPI00000914;P01258
IPI00000959;P01282
IPI00000977;Q16584
IPI00001120;Q7L985
IPI00001399;Q9UKB5
IPI00001433;Q9Y5E8
IPI00001434;Q9Y5E9
IPI00001477;Q08345
IPI00001506;P01303
IPI00001568;Q9Y5K8
IPI00001592;Q14956
IPI00001593;P42785
IPI00001610;P05019
IPI00001611;P01344
IPI00001633;O43155
IPI00001662;-
IPI00001712;Q9UI47
IPI00001734;Q9Y617
IPI00001755;Q9Y625
IPI00001786;Q9P275
IPI00001793;Q9Y644
IPI00001796;Q9Y5U5
IPI00001863;Q9Y5W5
IPI00001869;Q13219
IPI00001872;Q9UN70
IPI00001893;O60245
IPI00001895;O95206
IPI00001952;O94919
IPI00001960;Q9Y696
IPI00002142;Q9P2E7
IPI00002147;P36222
IPI00002191;Q9H9K5
IPI00002211;Q9H2E6
IPI00002236;Q08431
IPI00002243;P36269
IPI00002280;Q9UHG2
IPI00002283;Q9P2K9
IPI00002307;Q9NZ94
IPI00002320;Q9NZU0
IPI00002334;P42857
IPI00002406;P50895
IPI00002412;P50897
IPI00002459;-
IPI00002478;P42892
IPI00002491;Q9BX66
IPI00002511;P18850
IPI00002525;Q9UMX5
IPI00002535;P26885
IPI00002714;Q9UBP4
IPI00002732;Q9UBQ6
IPI00002745;Q9UBR2
IPI00002790;Q9UBV2
IPI00002816;Q9UBX1
IPI00002818;Q9UBX7
IPI00002884;Q6PK18
IPI00002925;Q16568
IPI00002966;P34932
IPI00002993;Q16594
IPI00003021;P50993
IPI00003031;Q96AB3
IPI00003102;P26992
IPI00003111;P01594
IPI00003176;Q92743
IPI00003269;Q562R1
IPI00003348;P62879
IPI00003351;Q16610
IPI00003353;Q16612
IPI00003362;P11021
IPI00003363;Q9UD71
IPI00003366;Q16620
IPI00003384;Q9NYQ6
IPI00003391;-
IPI00003392;Q9Y2B1
IPI00003406;Q16643
IPI00003441;Q9UBS9
IPI00003470;P01611
IPI00003527;O14745
IPI00003590;O00391
IPI00003648;Q15223
IPI00003799;Q9Y5Z4
IPI00003802;Q16706
IPI00003807;P11117
IPI00003814;P52564
IPI00003865;P11142
IPI00003907;Q9Y5F6
IPI00003919;Q16769
IPI00003921;P11171
IPI00003933;Q16775
IPI00003971;Q16799
IPI00004047;Q93063
IPI00004084;Q99941
IPI00004114;Q93091
IPI00004315;Q9Y336
IPI00004346;P46092
IPI00004367;Q9H0Q3
IPI00004373;P11226
IPI00004409;Q16832
IPI00004413;O75509
IPI00004433;Q9UQ52
IPI00004440;Q16849
IPI00004457;Q16853
IPI00004480;O15204
IPI00004488;Q16864
IPI00004494;O15041
IPI00004503;-
IPI00004533;O15066
IPI00004534;O15067
IPI00004573;P01833
IPI00004656;P61769
IPI00004669;Q10471
IPI00004798;-
IPI00004946;Q9H2A7
IPI00004962;O00461
IPI00005038;P52758
IPI00005107;O15118
IPI00005123;P52797
IPI00005126;P52799
IPI00005128;O15123
IPI00005129;O15126
IPI00005132;Q9NVN8
IPI00005142;P11362
IPI00005153;Q9NY56
IPI00005158;P36776
IPI00005159;P61160
IPI00005222;O15197
IPI00005292;Q08629
IPI00005347;Q9UGI0
IPI00005474;Q9H008
IPI00005516;Q9HBW1
IPI00005517;P52803
IPI00005531;Q9UH17
IPI00005564;P52823
IPI00005600;P52849
IPI00005605;Q9UGV2
IPI00005607;O60477
IPI00005614;Q01082
IPI00005652;Q2TBF2
IPI00005668;P52895
IPI00005675;O15226
IPI00005690;O15232
IPI00005705;P36873
IPI00005707;Q9UBG0
IPI00005719;P62820
IPI00005722;-
IPI00005732;P36896
IPI00005774;Q14114
IPI00005776;Q9Y239
IPI00005794;Q9Y646
IPI00005809;O95810
IPI00005837;O95841
IPI00005859;O95678
IPI00005908;Q9UHI8
IPI00005969;P52907
IPI00005981;Q9UI15
IPI00006009;Q9UF11
IPI00006034;P52943
IPI00006054;O15079
IPI00006094;Q9UJD0
IPI00006114;P36955
IPI00006128;Q92563
IPI00006130;O75071
IPI00006146;-
IPI00006154;P36980
IPI00006166;O15354
IPI00006252;Q12904
IPI00006444;Q9UI40
IPI00006451;P46459
IPI00006470;Q9Y328
IPI00006482;P05023
IPI00006510;Q9H4B7
IPI00006524;Q5VV43
IPI00006556;Q7L0X0
IPI00006601;P05060
IPI00006608;P05067
