# NetGPI 1.1	Timestamp: 20220510141620
ID	Seq-length	Pred. GPI-Anchored	Omega-site pos.	Likelihood	Amino-acid
sp_Q9BZM6_ULBP1_HUMAN	244	GPI-Anchored	222	0.324	A
sp_Q99457_NP1L3_HUMAN	506	Not GPI-Anchored	-	0.996	*
sp_Q9GZN8_CT027_HUMAN	174	Not GPI-Anchored	-	0.992	*
sp_Q9H8X9_ZDH11_HUMAN	412	Not GPI-Anchored	-	0.989	*
sp_Q9H2X9_S12A5_HUMAN	1139	Not GPI-Anchored	-	0.990	*
sp_Q96FT7_ASIC4_HUMAN	539	Not GPI-Anchored	-	0.992	*
sp_Q7L099_RUFY3_HUMAN	469	Not GPI-Anchored	-	0.994	*
sp_A6NIK2_LR10B_HUMAN	292	Not GPI-Anchored	-	0.990	*
sp_Q64ET8_FRG2_HUMAN	278	Not GPI-Anchored	-	0.992	*
sp_Q9Y5E1_PCDB9_HUMAN	797	Not GPI-Anchored	-	0.994	*
sp_Q9Y5J3_HEY1_HUMAN	304	Not GPI-Anchored	-	0.977	*
sp_Q96KN9_CXD4_HUMAN	370	Not GPI-Anchored	-	0.990	*
sp_A0MZ66_SHOT1_HUMAN	631	Not GPI-Anchored	-	0.985	*
sp_Q6NV74_CRCDL_HUMAN	962	Not GPI-Anchored	-	0.995	*
sp_Q15319_PO4F3_HUMAN	338	Not GPI-Anchored	-	0.995	*
sp_Q9NT99_LRC4B_HUMAN	713	Not GPI-Anchored	-	0.993	*
sp_O95196_CSPG5_HUMAN	566	Not GPI-Anchored	-	0.994	*
sp_Q04917_1433F_HUMAN	246	Not GPI-Anchored	-	0.977	*
sp_Q14500_KCJ12_HUMAN	433	Not GPI-Anchored	-	0.995	*
sp_O94810_RGS11_HUMAN	467	Not GPI-Anchored	-	0.990	*
sp_Q07699_SCN1B_HUMAN	218	Not GPI-Anchored	-	0.988	*
sp_Q8N431_RGF1C_HUMAN	466	Not GPI-Anchored	-	0.995	*
sp_Q9UND3_NPIA1_HUMAN	350	Not GPI-Anchored	-	0.988	*
sp_Q96RR4_KKCC2_HUMAN	588	Not GPI-Anchored	-	0.995	*
sp_Q9NZU7_CABP1_HUMAN	370	Not GPI-Anchored	-	0.994	*
sp_Q6NUP7_PP4R4_HUMAN	873	Not GPI-Anchored	-	0.992	*
sp_O75443_TECTA_HUMAN	2155	Not GPI-Anchored	-	0.573	*
sp_A0A1B0GVM6_CK097_HUMAN	126	Not GPI-Anchored	-	0.994	*
sp_Q9BXF3_CECR2_HUMAN	1484	Not GPI-Anchored	-	0.987	*
sp_Q99819_GDIR3_HUMAN	225	Not GPI-Anchored	-	0.993	*
sp_Q9NQ11_AT132_HUMAN	1180	Not GPI-Anchored	-	0.995	*
sp_Q2Y0W8_S4A8_HUMAN	1093	Not GPI-Anchored	-	0.990	*
sp_Q9P2U8_VGLU2_HUMAN	582	Not GPI-Anchored	-	0.987	*
sp_P27544_CERS1_HUMAN	350	Not GPI-Anchored	-	0.991	*
sp_Q9H008_LHPP_HUMAN	270	Not GPI-Anchored	-	0.994	*
sp_A6NE02_BTBDH_HUMAN	478	Not GPI-Anchored	-	0.994	*
sp_P20337_RAB3B_HUMAN	219	Not GPI-Anchored	-	0.986	*
sp_Q8TF39_ZN483_HUMAN	744	Not GPI-Anchored	-	0.993	*
sp_Q8N6D2_RN182_HUMAN	247	Not GPI-Anchored	-	0.939	*
sp_Q75VX8_GARE2_HUMAN	874	Not GPI-Anchored	-	0.994	*
sp_Q16288_NTRK3_HUMAN	839	Not GPI-Anchored	-	0.993	*
sp_P57789_KCNKA_HUMAN	538	Not GPI-Anchored	-	0.988	*
