Supplementary Table 3. A summary of the protein quantitation in AD and control CSF samples;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sathe et al., 2018. Quantitative proteomic profiling of cerebrospinal fluid to identify candidate biomarkers for Alzheimer’s disease;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Significant;LOG(Pvalue);Log(Fold change);Gene Symbol;Description;emPAI;Score Sequest HT;# Peptides Sequest HT;Sum PEP Score;Coverage;# Peptides;# PSMs;# Unique Peptides;# Protein Groups;MW [kDa];calc. pI;Symbol color;Symbol type;Symbol size;Show label;Abundances (Grouped): 126;Abundances (Grouped): 127N;Abundances (Grouped): 127C;Abundances (Grouped): 128N;Abundances (Grouped): 128C;Abundances (Grouped): 129N;Abundances (Grouped): 129C;Abundances (Grouped): 130N;Abundances (Grouped): 130C;Abundances (Grouped): 131
+;2,731183883;1,554272147;AGRN;agrin isoform 2 precursor [Homo sapiens];4,995;413,06;51;247,876;33,83863081;51;98;1;1;214,7;6,4;Color2 [DarkGray];1;4;;-0,1011301;-0,7195485;-0,2743553;-0,1181088;-0,4721338;-0,02280979;1,278892;1,642899;1,437773;1,749331
+;3,299054622;-0,791069056;NRXN2;neurexin-2-beta isoform X3 [Homo sapiens];6,77;657,87;50;266,606;32,00462161;50;165;1;1;187,2;5,87;Color2 [DarkGray];1;4;;0,7635686;0,7661573;0,5181112;0,4613477;0,1653458;-0,009298303;-0,5360585;-0,1843452;-0,3200424;-0,2310703
+;3,645468982;0,660043252;GSN;gelsolin isoform X3 [Homo sapiens];160,026;2086,96;42;275,668;48,67924528;42;492;1;1;87;6,28;Color2 [DarkGray];1;4;;-0,1689347;-0,3180232;-0,2003096;-0,4872281;-0,3529776;0,04253927;0,3448018;0,3448939;0,5266659;0,5138422
+;3,806730489;2,031099287;NCAM1;neural cell adhesion molecule 1 isoform 1 precursor [Homo sapiens];65,608;1458,51;39;257,086;45,04716981;39;355;1;1;93,3;4,87;Color2 [DarkGray];1;4;;-0,2721307;-1,659139;-1,332753;-1,422421;-1,577105;0,1314011;0,7767219;0,9315267;0,9323812;1,119917
+;2,898199335;-0,742575534;SCG2;secretogranin-2 precursor [Homo sapiens];27,651;677,49;38;201,375;58,5089141;38;183;38;1;70,9;4,75;Color2 [DarkGray];1;4;;0,8073053;0,5406318;0,4957021;0,212257;0,1982721;-0,04267217;-0,2630897;-0,2889435;-0,1997787;-0,6642255
+;4,640705915;1,416445935;PAM;peptidyl-glycine alpha-amidating monooxygenase isoform X12 [Homo sapiens];20,102;476,41;37;187,163;41,60346696;37;131;1;1;102,9;6,33;Color2 [DarkGray];1;4;;-0,4660311;-0,4218488;-0,6539533;-0,7633988;-0,688543;0,270626;1,157043;0,9406323;0,8133332;0,9068206
+;2,020887496;-1,557075519;PTPRD;receptor-type tyrosine-protein phosphatase delta isoform X24 [Homo sapiens];4,321;427,86;37;231,142;32,5;37;106;1;1;171;6,67;Color2 [DarkGray];1;4;;0,0228258;0,55636;0,4635223;0,2321962;0,02857098;0,2383113;-2,028314;-1,626641;-0,8718544;-2,193405
+;2,144093056;1,066642278;PKM;pyruvate kinase PKM isoform c [Homo sapiens];34,938;691,92;36;237,401;58,67768595;36;182;5;1;65,9;7,87;Color2 [DarkGray];1;4;;0,02390051;-0,4160109;-0,3996644;-0,2175109;-0,3831285;0,4673924;1,445982;1,007352;-0,1593747;1,179445
+;2,686872793;-0,692677044;VGF;neurosecretory protein VGF isoform X1 [Homo sapiens];21,638;677,7;35;197,197;51,05691057;35;168;35;1;67,2;4,78;Color2 [DarkGray];1;4;;0,9041215;0,4595394;0,4535583;0,1403823;0,2571096;-0,3807202;-0,1951353;-0,487021;-0,01109329;-0,1747043
+;1,880905209;-0,916810337;KRT9;keratin, type I cytoskeletal 9 [Homo sapiens];90,201;501,37;33;213,425;51,52487961;33;129;32;1;62;5,24;Color2 [DarkGray];1;4;;0,8874526;0,9775602;0,3667729;-0,217897;0,5440817;-0,505066;-0,3767268;-1,00865;0,211137;-0,346775
+;1,681674423;-0,907502233;PTPRS;receptor-type tyrosine-protein phosphatase S isoform X11 [Homo sapiens];4,069;390,48;28;205,115;26,01572739;28;89;1;1;171,2;6,46;Color2 [DarkGray];1;4;;0,2450707;0,1238514;0,3332126;0,1542701;0,05839609;0,07685017;-1,394275;-1,051707;-0,02024765;-1,233331
+;1,499914286;-1,194493219;EFEMP1;EGF-containing fibulin-like extracellular matrix protein 1 isoform X1 [Homo sapiens];18,783;820,06;22;147,75;43,09392265;22;200;1;1;59,3;7,74;Color2 [DarkGray];1;4;;0,1739816;0,6062443;0,2568295;0,5264558;-0,151498;-0,2209395;-0,5198063;0,05786583;-2,235745;-1,641828
+;3,842743449;0,840497145;DAG1;dystroglycan preproprotein [Homo sapiens];4,135;362,36;19;125,374;27,26256983;19;88;19;1;97,5;8,56;Color2 [DarkGray];1;4;;-0,2700822;-0,1990413;-0,3285164;-0,4114898;-0,5372714;0,1297484;0,3424652;0,6513402;0,6436912;0,6888396
+;4,085527958;1,590184432;GFAP;glial fibrillary acidic protein isoform 1 [Homo sapiens];2,162;77,45;15;46,874;31,25;15;25;12;1;49,9;5,52;Color2 [DarkGray];1;4;;-1,18271;-1,031894;-1,117478;-0,4001766;-0,6418551;0,2506802;0,5979056;1,092242;1,033159;0,6028212
+;2,116732929;0,85446868;SEZ6L;seizure 6-like protein isoform 1 precursor [Homo sapiens];4,337;188,06;15;64,503;19,140625;15;53;2;1;111,7;4,78;Color2 [DarkGray];1;4;;-0,01515376;-0,1586104;-0,4381874;-0,4678627;-0,6556672;0,04599123;0,5606642;0,8205562;0,01422297;1,095427
