CSF-PR / CSF GEL BOUND FRACTION / Proteins / 
index,PI,Accession,Other Protein(s),Description,CHROMOSOME,Gene Name,Coverage(%),Non Enzymatic Peptides,#Peptides,#Spectra,NSAF,RANK (NSAF),MW,Confidence,Spectrum Lower Range,Spectrum Upper Range,Peptide Lower Range,Peptide Upper Range,Validated
1.00,SINGLE PROTEIN,P02768,, Serum albumin (ALBU_HUMAN),4,ALB,92.61,true,273.00,27694.00,3.43,3.00,69.32,100.00,,,,,true
2.00,SINGLE PROTEIN,P01024,, Complement C3 (CO3_HUMAN),19,C3,81.66,true,197.00,5741.00,0.17,63.00,187.03,100.00,,,,,true
3.00,SINGLE PROTEIN,P02787,, Serotransferrin (TRFE_HUMAN),3,TF,92.55,true,173.00,6893.00,0.81,13.00,77.01,100.00,,,,,true
4.00,SINGLE PROTEIN,P01023,, Alpha-2-macroglobulin (A2MG_HUMAN),12,A2M,75.58,true,153.00,3909.00,0.15,75.00,163.19,100.00,,,,,true
5.00,SINGLE PROTEIN,P08603,, Complement factor H (CFAH_HUMAN),1,CFH,60.76,true,84.00,998.00,0.09,92.00,139.00,100.00,,,,,true
6.00,SINGLE PROTEIN,P01009,, Alpha-1-antitrypsin (A1AT_HUMAN),14,SERPINA1,83.73,true,79.00,3345.00,0.84,12.00,46.71,100.00,,,,,true
7.00,SINGLE PROTEIN,P0C0L5,, Complement C4-B (CO4B_HUMAN),6,C4B,49.25,true,79.00,1018.00,0.04,142.00,192.67,100.00,,,,,true
8.00,SINGLE PROTEIN,P0C0L4,, Complement C4-A (CO4A_HUMAN),6,C4A,49.25,true,79.00,1018.00,0.04,142.00,192.65,100.00,,,,,true
9.00,SINGLE PROTEIN,P01857,, Ig gamma-1 chain C region (IGHG1_HUMAN),14,IGHG1,84.55,true,75.00,3216.00,2.55,4.00,36.08,100.00,,,,,true
10.00,SINGLE PROTEIN,P02751,, Fibronectin (FINC_HUMAN),2,FN1,36.25,true,70.00,481.00,0.02,176.00,262.46,100.00,,,,,true
