# NetGPI 1.1	Timestamp: 20221114112023
# ID	Seq-length	Pred. GPI-Anchored	Omega-site pos.	Likelihood	Amino-acid
sp_Q8TF47_ZFP90_HUMAN	636	Not GPI-Anchored	-	0.995	*
sp_Q8N9I9_DTX3_HUMAN	347	Not GPI-Anchored	-	0.987	*
sp_Q8IYY4_DZI1L_HUMAN	767	Not GPI-Anchored	-	0.994	*
sp_Q9Y2E6_DTX4_HUMAN	619	Not GPI-Anchored	-	0.992	*
sp_Q9NVP4_DZAN1_HUMAN	752	Not GPI-Anchored	-	0.990	*
sp_A2CJ06_DYTN_HUMAN	578	Not GPI-Anchored	-	0.992	*
sp_Q8WW35_DYT2B_HUMAN	142	Not GPI-Anchored	-	0.783	*
sp_P30084_ECHM_HUMAN	290	Not GPI-Anchored	-	0.995	*
sp_O00341_EAA5_HUMAN	560	Not GPI-Anchored	-	0.994	*
sp_Q03001_DYST_HUMAN	7570	Not GPI-Anchored	-	0.993	*
sp_Q16610_ECM1_HUMAN	540	Not GPI-Anchored	-	0.995	*
sp_P48664_EAA4_HUMAN	564	Not GPI-Anchored	-	0.991	*
sp_Q8TDB6_DTX3L_HUMAN	740	Not GPI-Anchored	-	0.996	*
sp_Q86YN1_DOPP1_HUMAN	238	Not GPI-Anchored	-	0.995	*
sp_Q96DC8_ECHD3_HUMAN	303	Not GPI-Anchored	-	0.996	*
sp_O75923_DYSF_HUMAN	2080	Not GPI-Anchored	-	0.970	*
sp_P43005_EAA3_HUMAN	524	Not GPI-Anchored	-	0.994	*
sp_P09172_DOPO_HUMAN	617	Not GPI-Anchored	-	0.990	*
sp_Q08426_ECHP_HUMAN	723	Not GPI-Anchored	-	0.991	*
sp_Q86YF9_DZIP1_HUMAN	867	Not GPI-Anchored	-	0.992	*
sp_Q13474_DRP2_HUMAN	957	Not GPI-Anchored	-	0.984	*
sp_Q86Y13_DZIP3_HUMAN	1208	Not GPI-Anchored	-	0.995	*
sp_Q9HAF1_EAF6_HUMAN	191	Not GPI-Anchored	-	0.994	*
sp_P0CJ90_DU4L7_HUMAN	424	Not GPI-Anchored	-	0.992	*
sp_O95672_ECEL1_HUMAN	775	Not GPI-Anchored	-	0.994	*
sp_P0CJ89_DU4L6_HUMAN	424	Not GPI-Anchored	-	0.992	*
sp_P0CJ88_DU4L5_HUMAN	424	Not GPI-Anchored	-	0.992	*
sp_P0CJ87_DU4L4_HUMAN	422	Not GPI-Anchored	-	0.993	*
sp_P0DPD6_ECE2_HUMAN	811	Not GPI-Anchored	-	0.994	*
sp_P0CJ86_DU4L3_HUMAN	424	Not GPI-Anchored	-	0.992	*
sp_P0CJ85_DU4L2_HUMAN	424	Not GPI-Anchored	-	0.992	*
sp_O75521_ECI2_HUMAN	394	Not GPI-Anchored	-	0.994	*
sp_Q96CJ1_EAF2_HUMAN	260	Not GPI-Anchored	-	0.982	*
sp_P42892_ECE1_HUMAN	770	Not GPI-Anchored	-	0.995	*
sp_Q96JC9_EAF1_HUMAN	268	Not GPI-Anchored	-	0.982	*
sp_P42126_ECI1_HUMAN	302	Not GPI-Anchored	-	0.993	*
sp_O95905_ECD_HUMAN	644	Not GPI-Anchored	-	0.987	*
sp_Q86YB7_ECHD2_HUMAN	292	Not GPI-Anchored	-	0.995	*
sp_P43004_EAA2_HUMAN	574	Not GPI-Anchored	-	0.996	*
sp_P30046_DOPD_HUMAN	118	Not GPI-Anchored	-	0.982	*
sp_Q9Y295_DRG1_HUMAN	367	Not GPI-Anchored	-	0.996	*
sp_Q13011_ECH1_HUMAN	328	Not GPI-Anchored	-	0.994	*
