biosequence_name,is_covering,presence_level,probability,confidence,n_observations,norm_PSMs_per_100K,n_distinct_peptides,chromosome,genetic_locus,start_in_chromosome,end_in_chromosome,strand,relationship_phrase,reference_biosequence,represented_by_biosequence_id,group_number,seq_unique_prots_in_group,protein_group_seq_align_link,is_keratin,is_immunoglobulin,biosequence_description,organism_full_name
A6NGN9,C,canonical,  1.000,  1.000,42,  7.696,10,19,19q13.41,51815102,51833608,+,,,A6NGN9,1,1,,,,IGLO5_HUMAN IgLON family member 5 OS=Homo sapiens GN=IGLON5 PE=2 SV=4 CONCAT=6,Homo sapiens
Q96CW9,C,canonical,  1.000,  1.000,8,  0.869,6,9,9q34.13,135037334,135106896,+,,,Q96CW9,2,4,,,,NTNG2_HUMAN Netrin-G2 OS=Homo sapiens GN=NTNG2 PE=1 SV=2 CONCAT=11,Homo sapiens
Q9HBI1,C,canonical,  1.000,  1.000,2,  0.293,2,22,22q13.2-q13.33,0,0, ,,,Q9HBI1,3,5,,,,PARVB_HUMAN Beta-parvin OS=Homo sapiens GN=PARVB PE=1 SV=1 CONCAT=3,Homo sapiens
O14522,C,canonical,  1.000,  1.000,34,  1.347,17,20,20q12-q13,0,0, ,,,O14522,4,8,,,,PTPRT_HUMAN Receptor-type tyrosine-protein phosphatase T OS=Homo sapiens GN=PTPRT PE=1 SV=6 CONCAT=35,Homo sapiens
P19256,C,canonical,  1.000,  1.000,6,  1.759,2,1,1p13.1,117057157,117113661,-,,,P19256,5,6,,,,LFA3_HUMAN Lymphocyte function-associated antigen 3 OS=Homo sapiens GN=CD58 PE=1 SV=1 CONCAT=8,Homo sapiens
Q9H156,C,canonical,  1.000,  1.000,19,  1.295,12,X,Xq27.3,144899689,144907360,+,,,Q9H156,6,3,,,,SLIK2_HUMAN SLIT and NTRK-like protein 2 OS=Homo sapiens GN=SLITRK2 PE=2 SV=1 CONCAT=7,Homo sapiens
Q9Y2G1,C,canonical,  1.000,  1.000,15,  0.880,5,11,11q12.2,61522861,61555989,+,,,Q9Y2G1,7,3,,,,MRF_HUMAN Myelin regulatory factor OS=Homo sapiens GN=MYRF PE=1 SV=3 CONCAT=4,Homo sapiens
Q9BY79,C,canonical,  1.000,  1.000,12,  1.599,5,11,11q23.3,119211878,119217383,-,,,Q9BY79,8,3,,,,MFRP_HUMAN Membrane frizzled-related protein OS=Homo sapiens GN=MFRP PE=1 SV=1 CONCAT=7,Homo sapiens
P61086,C,canonical,  1.000,  1.000,3,  0.733,3,4,4p14,0,0, ,,,P61086,9,4,,,,UBE2K_HUMAN Ubiquitin-conjugating enzyme E2 K OS=Homo sapiens GN=UBE2K PE=1 SV=3 CONCAT=2,Homo sapiens
Q2TAA2,C,canonical,  1.000,  1.000,2,  0.489,2,2,2p25.1,9614659,9628940,+,,,Q2TAA2,10,4,,,,IAH1_HUMAN Isoamyl acetate-hydrolyzing esterase 1 homolog OS=Homo sapiens GN=IAH1 PE=1 SV=1 CONCAT=1,Homo sapiens
P52823,C,canonical,  1.000,  1.000,4,  1.066,3,8,8p21.2,23699428,23712320,-,,,P52823,11,2,,,,STC1_HUMAN Stanniocalcin-1 OS=Homo sapiens GN=STC1 PE=1 SV=1 CONCAT=10,Homo sapiens
Q13595,C,canonical,  1.000,  1.000,2,  0.419,2,7,7p15.3,23544399,23571660,-,,,Q13595,12,4,,,,TRA2A_HUMAN Transformer-2 protein homolog alpha OS=Homo sapiens GN=TRA2A PE=1 SV=1 CONCAT=2,Homo sapiens
O95433,C,canonical,  1.000,  1.000,2,  0.267,2,14,14q24.3,77924373,77935817,+,,,O95433,13,5,,,,AHSA1_HUMAN Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens GN=AHSA1 PE=1 SV=1 CONCAT=2,Homo sapiens
P49189,C,canonical,  1.000,  1.000,3,  0.338,3,1,1q24.1,165631453,165668100,-,,,P49189,14,3,,,,AL9A1_HUMAN 4-trimethylaminobutyraldehyde dehydrogenase OS=Homo sapiens GN=ALDH9A1 PE=1 SV=3 CONCAT=3,Homo sapiens
P31431,C,canonical,  1.000,  1.000,5,  1.466,3,20,20q13.12,43953928,43977064,-,,,P31431,15,3,,,,SDC4_HUMAN Syndecan-4 OS=Homo sapiens GN=SDC4 PE=1 SV=2 CONCAT=8,Homo sapiens
P38606,C,canonical,  1.000,  1.000,2,  0.168,2,3,3q13.2,113465866,113530903,+,,,P38606,16,3,,,,VATA_HUMAN V-type proton ATPase catalytic subunit A OS=Homo sapiens GN=ATP6V1A PE=1 SV=2 CONCAT=1,Homo sapiens
