# NetGPI 1.1	Timestamp: 20220609103421
# ID	Seq-length	Pred. GPI-Anchored	Omega-site pos.	Likelihood	Amino-acid
sp_P01023_A2MG_HUMAN	1474	Not GPI-Anchored	-	0.985	*
sp_Q5SZQ8_CELF3_HUMAN	465	Not GPI-Anchored	-	0.995	*
sp_P40199_CEAM6_HUMAN	344	GPI-Anchored	320	0.462	G
sp_P49715_CEBPA_HUMAN	358	Not GPI-Anchored	-	0.987	*
sp_P17676_CEBPB_HUMAN	345	Not GPI-Anchored	-	0.992	*
sp_P49716_CEBPD_HUMAN	269	Not GPI-Anchored	-	0.993	*
sp_P53567_CEBPG_HUMAN	150	Not GPI-Anchored	-	0.990	*
sp_Q03701_CEBPZ_HUMAN	1054	Not GPI-Anchored	-	0.996	*
sp_Q9BXF3_CECR2_HUMAN	1484	Not GPI-Anchored	-	0.987	*
sp_P19835_CEL_HUMAN	753	Not GPI-Anchored	-	0.987	*
sp_P08218_CEL2B_HUMAN	269	Not GPI-Anchored	-	0.975	*
sp_Q92879_CELF1_HUMAN	486	Not GPI-Anchored	-	0.995	*
sp_O95319_CELF2_HUMAN	508	Not GPI-Anchored	-	0.995	*
sp_Q9BZC1_CELF4_HUMAN	486	Not GPI-Anchored	-	0.995	*
sp_Q7Z692_CEA19_HUMAN	300	Not GPI-Anchored	-	0.986	*
sp_Q8N6W0_CELF5_HUMAN	485	Not GPI-Anchored	-	0.996	*
sp_Q96J87_CELF6_HUMAN	481	Not GPI-Anchored	-	0.995	*
sp_Q9NYQ6_CELR1_HUMAN	3014	Not GPI-Anchored	-	0.992	*
sp_Q9HCU4_CELR2_HUMAN	2923	Not GPI-Anchored	-	0.954	*
sp_Q9NYQ7_CELR3_HUMAN	3312	Not GPI-Anchored	-	0.982	*
sp_Q8WUJ3_CEMIP_HUMAN	1361	Not GPI-Anchored	-	0.995	*
sp_Q9UHN6_CEIP2_HUMAN	1383	Not GPI-Anchored	-	0.995	*
sp_Q6PRD7_CEMP1_HUMAN	247	Not GPI-Anchored	-	0.992	*
sp_Q86UT8_CATAC_HUMAN	332	Not GPI-Anchored	-	0.987	*
sp_Q8N111_CEND_HUMAN	149	Not GPI-Anchored	-	0.211	*
sp_P07199_CENPB_HUMAN	599	Not GPI-Anchored	-	0.989	*
sp_Q3KPI0_CEA21_HUMAN	293	Not GPI-Anchored	-	0.971	*
sp_P13688_CEAM1_HUMAN	526	Not GPI-Anchored	-	0.992	*
sp_P46527_CDN1B_HUMAN	198	Not GPI-Anchored	-	0.995	*
sp_Q6NVV7_CDPF1_HUMAN	123	Not GPI-Anchored	-	0.995	*
sp_P42771_CDN2A_HUMAN	156	Not GPI-Anchored	-	0.992	*
sp_Q8N726_ARF_HUMAN	132	Not GPI-Anchored	-	0.989	*
sp_Q9NXV6_CARF_HUMAN	580	Not GPI-Anchored	-	0.994	*
sp_Q96HQ2_C2AIL_HUMAN	116	Not GPI-Anchored	-	0.989	*
