# NetGPI 1.1	Timestamp: 20220628182018
# ID	Seq-length	Pred. GPI-Anchored	Omega-site pos.	Likelihood	Amino-acid
sp_Q14576_ELAV3_HUMAN	367	Not GPI-Anchored	-	0.994	*
sp_O43819_SCO2_HUMAN	266	Not GPI-Anchored	-	0.984	*
sp_O95210_STBD1_HUMAN	358	Not GPI-Anchored	-	0.995	*
sp_P15848_ARSB_HUMAN	533	Not GPI-Anchored	-	0.995	*
sp_Q9NUQ7_UFSP2_HUMAN	469	Not GPI-Anchored	-	0.995	*
sp_Q8TCA0_LRC20_HUMAN	184	Not GPI-Anchored	-	0.993	*
sp_Q00975_CAC1B_HUMAN	2339	Not GPI-Anchored	-	0.993	*
sp_Q13442_HAP28_HUMAN	181	Not GPI-Anchored	-	0.995	*
sp_Q9Y375_CIA30_HUMAN	327	Not GPI-Anchored	-	0.995	*
tr_H3BTH8_H3BTH8_HUMAN	422	Not GPI-Anchored	-	0.995	*
sp_P43003_EAA1_HUMAN	542	Not GPI-Anchored	-	0.996	*
sp_Q9Y566_SHAN1_HUMAN	2161	Not GPI-Anchored	-	0.993	*
sp_Q8NEZ4_KMT2C_HUMAN	4911	Not GPI-Anchored	-	0.989	*
sp_Q13634_CAD18_HUMAN	790	Not GPI-Anchored	-	0.996	*
sp_Q86UN3_R4RL2_HUMAN	420	GPI-Anchored	395	0.300	D
sp_P51161_FABP6_HUMAN	128	Not GPI-Anchored	-	0.995	*
sp_O94887_FARP2_HUMAN	1054	Not GPI-Anchored	-	0.995	*
sp_O75879_GATB_HUMAN	557	Not GPI-Anchored	-	0.994	*
sp_Q8IZ73_RUSD2_HUMAN	545	Not GPI-Anchored	-	0.993	*
sp_P49815_TSC2_HUMAN	1807	Not GPI-Anchored	-	0.995	*
sp_Q8N4V1_EMC5_HUMAN	131	Not GPI-Anchored	-	0.993	*
sp_P27482_CALL3_HUMAN	149	Not GPI-Anchored	-	0.994	*
sp_Q86WR0_CCD25_HUMAN	208	Not GPI-Anchored	-	0.993	*
sp_P27824_CALX_HUMAN	592	Not GPI-Anchored	-	0.996	*
sp_P56589_PEX3_HUMAN	373	Not GPI-Anchored	-	0.995	*
sp_Q9ULC3_RAB23_HUMAN	237	Not GPI-Anchored	-	0.992	*
sp_P34903_GBRA3_HUMAN	492	Not GPI-Anchored	-	0.979	*
sp_P56182_RRP1_HUMAN	461	Not GPI-Anchored	-	0.996	*
sp_Q5H9R7_PP6R3_HUMAN	873	Not GPI-Anchored	-	0.993	*
sp_Q8NBR6_MINY2_HUMAN	621	Not GPI-Anchored	-	0.991	*
sp_Q9NVV5_AIG1_HUMAN	238	Not GPI-Anchored	-	0.990	*
sp_P19174_PLCG1_HUMAN	1290	Not GPI-Anchored	-	0.992	*
