Uniprot,Brain expression,log2(Brain expression),lr_l2
P57103,9.6,3.263034405833794,0.8601119275877928
P48169,7.3,2.867896463992655,0.851831601436039
Q12879,29.2,4.867896463992655,0.8825360029206641
Q9BZA7,11.6,3.5360529002402097,0.9419739727657509
P18505,27.8,4.797012977836145,0.7724292715853533
Q86Z23,6.0,2.584962500721156,0.9399234076423774
P82279,21.8,4.446256229889564,0.9159510611675148
Q8WXS8,10.3,3.3645724322958563,0.8728064199348973
A6QL64,25.2,4.655351828612554,0.7515372243418483
Q5JPF3,26.4,4.722466024471091,0.7613940296482005
F5H4A9,6.0,2.584962500721156,0.7781553931663986
O75596,4.1,2.035623909730721,0.7565980193227686
Q9P218,8.4,3.070389327891398,0.9281974984812245
Q6V1P9,2.1,1.070389327891398,0.9287396319184111
Q8IVF4,4.3,2.1043366598147357,0.793728302957074
O60258,25.9,4.694880192799191,0.8568875020455093
Q5VTL7,1.0,0.0,0.9298368421195393
Q13003,32.0,5.0,0.8161763724565605
P21815,3.4,1.765534746362977,0.9863623383865381
Q8IVU1,3.9,1.9634741239748859,0.8782610589695533
P57789,5.4,2.4329594072761065,0.763241285129493
O95631,31.8,4.990954860396993,0.8957871639776162
Q2I0M5,12.8,3.678071905112638,0.7667682576213983
Q5TF21,7.6,2.925999418556223,0.8293397250912636
Q5DT21,30.6,4.9354597478052895,0.8567485212922271
Q86YW5,5.8,2.5360529002402097,0.7873460675120565
Q5DID0,1.3,0.3785116232537299,0.9020661419605867
O00755,5.0,2.321928094887362,0.7807021329632341
