ID	Location	Membrane	Nucleus	Cytoplasm	Extracellular	Mitochondrion	Cell_membrane	Endoplasmic_reticulum	Plastid	Golgi_apparatus	Lysosome/Vacuole	Peroxisome
sp|Q8NF91|SYNE1_HUMAN Nesprin-1 OS=Homo sapiens OX=9606 GN=SYNE1 PE=1 SV=4	Cytoplasm	0.1989	0.0707	0.5495	0.0002	0.0008	0.0319	0.0229	0.0001	0.2861	0.0377	0.0001
tr|A0A0C4DG40|A0A0C4DG40_HUMAN Nesprin-1 OS=Homo sapiens OX=9606 GN=SYNE1 PE=1 SV=1	Cytoplasm	0.1964	0.0713	0.5536	0.0002	0.0008	0.0323	0.0226	0.0001	0.2808	0.0381	0.0001
tr|H3BQK9|H3BQK9_HUMAN Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 OS=Homo sapiens OX=9606 GN=MACF1 PE=1 SV=1	Cytoplasm	0.0072	0.0402	0.9365	0.0	0.0	0.006	0.0006	0.0	0.0125	0.0041	0.0001
sp|Q03001|DYST_HUMAN Dystonin OS=Homo sapiens OX=9606 GN=DST PE=1 SV=4	Cytoplasm	0.0106	0.0677	0.908	0.0	0.0001	0.0056	0.0007	0.0001	0.0117	0.0061	0.0001
sp|Q9UPN3|MACF1_HUMAN Microtubule-actin cross-linking factor 1, isoforms 1/2/3/4/5 OS=Homo sapiens OX=9606 GN=MACF1 PE=1 SV=4	Cytoplasm	0.0066	0.0405	0.9376	0.0	0.0	0.0054	0.0005	0.0	0.0123	0.0037	0.0
sp|Q8WXH0|SYNE2_HUMAN Nesprin-2 OS=Homo sapiens OX=9606 GN=SYNE2 PE=1 SV=3	Cytoplasm	0.1499	0.0775	0.599	0.0002	0.0004	0.0196	0.0178	0.0	0.2591	0.0263	0.0
sp|P20929|NEBU_HUMAN Nebulin OS=Homo sapiens OX=9606 GN=NEB PE=1 SV=5	Cytoplasm	0.0116	0.1377	0.824	0.0002	0.0006	0.0165	0.0014	0.0004	0.0054	0.0053	0.0086
sp|Q09666|AHNK_HUMAN Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2	Cytoplasm	0.0122	0.0756	0.8995	0.0006	0.0002	0.0155	0.0001	0.0004	0.0002	0.0054	0.0025
sp|Q8IVF2|AHNK2_HUMAN Protein AHNAK2 OS=Homo sapiens OX=9606 GN=AHNAK2 PE=1 SV=2	Cytoplasm	0.019	0.0229	0.9325	0.0009	0.0001	0.0372	0.0003	0.0002	0.0028	0.0028	0.0003
sp|Q96RW7|HMCN1_HUMAN Hemicentin-1 OS=Homo sapiens OX=9606 GN=HMCN1 PE=1 SV=2	Extracellular	0.0004	0.0006	0.0039	0.9801	0.0004	0.0027	0.007	0.0	0.0	0.0054	0.0
