# NetGPI 1.1	Timestamp: 20221114110322
# ID	Seq-length	Pred. GPI-Anchored	Omega-site pos.	Likelihood	Amino-acid
sp_Q6P575_BGP11_HUMAN	273	Not GPI-Anchored	-	0.993	*
sp_Q8NGS3_OR1J1_HUMAN	322	Not GPI-Anchored	-	0.987	*
sp_Q9NQN1_OR2S1_HUMAN	319	Not GPI-Anchored	-	0.993	*
sp_Q9BW27_NUP85_HUMAN	656	Not GPI-Anchored	-	0.979	*
sp_Q5BJF6_ODFP2_HUMAN	829	Not GPI-Anchored	-	0.993	*
sp_Q9UMX2_OAZ3_HUMAN	235	Not GPI-Anchored	-	0.996	*
sp_O76001_OR2J3_HUMAN	311	Not GPI-Anchored	-	0.994	*
sp_O76002_OR2J2_HUMAN	312	Not GPI-Anchored	-	0.994	*
sp_Q9Y585_OR1A2_HUMAN	309	Not GPI-Anchored	-	0.977	*
sp_Q99567_NUP88_HUMAN	741	Not GPI-Anchored	-	0.995	*
sp_Q9Y255_PRLD1_HUMAN	219	Not GPI-Anchored	-	0.995	*
sp_Q8NH92_OR1S1_HUMAN	325	Not GPI-Anchored	-	0.990	*
sp_A1E959_ODAM_HUMAN	279	Not GPI-Anchored	-	0.995	*
sp_Q8NGR8_OR1L8_HUMAN	309	Not GPI-Anchored	-	0.988	*
sp_Q9BVL2_NUP58_HUMAN	599	Not GPI-Anchored	-	0.992	*
sp_Q8NGR6_OR1B1_HUMAN	318	Not GPI-Anchored	-	0.994	*
sp_Q8NFH4_NUP37_HUMAN	326	Not GPI-Anchored	-	0.986	*
sp_A0A2R8YFM6_OOSP3_HUMAN	193	Not GPI-Anchored	-	0.982	*
sp_Q2M2E3_ODFP4_HUMAN	257	Not GPI-Anchored	-	0.992	*
sp_Q8NHA6_OR2W6_HUMAN	318	Not GPI-Anchored	-	0.981	*
sp_Q86Y26_NUTM1_HUMAN	1132	Not GPI-Anchored	-	0.994	*
sp_Q9H205_O2AG1_HUMAN	316	Not GPI-Anchored	-	0.977	*
sp_Q96N28_PLD3A_HUMAN	172	Not GPI-Anchored	-	0.985	*
sp_O15120_PLCB_HUMAN	278	Not GPI-Anchored	-	0.993	*
sp_Q8TCW9_PKR1_HUMAN	393	Not GPI-Anchored	-	0.995	*
sp_Q6ZR37_PKHG7_HUMAN	691	Not GPI-Anchored	-	0.994	*
sp_A1L390_PKHG3_HUMAN	1219	Not GPI-Anchored	-	0.990	*
sp_O14494_PLPP1_HUMAN	284	Not GPI-Anchored	-	0.995	*
sp_Q96S99_PKHF1_HUMAN	279	Not GPI-Anchored	-	0.981	*
sp_O75928_PIAS2_HUMAN	621	Not GPI-Anchored	-	0.987	*
sp_A4QPH2_PI4P2_HUMAN	592	Not GPI-Anchored	-	0.996	*
sp_Q8WXW3_PIBF1_HUMAN	757	Not GPI-Anchored	-	0.996	*
sp_P10114_RAP2A_HUMAN	183	Not GPI-Anchored	-	0.992	*
sp_Q96PD5_PGRP2_HUMAN	576	Not GPI-Anchored	-	0.994	*
sp_Q8NGL1_OR5DI_HUMAN	313	Not GPI-Anchored	-	0.993	*
sp_O15381_NVL_HUMAN	856	Not GPI-Anchored	-	0.994	*
sp_Q8NGM1_OR4CF_HUMAN	316	Not GPI-Anchored	-	0.990	*
sp_A6NJZ3_O6C65_HUMAN	312	Not GPI-Anchored	-	0.994	*
sp_Q8NGH5_O56A1_HUMAN	318	Not GPI-Anchored	-	0.985	*
sp_Q9NX40_OCAD1_HUMAN	245	Not GPI-Anchored	-	0.995	*
sp_C9JG80_NPIB4_HUMAN	1138	Not GPI-Anchored	-	0.990	*
sp_P0DPK3_NT2NB_HUMAN	275	Not GPI-Anchored	-	0.985	*
sp_O60462_NRP2_HUMAN	931	Not GPI-Anchored	-	0.979	*
sp_Q8N912_NRAC_HUMAN	160	GPI-Anchored	101	0.476	G
sp_Q96DE0_NUD16_HUMAN	195	Not GPI-Anchored	-	0.993	*
sp_Q9UNW9_NOVA2_HUMAN	492	Not GPI-Anchored	-	0.992	*
sp_A0A024RBG1_NUD4B_HUMAN	181	Not GPI-Anchored	-	0.987	*
sp_Q9UHK0_NUFP1_HUMAN	495	Not GPI-Anchored	-	0.993	*
sp_P55055_NR1H2_HUMAN	460	Not GPI-Anchored	-	0.996	*
sp_P0DQD5_NPY42_HUMAN	375	Not GPI-Anchored	-	0.992	*
sp_P53041_PPP5_HUMAN	499	Not GPI-Anchored	-	0.976	*
sp_Q96T49_PP16B_HUMAN	567	Not GPI-Anchored	-	0.989	*
sp_Q6UXI9_NPNT_HUMAN	565	Not GPI-Anchored	-	0.995	*
sp_P46459_NSF_HUMAN	744	Not GPI-Anchored	-	0.992	*
sp_Q9HCH0_NCK5L_HUMAN	1334	Not GPI-Anchored	-	0.989	*
sp_Q9GZQ4_NMUR2_HUMAN	415	Not GPI-Anchored	-	0.996	*
