"CSF-PR / CSF GLYCO MIXED-MODE / Proteins / "
"","PI","Accession","Other Protein(s)","Description","CHROMOSOME","Gene Name","Coverage(%)","Non Enzymatic Peptides","#Peptides","#Spectra","NSAF","RANK (NSAF)","MW","Confidence","Spectrum Lower Range","Spectrum Upper Range","Peptide Lower Range","Peptide Upper Range","Validated"
1.00,"SINGLE PROTEIN","P02768",""," Serum albumin (ALBU_HUMAN)","4","ALB",79.47,"true",165.00,2808.00,0.45,2.00,69.32,100.00,,,,,"true"
2.00,"SINGLE PROTEIN","P02787",""," Serotransferrin (TRFE_HUMAN)","3","TF",57.45,"true",85.00,423.00,0.07,37.00,77.01,100.00,,,,,"true"
3.00,"SINGLE PROTEIN","P01009",""," Alpha-1-antitrypsin (A1AT_HUMAN)","14","SERPINA1",76.56,"true",76.00,701.00,0.42,3.00,46.71,100.00,,,,,"true"
4.00,"SINGLE PROTEIN","P01024",""," Complement C3 (CO3_HUMAN)","19","C3",43.05,"true",68.00,250.00,0.03,77.00,187.03,100.00,,,,,"true"
5.00,"SINGLE PROTEIN","P01011",""," Alpha-1-antichymotrypsin (AACT_HUMAN)","14","SERPINA3",68.09,"true",63.00,309.00,0.13,17.00,47.62,100.00,,,,,"true"
6.00,"SINGLE PROTEIN","P00450",""," Ceruloplasmin (CERU_HUMAN)","3","CP",44.04,"true",62.00,372.00,0.05,46.00,122.13,100.00,,,,,"true"
7.00,"SINGLE PROTEIN","P01023",""," Alpha-2-macroglobulin (A2MG_HUMAN)","12","A2M",48.58,"true",53.00,132.00,0.01,175.00,163.19,100.00,,,,,"true"
8.00,"SINGLE PROTEIN","P41222",""," Prostaglandin-H2 D-isomerase (PTGDS_HUMAN)","9","PTGDS",65.26,"true",49.00,594.00,0.96,1.00,21.02,100.00,,,,,"true"
9.00,"RELATED PROTEINS","P0C0L4","P0C0L5"," Complement C4-A (CO4A_HUMAN)","6","C4A",32.80,"true",48.00,182.00,0.03,86.00,192.65,100.00,,,,,"true"
10.00,"SINGLE PROTEIN","P10909",""," Clusterin (CLUS_HUMAN)","8","CLU",52.56,"true",39.00,245.00,0.29,6.00,52.46,100.00,,,,,"true"
11.00,"SINGLE PROTEIN","P02774",""," Vitamin D-binding protein (VTDB_HUMAN)","4","GC",56.54,"true",38.00,322.00,0.13,18.00,52.93,100.00,,,,,"true"
12.00,"SINGLE PROTEIN","P02763",""," Alpha-1-acid glycoprotein 1 (A1AG1_HUMAN)","9","ORM1",68.16,"true",36.00,266.00,0.26,7.00,23.50,100.00,,,,,"true"
13.00,"SINGLE PROTEIN","P01857",""," Ig gamma-1 chain C region (IGHG1_HUMAN)","14","IGHG1",67.58,"true",35.00,195.00,0.11,20.00,36.08,100.00,,,,,"true"
14.00,"SINGLE PROTEIN","P02790",""," Hemopexin (HEMO_HUMAN)","11","HPX",54.55,"true",34.00,152.00,0.07,32.00,51.64,100.00,,,,,"true"
15.00,"SINGLE PROTEIN","P02649",""," Apolipoprotein E (APOE_HUMAN)","19","APOE",61.51,"true",33.00,156.00,0.15,15.00,36.13,100.00,,,,,"true"
16.00,"SINGLE PROTEIN","P02766",""," Transthyretin (TTHY_HUMAN)","18","TTR",83.67,"true",32.00,202.00,0.31,5.00,15.88,100.00,,,,,"true"
17.00,"SINGLE PROTEIN","P05060",""," Secretogranin-1 (SCG1_HUMAN)","20","CHGB",42.10,"true",31.00,129.00,0.06,43.00,78.23,100.00,,,,,"true"
18.00,"SINGLE PROTEIN","P00738",""," Haptoglobin (HPT_HUMAN)","16","HP",36.70,"true",28.00,133.00,0.08,30.00,45.18,100.00,,,,,"true"
19.00,"SINGLE PROTEIN","P01859",""," Ig gamma-2 chain C region (IGHG2_HUMAN)","14","IGHG2",57.98,"true",27.00,196.00,0.15,16.00,35.88,100.00,,,,,"true"
20.00,"SINGLE PROTEIN","P13645",""," Keratin, type I cytoskeletal 10 (K1C10_HUMAN)","17","KRT10",32.36,"true",27.00,55.00,0.02,127.00,58.79,100.00,,,,,"true"
21.00,"SINGLE PROTEIN","P02751",""," Fibronectin (FINC_HUMAN)","2","FN1",12.74,"true",26.00,74.00,0.01,266.00,262.46,100.00,,,,,"true"
22.00,"SINGLE PROTEIN","P02647",""," Apolipoprotein A-I (APOA1_HUMAN)","11","APOA1",67.79,"true",26.00,112.00,0.08,31.00,30.76,100.00,,,,,"true"
23.00,"SINGLE PROTEIN","Q9UBP4",""," Dickkopf-related protein 3 (DKK3_HUMAN)","11","DKK3",53.71,"true",26.00,153.00,0.08,28.00,38.37,100.00,,,,,"true"
24.00,"SINGLE PROTEIN","P02765",""," Alpha-2-HS-glycoprotein (FETUA_HUMAN)","3","AHSG",33.79,"true",25.00,194.00,0.18,11.00,39.30,100.00,,,,,"true"
25.00,"SINGLE PROTEIN","P05090",""," Apolipoprotein D (APOD_HUMAN)","3","APOD",50.79,"true",25.00,124.00,0.36,4.00,21.26,100.00,,,,,"true"
26.00,"SINGLE PROTEIN","P01861",""," Ig gamma-4 chain C region (IGHG4_HUMAN)","14","IGHG4",55.96,"true",24.00,116.00,0.06,40.00,35.92,100.00,,,,,"true"
27.00,"SINGLE PROTEIN","P19652",""," Alpha-1-acid glycoprotein 2 (A1AG2_HUMAN)","9","ORM2",65.17,"true",23.00,166.00,0.24,8.00,23.59,100.00,,,,,"true"
28.00,"SINGLE PROTEIN","P01008",""," Antithrombin-III (ANT3_HUMAN)","1","SERPINC1",45.91,"true",22.00,108.00,0.09,25.00,52.57,100.00,,,,,"true"
29.00,"SINGLE PROTEIN","P01860",""," Ig gamma-3 chain C region (IGHG3_HUMAN)","14","IGHG3",46.42,"true",22.00,93.00,0.03,76.00,41.26,100.00,,,,,"true"
30.00,"SINGLE PROTEIN","P01042",""," Kininogen-1 (KNG1_HUMAN)","3","KNG1",18.63,"true",20.00,82.00,0.03,65.00,71.91,100.00,,,,,"true"
31.00,"SINGLE PROTEIN","P01876",""," Ig alpha-1 chain C region (IGHA1_HUMAN)","14","IGHA1",47.31,"true",20.00,140.00,0.17,13.00,37.63,100.00,,,,,"true"
32.00,"SINGLE PROTEIN","P08603",""," Complement factor H (CFAH_HUMAN)","1","CFH",22.42,"true",20.00,99.00,0.02,93.00,139.00,100.00,,,,,"true"
33.00,"SINGLE PROTEIN","P06396",""," Gelsolin (GELS_HUMAN)","9","GSN",31.71,"true",20.00,54.00,0.04,60.00,85.64,100.00,,,,,"true"
34.00,"SINGLE PROTEIN","P04264",""," Keratin, type II cytoskeletal 1 (K2C1_HUMAN)","12","KRT1",23.45,"true",20.00,41.00,0.01,188.00,66.00,100.00,,,,,"true"
35.00,"SINGLE PROTEIN","P01834",""," Ig kappa chain C region (IGKC_HUMAN)","2","IGKC",88.68,"true",19.00,85.00,0.18,12.00,11.60,100.00,,,,,"true"
36.00,"SINGLE PROTEIN","Q92823",""," Neuronal cell adhesion molecule (NRCAM_HUMAN)","7","NRCAM",17.48,"false",19.00,77.00,0.02,138.00,143.80,100.00,,,,,"true"
37.00,"SINGLE PROTEIN","P01019",""," Angiotensinogen (ANGT_HUMAN)","1","AGT",40.00,"true",18.00,98.00,0.08,27.00,53.12,100.00,,,,,"true"
38.00,"SINGLE PROTEIN","P05155",""," Plasma protease C1 inhibitor (IC1_HUMAN)","11","SERPING1",44.60,"true",18.00,67.00,0.02,113.00,55.12,100.00,,,,,"true"
39.00,"SINGLE PROTEIN","Q9Y6R7",""," IgGFc-binding protein (FCGBP_HUMAN)","19","FCGBP",9.42,"true",16.00,34.00,0.00,524.00,571.64,100.00,,,,,"true"
40.00,"SINGLE PROTEIN","P00751",""," Complement factor B (CFAB_HUMAN)","6","CFB",19.63,"true",16.00,87.00,0.05,50.00,85.48,100.00,,,,,"true"
41.00,"SINGLE PROTEIN","P35527",""," Keratin, type I cytoskeletal 9 (K1C9_HUMAN)","17","KRT9",29.70,"true",15.00,29.00,0.01,191.00,62.03,100.00,,,,,"true"
42.00,"SINGLE PROTEIN","O00533",""," Neural cell adhesion molecule L1-like protein (NCHL1_HUMAN)","3","CHL1",14.16,"true",15.00,42.00,0.01,161.00,134.99,100.00,,,,,"true"
43.00,"SINGLE PROTEIN","Q12860",""," Contactin-1 (CNTN1_HUMAN)","12","CNTN1",14.05,"true",14.00,59.00,0.01,153.00,113.25,100.00,,,,,"true"
44.00,"SINGLE PROTEIN","P02753",""," Retinol-binding protein 4 (RET4_HUMAN)","10","RBP4",45.77,"false",14.00,90.00,0.21,9.00,23.00,100.00,,,,,"true"
45.00,"SINGLE PROTEIN","P51884",""," Lumican (LUM_HUMAN)","12","LUM",25.15,"true",14.00,41.00,0.03,92.00,38.40,100.00,,,,,"true"
46.00,"SINGLE PROTEIN","Q9NYQ8",""," Protocadherin Fat 2 (FAT2_HUMAN)","5","FAT2",3.82,"true",13.00,28.00,0.00,564.00,479.02,100.00,,,,,"true"
47.00,"SINGLE PROTEIN","P01877",""," Ig alpha-2 chain C region (IGHA2_HUMAN)","14","IGHA2",38.24,"true",13.00,66.00,0.11,19.00,36.50,100.00,,,,,"true"
48.00,"SINGLE PROTEIN","P10645",""," Chromogranin-A (CMGA_HUMAN)","14","CHGA",31.07,"true",13.00,67.00,0.04,55.00,50.66,100.00,,,,,"true"
49.00,"SINGLE PROTEIN","Q14624",""," Inter-alpha-trypsin inhibitor heavy chain H4 (ITIH4_HUMAN)","3","ITIH4",26.13,"true",13.00,53.00,0.03,78.00,103.29,100.00,,,,,"true"
50.00,"SINGLE PROTEIN","P04004",""," Vitronectin (VTNC_HUMAN)","17","VTN",24.90,"true",13.00,46.00,0.06,39.00,54.27,100.00,,,,,"true"
51.00,"SINGLE PROTEIN","P13591",""," Neural cell adhesion molecule 1 (NCAM1_HUMAN)","11","NCAM1",14.34,"true",12.00,32.00,0.01,167.00,94.52,100.00,,,,,"true"
52.00,"SINGLE PROTEIN","P51693",""," Amyloid-like protein 1 (APLP1_HUMAN)","19","APLP1",24.77,"true",12.00,21.00,0.00,345.00,72.13,100.00,,,,,"true"
53.00,"SINGLE PROTEIN","P23142",""," Fibulin-1 (FBLN1_HUMAN)","22","FBLN1",21.48,"true",12.00,32.00,0.02,97.00,77.16,100.00,,,,,"true"
54.00,"SINGLE PROTEIN","P35908",""," Keratin, type II cytoskeletal 2 epidermal (K22E_HUMAN)","12","KRT2",25.51,"false",12.00,24.00,0.00,379.00,65.39,100.00,,,,,"true"
55.00,"SINGLE PROTEIN","Q96KN2",""," Beta-Ala-His dipeptidase (CNDP1_HUMAN)","18","CNDP1",28.01,"true",12.00,60.00,0.06,41.00,56.67,100.00,,,,,"true"
56.00,"SINGLE PROTEIN","P54289",""," Voltage-dependent calcium channel subunit alpha-2/delta-1 (CA2D1_HUMAN)","7","CACNA2D1",13.69,"true",12.00,54.00,0.03,69.00,124.49,100.00,,,,,"true"
57.00,"SINGLE PROTEIN","P01031",""," Complement C5 (CO5_HUMAN)","9","C5",10.26,"true",11.00,17.00,0.00,437.00,188.19,100.00,,,,,"true"
58.00,"SINGLE PROTEIN","O43505",""," Beta-1,4-glucuronyltransferase 1 (B4GA1_HUMAN)","11","B3GNT1",31.08,"true",11.00,25.00,0.02,105.00,47.09,100.00,,,,,"true"
