IPI ID;UniProt Accession
IPI00000024;Q08174
IPI00000130;P61278
IPI00000137;Q9UJJ9
IPI00000138;P26572
IPI00000459;O14668
IPI00000495;-
IPI00000779;-
IPI00000816;P62258
IPI00000828;P01210
IPI00000856;Q96AC1
IPI00000860;Q06828
IPI00000874;Q06830
IPI00000875;-
IPI00000877;Q9Y4L1
IPI00000949;Q14894
IPI00001399;Q9UKB5
IPI00001506;P01303
IPI00001508;P01308
IPI00001580;Q9BQS8
IPI00001611;P01344
IPI00001632;Q9P206
IPI00001662;-
IPI00001755;Q9Y625
IPI00001952;O94919
IPI00002147;P36222
IPI00002211;Q9H2E6
IPI00002236;Q08431
IPI00002280;Q9UHG2
IPI00002334;P42857
IPI00002412;P50897
IPI00002525;Q9UMX5
IPI00002541;-
IPI00002714;Q9UBP4
IPI00002732;Q9UBQ6
IPI00002745;Q9UBR2
IPI00002816;Q9UBX1
IPI00002925;Q16568
IPI00003021;P50993
IPI00003111;P01594
IPI00003221;Q9H560
IPI00003351;Q16610
IPI00003366;Q16620
IPI00003448;Q16674
IPI00003590;O00391
IPI00003627;O96019
IPI00003802;Q16706
IPI00003813;Q9BY67
IPI00003817;P52566
IPI00003865;P11142
IPI00003907;Q9Y5F6
IPI00003919;Q16769
IPI00004114;Q93091
IPI00004413;O75509
IPI00004433;Q9UQ52
IPI00004440;Q16849
IPI00004503;-
IPI00004516;O15055
IPI00004573;P01833
IPI00004574;-
IPI00004618;-
IPI00004656;P61769
IPI00004672;P01893
IPI00004827;Q9UFM2
IPI00004946;Q9H2A7
IPI00005038;P52758
IPI00005056;-
IPI00005126;P52799
IPI00005142;P11362
IPI00005159;P61160
IPI00005292;Q08629
IPI00005439;-
IPI00005559;Q9HC29
IPI00005707;Q9UBG0
IPI00005794;Q9Y646
IPI00005823;Q9NYC9
IPI00005859;O95678
IPI00005908;Q9UHI8
IPI00006011;Q6ZU52
IPI00006114;P36955
IPI00006121;P22304
IPI00006128;Q92563
IPI00006130;O75071
IPI00006146;-
IPI00006164;Q9H0C8
IPI00006166;O15354
IPI00006451;P46459
IPI00006524;Q5VV43
IPI00006601;P05060
IPI00006608;P05067
IPI00006662;P05090
IPI00006702;Q8IZL8
IPI00006967;Q9HC56
IPI00006969;Q16610
IPI00006987;Q9GZR7
IPI00007102;-
IPI00007221;P05154
IPI00007236;-
IPI00007257;O94985
IPI00007632;P48058
IPI00007664;-
IPI00007750;P68366
IPI00007752;P68371
IPI00007778;Q01459
IPI00007812;P21281
IPI00007839;Q9H222
IPI00007856;Q9UKX2
IPI00007884;-
IPI00007893;-
IPI00007899;-
IPI00007921;Q9P2S2
IPI00008085;Q9ULF5
IPI00008087;Q8N475
IPI00008269;Q9ULP0
IPI00008274;Q01518
IPI00008318;P54764
IPI00008433;P46782
IPI00008531;Q9UKL0
IPI00008554;P03950
IPI00008558;-
IPI00008584;-
IPI00008586;O95196
IPI00008787;P54802
IPI00008860;Q9BXJ4
IPI00008944;P05408
IPI00008994;Q9UN36
IPI00008997;Q9HC57
IPI00009028;P05452
IPI00009030;P13473
IPI00009049;-
IPI00009063;O14815
IPI00009276;Q9UNN8
IPI00009362;P13521
IPI00009396;P21554
IPI00009477;P13598
IPI00009619;Q8N126
IPI00009792;P23083
IPI00009793;Q9NZP8
IPI00009802;P13611
IPI00009865;P13645
IPI00009866;P13646
IPI00009867;P13647
IPI00009890;P07093
IPI00009920;-
IPI00009943;-
IPI00009950;Q12907
IPI00009997;O43505
IPI00010148;P48539
IPI00010182;P07108
IPI00010360;Q01955
IPI00010362;-
IPI00010381;Q9UPU3
IPI00010653;Q9GZR2
IPI00010700;P48634
IPI00010810;P13804
IPI00010949;Q9HAT2
IPI00011094;Q9BXJ3
IPI00011140;P48745
IPI00011218;P07333
IPI00011229;P07339
IPI00011252;P07357
IPI00011261;P07360
IPI00011264;Q03591
IPI00011274;O14979
IPI00011302;P13987
IPI00011605;P23435
IPI00011642;-
IPI00011651;P23470
IPI00011654;-
IPI00011662;O43291
IPI00011694;P07477
IPI00011732;O00451
IPI00012036;P11362
IPI00012039;P11362
IPI00012075;P23582
IPI00012119;P07585
IPI00012303;Q13228
IPI00012386;O43405
IPI00012440;Q9BTY2
IPI00012500;Q9BX63
IPI00012503;P07602
IPI00012887;P07711
IPI00012998;Q16630
IPI00013179;P41222
IPI00013299;P41271
IPI00013303;Q13449
IPI00013438;P15814
IPI00013452;P07814
IPI00013475;Q13885
IPI00013495;Q8NE71
IPI00013682;Q13508
IPI00013683;Q13509
IPI00013698;Q13510
IPI00013701;Q13519
IPI00013788;O43719
IPI00013933;P15924
IPI00013941;-
IPI00013976;P07942
IPI00014021;P13497
IPI00014048;P07998
IPI00014424;Q05639
IPI00014439;P09417
IPI00014572;P09486
IPI00014592;O15335
IPI00014964;-
IPI00015049;Q96B86
IPI00015102;Q13740
IPI00015182;-
IPI00015260;Q99435
IPI00015315;O94769
IPI00015346;Q9HCU4
IPI00015351;Q9GZP4
IPI00015479;Q9H741
IPI00015525;Q9H8L6
IPI00015834;-
IPI00015881;P09603
IPI00015916;-
IPI00016112;Q92626
IPI00016150;Q99574
IPI00016334;P43121
IPI00016422;P43146
IPI00016475;A7E2F4
IPI00016870;Q05996
IPI00016906;Q99611
IPI00016915;Q16270
IPI00017094;Q99698
IPI00017257;P43234
IPI00017557;Q6FHJ7
IPI00017569;Q9BWQ8
IPI00017601;P00450
IPI00017696;P09871
IPI00017841;Q99784
IPI00017968;P35318
IPI00018057;B2RTY4
IPI00018136;P19320
IPI00018146;P27348
IPI00018219;Q15582
IPI00018236;P17900
IPI00018276;Q6UXD5
IPI00018387;P09958
IPI00018396;Q9NTU7
IPI00018524;-
IPI00018534;Q99880
IPI00018769;P35442
IPI00019038;P61626
IPI00019176;Q99969
IPI00019359;P35527
IPI00019399;P35542
IPI00019439;P35556
IPI00019501;Q15768
IPI00019568;P00734
IPI00019576;P00742
IPI00019579;-
IPI00019580;P00747
IPI00019581;P00748
IPI00019591;-
IPI00019906;P35613
IPI00019927;P51665
IPI00019943;P43652
IPI00020012;P51693
IPI00020091;P19652
IPI00020101;P62807
IPI00020416;P29144
IPI00020430;-
IPI00020557;Q07954
IPI00020599;P27797
IPI00020665;-
IPI00020944;P37268
IPI00020977;P29279
IPI00020984;-
IPI00020986;P51884
IPI00020987;P51888
IPI00020990;Q99983
IPI00020996;P35858
IPI00021000;P10451
IPI00021033;P02461
IPI00021263;P63104
IPI00021304;P35908
IPI00021428;P68133
IPI00021439;P60709
IPI00021440;P63261
IPI00021751;-
IPI00021817;P04070
IPI00021841;P02647
IPI00021842;P02649
IPI00021854;P02652
IPI00021855;P02654
IPI00021856;P02655
IPI00021857;P02656
IPI00021885;P02671
IPI00021891;P02679
IPI00021907;P02686
IPI00021923;-
IPI00021954;Q92538
IPI00022200;P12111
IPI00022284;P04156
IPI00022314;P04179
IPI00022331;P04180
IPI00022333;O14514
IPI00022368;-
IPI00022371;P04196
IPI00022391;P02743
IPI00022392;P02745
