# SignalP-6.0	Organism: Eukarya	Timestamp: 20220628184533
# ID	Prediction	OTHER	SP(Sec/SPI)	CS Position
sp|Q9H4F8|SMOC1_HUMAN SPARC-related modular calcium-binding protein 1 OS=Homo sapiens OX=9606 GN=SMOC1 PE=1 SV=1	SP	0.000243	0.999729	CS pos: 26-27. Pr: 0.9760
sp|P05067|A4_HUMAN Amyloid-beta precursor protein OS=Homo sapiens OX=9606 GN=APP PE=1 SV=3	SP	0.000225	0.999778	CS pos: 17-18. Pr: 0.9767
tr|E9PLM6|E9PLM6_HUMAN Midkine OS=Homo sapiens OX=9606 GN=MDK PE=1 SV=1	SP	0.000233	0.999738	CS pos: 22-23. Pr: 0.5103
sp|P05362|ICAM1_HUMAN Intercellular adhesion molecule 1 OS=Homo sapiens OX=9606 GN=ICAM1 PE=1 SV=2	SP	0.000235	0.999742	CS pos: 27-28. Pr: 0.9777
sp|Q13501|SQSTM_HUMAN Sequestosome-1 OS=Homo sapiens OX=9606 GN=SQSTM1 PE=1 SV=1	OTHER	1.000072	0.000000	
sp|Q92743|HTRA1_HUMAN Serine protease HTRA1 OS=Homo sapiens OX=9606 GN=HTRA1 PE=1 SV=1	SP	0.000217	0.999739	CS pos: 22-23. Pr: 0.9788
sp|P10636|TAU_HUMAN Microtubule-associated protein tau OS=Homo sapiens OX=9606 GN=MAPT PE=1 SV=5	OTHER	1.000068	0.000000	
sp|Q8N987|NECA1_HUMAN N-terminal EF-hand calcium-binding protein 1 OS=Homo sapiens OX=9606 GN=NECAB1 PE=1 SV=1	OTHER	1.000051	0.000000	
sp|O95631|NET1_HUMAN Netrin-1 OS=Homo sapiens OX=9606 GN=NTN1 PE=1 SV=2	SP	0.000231	0.999734	CS pos: 24-25. Pr: 0.9787
sp|O15240|VGF_HUMAN Neurosecretory protein VGF OS=Homo sapiens OX=9606 GN=VGF PE=1 SV=2	SP	0.000515	0.999481	CS pos: 22-23. Pr: 0.9660
tr|A0A087WT44|A0A087WT44_HUMAN Heme oxygenase (biliverdin-producing) OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=1	OTHER	1.000059	0.000000	
sp|Q9Y2J0|RP3A_HUMAN Rabphilin-3A OS=Homo sapiens OX=9606 GN=RPH3A PE=1 SV=1	OTHER	1.000070	0.000000	
sp|O43707|ACTN4_HUMAN Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2	OTHER	1.000070	0.000000	
sp|Q8N474|SFRP1_HUMAN Secreted frizzled-related protein 1 OS=Homo sapiens OX=9606 GN=SFRP1 PE=1 SV=1	SP	0.000244	0.999765	CS pos: 31-32. Pr: 0.9756
sp|Q96Q06|PLIN4_HUMAN Perilipin-4 OS=Homo sapiens OX=9606 GN=PLIN4 PE=1 SV=2	OTHER	1.000063	0.000000	
sp|Q9UEY8|ADDG_HUMAN Gamma-adducin OS=Homo sapiens OX=9606 GN=ADD3 PE=1 SV=1	OTHER	1.000084	0.000000	
