Uniprot ID	S-score	Known shedding proteins	Protein names
A8K2U0	0.9988	Yes	Alpha-2-macroglobulin-like protein 1
A8TX70	0.9923	Yes	Collagen alpha-5(VI) chain
O00115	0.9987	Yes	Deoxyribonuclease-2-alpha
O00214	0.6602	Yes	Galectin-8
O00327	0.5744	Yes	Aryl hydrocarbon receptor nuclear translocator-like protein 1
O00391	0.9095	Yes	Sulfhydryl oxidase 1
O00462	0.9990	Yes	Beta-mannosidase
O00515	0.5042	Yes	Ladinin-1
O00584	0.9974	Yes	Ribonuclease T2
O00754	0.9811	Yes	Lysosomal alpha-mannosidase
O14773	0.9990	Yes	Tripeptidyl-peptidase 1
O14967	0.9428	Yes	Calmegin
O14976	0.9152	Yes	Cyclin-G-associated kinase
O15162	0.9227	Yes	Phospholipid scramblase 1
O15263	0.9824	Yes	Beta-defensin 4A
O15335	0.9932	Yes	Chondroadherin
O43240	0.9972	Yes	Kallikrein-10
O43278	0.9940	Yes	Kunitz-type protease inhibitor 1
O43505	0.9434	Yes	Beta-1,4-glucuronyltransferase 1
O43776	0.9401	Yes	Asparagine--tRNA ligase, cytoplasmic
O43852	0.9995	Yes	Calumenin
O43920	0.9560	Yes	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5
O60218	0.4771	Yes	Aldo-keto reductase family 1 member B10
O60235	0.9354	Yes	Transmembrane protease serine 11D
O60259	0.9993	Yes	Kallikrein-8
O60449	0.9992	Yes	Lymphocyte antigen 75
O60676	0.9990	Yes	Cystatin-8
O60888	0.9562	Yes	Protein CutA
O75340	0.8450	Yes	Programmed cell death protein 6
O75594	0.9711	Yes	Peptidoglycan recognition protein 1
O75629	0.9907	Yes	Protein CREG1
O75829	0.1830	Yes	Leukocyte cell-derived chemotaxin 1
O75882	0.9308	Yes	Attractin
O75888	0.9692	Yes	Tumor necrosis factor ligand superfamily member 13
O76015	0.9265	Yes	Keratin, type I cuticular Ha8
O94919	0.8783	Yes	Endonuclease domain-containing 1 protein
O95025	0.9580	Yes	Semaphorin-3D
O95084	0.9956	Yes	Serine protease 23
O95104	0.7835	Yes	Splicing factor, arginine/serine-rich 15
O95274	0.9977	Yes	Ly6/PLAUR domain-containing protein 3
O95395	0.8402	Yes	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3
O95450	0.9579	Yes	A disintegrin and metalloproteinase with thrombospondin motifs 2
O95467	0.8929	Yes	Neuroendocrine secretory protein 55
O95479	0.9081	Yes	GDH/6PGL endoplasmic bifunctional protein [Includes: Glucose 1-dehydrogenase
O95782	0.2677	Yes	AP-2 complex subunit alpha-1
O95841	0.9973	Yes	Angiopoietin-related protein 1
O95867	0.9963	Yes	Lymphocyte antigen 6 complex locus protein G6c
O95881	0.9974	Yes	Thioredoxin domain-containing protein 12
P00390	0.2883	Yes	Glutathione reductase, mitochondrial
P00450	0.9954	Yes	Ceruloplasmin
P00505	0.3151	Yes	Aspartate aminotransferase, mitochondrial
P00558	0.9740	Yes	Phosphoglycerate kinase 1
P00734	0.9972	Yes	Prothrombin
P00738	0.9976	Yes	Haptoglobin
P00739	0.9927	Yes	Haptoglobin-related protein
P00740	0.9979	Yes	Coagulation factor IX
