CSF-PR / CSF MIXED-MODE BOUND FRACTION / Proteins / 
index,PI,Accession,Other Protein(s),Description,CHROMOSOME,Gene Name,Coverage(%),Non Enzymatic Peptides,#Peptides,#Spectra,NSAF,RANK (NSAF),MW,Confidence,Spectrum Lower Range,Spectrum Upper Range,Peptide Lower Range,Peptide Upper Range,Validated
1.00,SINGLE PROTEIN,P10909,, Clusterin (CLUS_HUMAN),8,CLU,36.97,true,20.00,78.00,0.04,39.00,52.46,86.16,,,,,true
2.00,SINGLE PROTEIN,P04264,, Keratin, type II cytoskeletal 1 (K2C1_HUMAN),12,KRT1,35.25,true,19.00,25.00,0.01,85.00,66.00,86.11,,,,,true
3.00,SINGLE PROTEIN,P00738,, Haptoglobin (HPT_HUMAN),16,HP,61.82,true,35.00,122.00,0.04,42.00,45.18,86.06,,,,,true
4.00,SINGLE PROTEIN,P05060,, Secretogranin-1 (SCG1_HUMAN),20,CHGB,38.11,true,22.00,90.00,0.05,31.00,78.23,86.01,,,,,true
5.00,SINGLE PROTEIN,P01008,, Antithrombin-III (ANT3_HUMAN),1,SERPINC1,38.58,false,19.00,72.00,0.05,27.00,52.57,85.96,,,,,true
6.00,SINGLE PROTEIN,P02679,, Fibrinogen gamma chain (FIBG_HUMAN),4,FGG,46.36,false,18.00,30.00,0.01,72.00,51.48,85.96,,,,,true
7.00,SINGLE PROTEIN,P02675,, Fibrinogen beta chain (FIBB_HUMAN),4,FGB,47.25,true,22.00,104.00,0.03,52.00,55.89,85.92,,,,,true
8.00,SINGLE PROTEIN,P01019,, Angiotensinogen (ANGT_HUMAN),1,AGT,36.08,true,16.00,48.00,0.07,19.00,53.12,85.91,,,,,true
9.00,SINGLE PROTEIN,P01023,, Alpha-2-macroglobulin (A2MG_HUMAN),12,A2M,61.06,true,81.00,210.00,0.01,71.00,163.19,85.87,,,,,true
10.00,SINGLE PROTEIN,P00747,, Plasminogen (PLMN_HUMAN),6,PLG,41.11,true,26.00,89.00,0.03,55.00,90.51,85.87,,,,,true
11.00,SINGLE PROTEIN,P06727,, Apolipoprotein A-IV (APOA4_HUMAN),11,APOA4,46.72,false,15.00,17.00,0.00,101.00,45.37,85.86,,,,,true
12.00,SINGLE PROTEIN,P02787,, Serotransferrin (TRFE_HUMAN),3,TF,75.36,true,104.00,745.00,0.10,15.00,77.01,85.82,,,,,true
13.00,SINGLE PROTEIN,P06396,, Gelsolin (GELS_HUMAN),9,GSN,40.28,true,21.00,57.00,0.02,69.00,85.64,85.82,,,,,true
14.00,SINGLE PROTEIN,P01024,, Complement C3 (CO3_HUMAN),19,C3,68.85,true,131.00,454.00,0.01,73.00,187.03,85.77,,,,,true
15.00,SINGLE PROTEIN,P02649,, Apolipoprotein E (APOE_HUMAN),19,APOE,57.10,true,24.00,138.00,0.08,17.00,36.13,85.77,,,,,true
16.00,SINGLE PROTEIN,P02768,, Serum albumin (ALBU_HUMAN),4,ALB,89.33,true,240.00,4642.00,0.75,2.00,69.32,85.71,,,,,true
17.00,SINGLE PROTEIN,P08603,, Complement factor H (CFAH_HUMAN),1,CFH,42.16,true,45.00,141.00,0.02,61.00,139.00,85.71,,,,,true
18.00,SINGLE PROTEIN,P02751,, Fibronectin (FINC_HUMAN),2,FN1,12.15,true,19.00,37.00,0.00,107.00,262.46,85.71,,,,,true
19.00,SINGLE PROTEIN,P04217,, Alpha-1B-glycoprotein (A1BG_HUMAN),19,A1BG,30.71,true,12.00,35.00,0.03,54.00,54.22,85.67,,,,,true
20.00,SINGLE PROTEIN,P02766,, Transthyretin (TTHY_HUMAN),18,TTR,83.67,true,46.00,401.00,0.33,3.00,15.88,85.66,,,,,true
21.00,SINGLE PROTEIN,P01011,, Alpha-1-antichymotrypsin (AACT_HUMAN),14,SERPINA3,50.35,true,33.00,123.00,0.04,36.00,47.62,85.66,,,,,true
22.00,SINGLE PROTEIN,P01009,, Alpha-1-antitrypsin (A1AT_HUMAN),14,SERPINA1,77.27,true,68.00,694.00,0.15,10.00,46.71,85.61,,,,,true
23.00,SINGLE PROTEIN,P04114,, Apolipoprotein B-100 (APOB_HUMAN),2,APOB,6.33,true,22.00,42.00,0.00,111.00,515.28,85.61,,,,,true
24.00,RELATED PROTEINS,P0C0L4,P0C0L5, Complement C4-A (CO4A_HUMAN),6,C4A,42.78,true,69.00,184.00,0.00,102.00,192.65,85.56,,,,,true
25.00,SINGLE PROTEIN,P02790,, Hemopexin (HEMO_HUMAN),11,HPX,57.36,true,28.00,109.00,0.03,46.00,51.64,85.56,,,,,true
26.00,SINGLE PROTEIN,P00450,, Ceruloplasmin (CERU_HUMAN),3,CP,40.00,true,36.00,245.00,0.05,24.00,122.13,85.51,,,,,true
27.00,SINGLE PROTEIN,P02647,, Apolipoprotein A-I (APOA1_HUMAN),11,APOA1,78.65,true,35.00,138.00,0.05,26.00,30.76,85.45,,,,,true
28.00,SINGLE PROTEIN,P01042,, Kininogen-1 (KNG1_HUMAN),3,KNG1,26.09,true,16.00,85.00,0.04,41.00,71.91,85.42,,,,,true
29.00,SINGLE PROTEIN,P02774,, Vitamin D-binding protein (VTDB_HUMAN),4,GC,62.87,true,36.00,392.00,0.30,4.00,52.93,85.40,,,,,true
30.00,SINGLE PROTEIN,P04196,, Histidine-rich glycoprotein (HRG_HUMAN),3,HRG,25.71,true,13.00,35.00,0.02,66.00,59.54,85.37,,,,,true
31.00,SINGLE PROTEIN,P01834,, Ig kappa chain C region (IGKC_HUMAN),2,IGKC,82.08,true,12.00,244.00,1.30,1.00,11.60,85.23,,,,,true
32.00,SINGLE PROTEIN,P05155,, Plasma protease C1 inhibitor (IC1_HUMAN),11,SERPING1,25.60,false,15.00,34.00,0.02,68.00,55.12,85.19,,,,,true
33.00,SINGLE PROTEIN,Q08380,, Galectin-3-binding protein (LG3BP_HUMAN),17,LGALS3BP,32.82,false,14.00,32.00,0.01,79.00,65.29,85.14,,,,,true
34.00,SINGLE PROTEIN,P35527,, Keratin, type I cytoskeletal 9 (K1C9_HUMAN),17,KRT9,23.92,true,10.00,19.00,0.01,84.00,62.03,84.95,,,,,true
35.00,SINGLE PROTEIN,P02652,, Apolipoprotein A-II (APOA2_HUMAN),1,APOA2,70.00,true,11.00,27.00,0.05,28.00,11.17,84.87,,,,,true
36.00,SINGLE PROTEIN,Q9Y6R7,, IgGFc-binding protein (FCGBP_HUMAN),19,FCGBP,9.03,false,11.00,15.00,0.00,114.00,571.64,84.82,,,,,true
37.00,SINGLE PROTEIN,P01857,, Ig gamma-1 chain C region (IGHG1_HUMAN),14,IGHG1,74.24,true,46.00,316.00,0.29,6.00,36.08,84.77,,,,,true
38.00,SINGLE PROTEIN,P02763,, Alpha-1-acid glycoprotein 1 (A1AG1_HUMAN),9,ORM1,53.73,true,17.00,162.00,0.29,5.00,23.50,84.74,,,,,true
39.00,RELATED PROTEINS,P01876,P01877, Ig alpha-1 chain C region (IGHA1_HUMAN),14,IGHA1,27.20,true,16.00,35.00,0.01,80.00,37.63,84.72,,,,,true
40.00,SINGLE PROTEIN,Q14624,, Inter-alpha-trypsin inhibitor heavy chain H4 (ITIH4_HUMAN),3,ITIH4,18.39,true,11.00,60.00,0.05,25.00,103.29,84.69,,,,,true
41.00,SINGLE PROTEIN,P19827,, Inter-alpha-trypsin inhibitor heavy chain H1 (ITIH1_HUMAN),3,ITIH1,19.21,true,15.00,80.00,0.07,18.00,101.33,84.67,,,,,true
42.00,SINGLE PROTEIN,P00751,, Complement factor B (CFAB_HUMAN),6,CFB,16.88,true,12.00,67.00,0.03,53.00,85.48,84.64,,,,,true
43.00,SINGLE PROTEIN,P13645,, Keratin, type I cytoskeletal 10 (K1C10_HUMAN),17,KRT10,18.15,false,9.00,14.00,0.01,90.00,58.79,84.59,,,,,true
44.00,SINGLE PROTEIN,Q9UBP4,, Dickkopf-related protein 3 (DKK3_HUMAN),11,DKK3,35.43,true,14.00,42.00,0.04,45.00,38.37,84.52,,,,,true
45.00,SINGLE PROTEIN,P02671,, Fibrinogen alpha chain (FIBA_HUMAN),4,FGA,17.09,true,11.00,25.00,0.01,86.00,94.91,84.47,,,,,true
46.00,SINGLE PROTEIN,P01859,, Ig gamma-2 chain C region (IGHG2_HUMAN),14,IGHG2,80.67,true,38.00,214.00,0.05,32.00,35.88,84.35,,,,,true
47.00,SINGLE PROTEIN,P19823,, Inter-alpha-trypsin inhibitor heavy chain H2 (ITIH2_HUMAN),10,ITIH2,13.11,false,12.00,45.00,0.02,65.00,106.40,84.29,,,,,true
48.00,SINGLE PROTEIN,P09871,, Complement C1s subcomponent (C1S_HUMAN),12,C1S,16.86,true,8.00,11.00,0.01,93.00,76.63,84.24,,,,,true
49.00,SINGLE PROTEIN,P01876,, Ig alpha-1 chain C region (IGHA1_HUMAN),14,IGHA1,68.56,true,26.00,67.00,0.04,34.00,37.63,84.23,,,,,true
50.00,SINGLE PROTEIN,P02743,, Serum amyloid P-component (SAMP_HUMAN),1,APCS,34.08,true,10.00,23.00,0.05,33.00,25.37,84.18,,,,,true
51.00,SINGLE PROTEIN,P02749,, Beta-2-glycoprotein 1 (APOH_HUMAN),17,APOH,24.06,true,8.00,28.00,0.02,56.00,38.27,84.13,,,,,true
52.00,SINGLE PROTEIN,P02748,, Complement component C9 (CO9_HUMAN),5,C9,23.97,false,9.00,31.00,0.04,37.00,63.13,84.08,,,,,true
53.00,SINGLE PROTEIN,P01034,, Cystatin-C (CYTC_HUMAN),20,CST3,55.48,false,9.00,52.00,0.17,9.00,15.79,84.01,,,,,true
54.00,SINGLE PROTEIN,P05546,, Heparin cofactor 2 (HEP2_HUMAN),22,SERPIND1,18.44,true,10.00,16.00,0.01,91.00,57.03,83.96,,,,,true
55.00,SINGLE PROTEIN,P01871,, Ig mu chain C region (IGHM_HUMAN),14,IGHM,35.18,false,10.00,21.00,0.01,76.00,49.28,83.77,,,,,true
56.00,SINGLE PROTEIN,P08185,, Corticosteroid-binding globulin (CBG_HUMAN),14,SERPINA6,22.72,false,7.00,7.00,0.01,88.00,45.11,83.77,,,,,true
57.00,SINGLE PROTEIN,P01781,, Ig heavy chain V-III region GAL (HV320_HUMAN),,,40.52,false,5.00,15.00,0.07,20.00,12.72,83.77,,,,,true
58.00,SINGLE PROTEIN,P10451,, Osteopontin (OSTP_HUMAN),4,SPP1,23.25,true,5.00,12.00,0.04,43.00,35.40,83.77,,,,,true
59.00,SINGLE PROTEIN,P43652,, Afamin (AFAM_HUMAN),4,AFM,14.69,false,5.00,12.00,0.00,100.00,69.02,83.77,,,,,true
60.00,SINGLE PROTEIN,O43505,, Beta-1,4-glucuronyltransferase 1 (B4GA1_HUMAN),11,B3GNT1,21.69,false,5.00,9.00,0.01,74.00,47.09,83.77,,,,,true
61.00,SINGLE PROTEIN,P01880,, Ig delta chain C region (IGHD_HUMAN),14,IGHD,15.10,false,4.00,5.00,0.01,82.00,42.23,83.77,,,,,true
62.00,SINGLE PROTEIN,O15240,, Neurosecretory protein VGF (VGF_HUMAN),7,VGF,8.46,false,4.00,6.00,0.01,96.00,67.22,83.77,,,,,true
63.00,SINGLE PROTEIN,O94985,, Calsyntenin-1 (CSTN1_HUMAN),1,CLSTN1,5.20,true,4.00,17.00,0.02,58.00,109.72,83.77,,,,,true
64.00,SINGLE PROTEIN,P13591,, Neural cell adhesion molecule 1 (NCAM1_HUMAN),11,NCAM1,8.62,false,4.00,8.00,0.01,83.00,94.52,83.77,,,,,true
65.00,SINGLE PROTEIN,P04004,, Vitronectin (VTNC_HUMAN),17,VTN,11.09,false,4.00,23.00,0.05,29.00,54.27,83.77,,,,,true
66.00,SINGLE PROTEIN,Q8TCZ2,, CD99 antigen-like protein 2 (C99L2_HUMAN),X,CD99L2,23.66,true,4.00,13.00,0.03,49.00,27.97,83.77,,,,,true
67.00,SINGLE PROTEIN,P04180,, Phosphatidylcholine-sterol acyltransferase (LCAT_HUMAN),16,LCAT,16.36,false,4.00,13.00,0.03,47.00,49.55,83.77,,,,,true
68.00,SINGLE PROTEIN,Q14515,, SPARC-like protein 1 (SPRL1_HUMAN),4,SPARCL1,10.24,true,4.00,17.00,0.01,77.00,75.16,83.77,,,,,true
69.00,SINGLE PROTEIN,Q92823,, Neuronal cell adhesion molecule (NRCAM_HUMAN),7,NRCAM,3.91,true,4.00,5.00,0.00,105.00,143.80,83.77,,,,,true
70.00,SINGLE PROTEIN,P07225,, Vitamin K-dependent protein S (PROS_HUMAN),3,PROS1,10.50,false,4.00,5.00,0.00,104.00,75.07,83.77,,,,,true
71.00,SINGLE PROTEIN,P05408,, Neuroendocrine protein 7B2 (7B2_HUMAN),15,SCG5,15.57,true,4.00,25.00,0.12,11.00,23.71,83.77,,,,,true
72.00,SINGLE PROTEIN,P54289,, Voltage-dependent calcium channel subunit alpha-2/delta-1 (CA2D1_HUMAN),7,CACNA2D1,7.80,true,4.00,9.00,0.01,95.00,124.49,83.77,,,,,true
73.00,SINGLE PROTEIN,P12259,, Coagulation factor V (FA5_HUMAN),1,F5,2.25,false,3.00,9.00,0.00,109.00,251.55,83.77,,,,,true
74.00,SINGLE PROTEIN,Q9UHG2,, ProSAAS (PCSK1_HUMAN),X,PCSK1N,13.85,true,3.00,15.00,0.06,22.00,27.36,83.77,,,,,true
75.00,SINGLE PROTEIN,P36222,, Chitinase-3-like protein 1 (CH3L1_HUMAN),1,CHI3L1,13.05,false,3.00,10.00,0.02,60.00,42.60,83.77,,,,,true
76.00,SINGLE PROTEIN,P08571,, Monocyte differentiation antigen CD14 (CD14_HUMAN),5,CD14,10.13,false,3.00,3.00,0.01,94.00,40.05,83.77,,,,,true
77.00,SINGLE PROTEIN,P02747,, Complement C1q subcomponent subunit C (C1QC_HUMAN),1,C1QC,21.63,false,3.00,3.00,0.01,92.00,25.76,83.77,,,,,true
78.00,SINGLE PROTEIN,P05156,, Complement factor I (CFAI_HUMAN),4,CFI,11.15,false,3.00,4.00,0.00,103.00,65.71,83.77,,,,,true
79.00,SINGLE PROTEIN,Q13822,, Ectonucleotide pyrophosphatase/phosphodiesterase family member 2 (ENPP2_HUMAN),8,ENPP2,5.68,true,3.00,13.00,0.01,78.00,98.93,83.77,,,,,true
80.00,SINGLE PROTEIN,Q12860,, Contactin-1 (CNTN1_HUMAN),12,CNTN1,4.52,false,3.00,11.00,0.01,99.00,113.25,83.77,,,,,true
81.00,SINGLE PROTEIN,P13671,, Complement component C6 (CO6_HUMAN),5,C6,8.03,false,3.00,8.00,0.00,108.00,104.72,83.77,,,,,true
82.00,SINGLE PROTEIN,Q02818,, Nucleobindin-1 (NUCB1_HUMAN),19,NUCB1,13.88,true,3.00,5.00,0.01,89.00,53.85,83.77,,,,,true
83.00,SINGLE PROTEIN,Q96PD5,, N-acetylmuramoyl-L-alanine amidase (PGRP2_HUMAN),19,PGLYRP2,10.59,true,3.00,22.00,0.03,48.00,62.18,83.77,,,,,true
84.00,SINGLE PROTEIN,P02750,, Leucine-rich alpha-2-glycoprotein (A2GL_HUMAN),19,LRG1,15.56,false,3.00,26.00,0.09,16.00,38.15,83.77,,,,,true
85.00,SINGLE PROTEIN,P24821,, Tenascin (TENA_HUMAN),9,TNC,1.36,false,1.00,3.00,0.00,115.00,240.70,83.77,,,,,true
86.00,SINGLE PROTEIN,Q8WZ42,, Titin (TITIN_HUMAN),2,TTN,0.00,false,0.00,0.00,0.00,117.00,3813.65,83.77,,,,,true
87.00,SINGLE PROTEIN,P13521,, Secretogranin-2 (SCG2_HUMAN),2,SCG2,15.40,true,10.00,48.00,0.03,50.00,70.90,83.69,,,,,true
88.00,SINGLE PROTEIN,P41222,, Prostaglandin-H2 D-isomerase (PTGDS_HUMAN),9,PTGDS,43.16,true,9.00,123.00,0.28,7.00,21.02,83.64,,,,,true
89.00,SINGLE PROTEIN,P02753,, Retinol-binding protein 4 (RET4_HUMAN),10,RBP4,50.75,true,11.00,99.00,0.23,8.00,23.00,83.59,,,,,true
90.00,UNRELATED PROTEINS,P01871,P04220, Ig mu chain C region (IGHM_HUMAN),14,IGHM,26.11,false,7.00,15.00,0.01,97.00,49.28,83.54,,,,,true
91.00,SINGLE PROTEIN,P19652,, Alpha-1-acid glycoprotein 2 (A1AG2_HUMAN),9,ORM2,59.20,false,14.00,105.00,0.10,14.00,23.59,83.49,,,,,true
92.00,SINGLE PROTEIN,P02765,, Alpha-2-HS-glycoprotein (FETUA_HUMAN),3,AHSG,32.43,true,11.00,33.00,0.04,40.00,39.30,83.44,,,,,true
93.00,SINGLE PROTEIN,Q8WXD2,, Secretogranin-3 (SCG3_HUMAN),15,SCG3,26.28,true,8.00,35.00,0.02,64.00,52.97,83.38,,,,,true
94.00,SINGLE PROTEIN,P27169,, Serum paraoxonase/arylesterase 1 (PON1_HUMAN),7,PON1,32.96,true,9.00,39.00,0.07,21.00,39.71,83.33,,,,,true
95.00,SINGLE PROTEIN,P10645,, Chromogranin-A (CMGA_HUMAN),14,CHGA,24.07,true,9.00,88.00,0.11,12.00,50.66,83.28,,,,,true
96.00,SINGLE PROTEIN,P05090,, Apolipoprotein D (APOD_HUMAN),3,APOD,41.80,false,10.00,29.00,0.04,35.00,21.26,83.23,,,,,true
