Accession;Protein Name;Molecular Weight;Protein Grouping Ambiguity;Flow-through Proteins;Original Proteins;Bound Proteins;Commonly identifiable proteins in normal CSF
A1L4H1;Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D OS=Homo sapiens GN=SSC5D PE=2 SV=3;166 kDa;;17;14;0;
A2RU67;Uncharacterized protein KIAA1467 OS=Homo sapiens GN=KIAA1467 PE=1 SV=1;67 kDa;;8;2;;Yes
A4D0S4;Laminin subunit beta-4 OS=Homo sapiens GN=LAMB4 PE=2 SV=1;194 kDa;TRUE;2;0;1;
A4D0V7;Cadherin-like and PC-esterase domain-containing protein 1 OS=Homo sapiens GN=CPED1 PE=2 SV=1;117 kDa;;6;1;;
A6BM72;Multiple epidermal growth factor-like domains protein 11 OS=Homo sapiens GN=MEGF11 PE=2 SV=3;111 kDa;;2;2;;
A6NCE7;Microtubule-associated proteins 1A/1B light chain 3 beta 2 OS=Homo sapiens GN=MAP1LC3B2 PE=2 SV=1;15 kDa;TRUE;2;1;;
A6NDG6;Phosphoglycolate phosphatase OS=Homo sapiens GN=PGP PE=1 SV=1;34 kDa;;5;;;
A6NFA1;Metalloprotease TIKI2 OS=Homo sapiens GN=TRABD2B PE=1 SV=2;57 kDa;TRUE;2;1;;
A6NGN9;IgLON family member 5 OS=Homo sapiens GN=IGLON5 PE=2 SV=4;37 kDa;;8;8;;Yes
A6NHX0;GATS-like protein 2 OS=Homo sapiens GN=GATSL2 PE=2 SV=3;36 kDa;;3;;0;
A6NJ16;Putative V-set and immunoglobulin domain-containing-like protein IGHV4OR15-8 OS=Homo sapiens GN=IGHV4OR15-8 PE=5 SV=2;14 kDa;;;3;2;
A6NJS3;Putative V-set and immunoglobulin domain-containing-like protein IGHV1OR21-1 OS=Homo sapiens GN=IGHV1OR21-1 PE=5 SV=1;13 kDa;TRUE;;1;2;
A6NL88;Protein shisa-7 OS=Homo sapiens GN=SHISA7 PE=2 SV=3;56 kDa;;3;3;;
A6NLU5;V-set and transmembrane domain-containing protein 2B OS=Homo sapiens GN=VSTM2B PE=2 SV=2;30 kDa;;8;6;;Yes
B1AKI9;Isthmin-1 OS=Homo sapiens GN=ISM1 PE=2 SV=2;52 kDa;;5;1;;
B2RUY7;von Willebrand factor C domain-containing protein 2-like OS=Homo sapiens GN=VWC2L PE=2 SV=1;25 kDa;;1;2;1;
B8ZZ34;Putative protein shisa-8 OS=Homo sapiens GN=SHISA8 PE=5 SV=2;51 kDa;;2;1;0;
B9A064;Cluster of Immunoglobulin lambda-like polypeptide 5 OS=Homo sapiens GN=IGLL5 PE=2 SV=2 (B9A064);23 kDa;TRUE;3;20;18;
C9JH25;Proline-rich transmembrane protein 4 OS=Homo sapiens GN=PRRT4 PE=2 SV=1;93 kDa;;2;;;
O00115;Deoxyribonuclease-2-alpha OS=Homo sapiens GN=DNASE2 PE=1 SV=2;40 kDa;;5;5;;Yes
O00144;Frizzled-9 OS=Homo sapiens GN=FZD9 PE=2 SV=1;64 kDa;;2;1;;
O00187;Mannan-binding lectin serine protease 2 OS=Homo sapiens GN=MASP2 PE=1 SV=4;76 kDa;;4;1;1;Yes
O00241;Signal-regulatory protein beta-1 OS=Homo sapiens GN=SIRPB1 PE=1 SV=5;43 kDa;TRUE;4;2;;Yes
O00264;Cluster of Membrane-associated progesterone receptor component 1 OS=Homo sapiens GN=PGRMC1 PE=1 SV=3 (O00264);22 kDa;TRUE;7;5;;Yes
O00292;Cluster of Left-right determination factor 2 OS=Homo sapiens GN=LEFTY2 PE=1 SV=2 (O00292);41 kDa;TRUE;10;6;;
O00299;Chloride intracellular channel protein 1 OS=Homo sapiens GN=CLIC1 PE=1 SV=4;27 kDa;TRUE;8;4;2;Yes
O00300;Tumor necrosis factor receptor superfamily member 11B OS=Homo sapiens GN=TNFRSF11B PE=1 SV=3;46 kDa;;3;0;;
O00339;Matrilin-2 OS=Homo sapiens GN=MATN2 PE=1 SV=4;107 kDa;;16;16;1;Yes
O00391;Sulfhydryl oxidase 1 OS=Homo sapiens GN=QSOX1 PE=1 SV=3;83 kDa;;38;25;6;Yes
O00451;GDNF family receptor alpha-2 OS=Homo sapiens GN=GFRA2 PE=2 SV=2;52 kDa;TRUE;18;17;;Yes
O00461;Golgi integral membrane protein 4 OS=Homo sapiens GN=GOLIM4 PE=1 SV=1;82 kDa;;11;6;;Yes
O00462;Beta-mannosidase OS=Homo sapiens GN=MANBA PE=1 SV=3;101 kDa;TRUE;33;23;4;Yes
O00468;Agrin OS=Homo sapiens GN=AGRN PE=1 SV=4;215 kDa;;55;50;2;Yes
O00469;Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 OS=Homo sapiens GN=PLOD2 PE=1 SV=2;85 kDa;;5;3;1;
O00499;Myc box-dependent-interacting protein 1 OS=Homo sapiens GN=BIN1 PE=1 SV=1;65 kDa;;4;1;;
O00533;Neural cell adhesion molecule L1-like protein OS=Homo sapiens GN=CHL1 PE=1 SV=4;135 kDa;TRUE;40;54;16;Yes
O00548;Delta-like protein 1 OS=Homo sapiens GN=DLL1 PE=2 SV=2;78 kDa;;2;1;;
O00560;Syntenin-1 OS=Homo sapiens GN=SDCBP PE=1 SV=1;32 kDa;;3;5;0;Yes
O00584;Ribonuclease T2 OS=Homo sapiens GN=RNASET2 PE=1 SV=2;29 kDa;TRUE;15;13;;Yes
O00585;C-C motif chemokine 21 OS=Homo sapiens GN=CCL21 PE=1 SV=1;15 kDa;;3;;;
O00587;Beta-1,3-N-acetylglucosaminyltransferase manic fringe OS=Homo sapiens GN=MFNG PE=1 SV=2;36 kDa;;3;1;;
O00592;Podocalyxin OS=Homo sapiens GN=PODXL PE=1 SV=2;59 kDa;;2;0;0;
O00622;Protein CYR61 OS=Homo sapiens GN=CYR61 PE=1 SV=1;42 kDa;;3;;;
O00754;Lysosomal alpha-mannosidase OS=Homo sapiens GN=MAN2B1 PE=1 SV=3;114 kDa;TRUE;20;12;1;Yes
O00764;Pyridoxal kinase OS=Homo sapiens GN=PDXK PE=1 SV=1;35 kDa;;2;;;
O14498;Immunoglobulin superfamily containing leucine-rich repeat protein OS=Homo sapiens GN=ISLR PE=1 SV=1;46 kDa;;7;7;6;Yes
O14514;Brain-specific angiogenesis inhibitor 1 OS=Homo sapiens GN=BAI1 PE=1 SV=2;174 kDa;;16;12;4;
O14522;Receptor-type tyrosine-protein phosphatase T OS=Homo sapiens GN=PTPRT PE=1 SV=6;162 kDa;TRUE;12;9;;Yes
O14525;Astrotactin-1 OS=Homo sapiens GN=ASTN1 PE=1 SV=3;145 kDa;;15;4;2;Yes
O14594;Neurocan core protein OS=Homo sapiens GN=NCAN PE=2 SV=3;143 kDa;TRUE;31;33;;Yes
O14617;AP-3 complex subunit delta-1 OS=Homo sapiens GN=AP3D1 PE=1 SV=1;130 kDa;;2;0;;
O14618;Copper chaperone for superoxide dismutase OS=Homo sapiens GN=CCS PE=1 SV=1;29 kDa;;4;1;;
O14656;Torsin-1A OS=Homo sapiens GN=TOR1A PE=1 SV=1;38 kDa;;3;;;
O14657;Torsin-1B OS=Homo sapiens GN=TOR1B PE=1 SV=2;38 kDa;;6;0;1;
O14668;Transmembrane gamma-carboxyglutamic acid protein 1 OS=Homo sapiens GN=PRRG1 PE=2 SV=1;25 kDa;;2;2;;
