Entry	Mass
P51451	57,706
A6H8Y1	293,885
O60885	152,219
Q9Y3X0	59,703
P22223	91,418
Q9BXJ4	26,994
P09871	76,684
Q9ULX7	37,668
Q53TS8	71,159
Q01518	51,901
Q5VVM6	91,333
Q9BUK0	10,095
Q9P2X3	36,476
Q53TQ3	113,202
Q8N5I3	31,048
Q96MP8	33,132
Q53RY4	25,627
A8MX34	35,211
O60341	92,903
P12532	47,037
Q8NBR6	67,106
Q701N4	16,271
Q9UJU2	44,201
O75690	17,519
Q5TCM9	11,795
Q14533	54,928
Q16787	366,619
O76011	49,424
P55268	195,981
P78385	54,195
Q9BYZ2	41,943
Q86WU2	54,871
P14618	57,937
Q9HCJ2	71,950
Q3LI59	8,564
P0C6S8	64,881
P48059	37,251
Q9UHB6	85,226
Q643R3	57,219
P16581	66,655
Q8IV03	24,412
P61326	17,164
Q14CX5	57,381
A1L020	54,173
Q8N344	59,944
Q9Y316	33,733
Q96ES6	42,696
Q2M2H8	277,990
Q9H825	33,387
Q9NVC6	72,890
O75970	221,618
Q96A32	19,015
P53602	43,405
P84157	21,466
Q32M88	80,655
Q5EBL8	16,131
P08237	85,183
Q13113	12,227
A8MUH7	44,056
O00151	36,072
O15018	301,641
O15534	136,212
Q76G19	86,171
Q01813	85,596
Q96JY6	37,459
Q53GG5	39,232
P00558	44,615
P50479	35,398
P07205	44,796
Q96HC4	63,945
Q9NR12	49,845
Q6NSW7	34,673
Q5VZE5	83,639
O15055	136,579
Q8NBL1	46,189
Q9P0J1	61,054
Q9P2J9	59,978
P36871	61,449
Q8WWR9	9,188
Q6PCE3	70,442
Q96G03	68,283
O15530	63,152
P56645	131,888
Q6A1A2	44,765
Q15124	62,225
Q86YL7	16,698
Q8NCN5	99,364
P00439	51,862
P78562	86,474
Q8WUB8	56,051
Q9NUG6	15,511
O00764	35,102
Q9UIL8	37,582
Q96QT6	109,698
P20142	42,426
Q9BZM1	21,067
Q86YI8	33,582
Q9BX93	21,659
Q96FA3	46,286
O94880	100,053
Q9HAT8	46,435
Q9NZ53	65,076
Q5T6S3	65,591
Q8N2H9	50,755
Q9H720	78,584
Q9BSU1	47,524
Q9H5P4	111,752
O43189	62,106
P12955	54,548
Q9NWQ8	46,981
Q8NEN9	128,563
Q9BVI0	115,386
Q8IXQ8	29,904
Q9BRX2	43,359
Q9BUL5	43,818
Q9C0D0	66,308
Q9UPV7	45,192
O75167	69,700
Q96KR7	62,552
P34995	41,801
O75151	120,775
P43116	39,761
Q8IZ21	78,211
P43115	43,310
Q92576	229,481
Q7RTV0	12,405
P35408	53,119
Q8IZL8	119,700
Q6P996	86,707
Q8NDH3	55,861
Q6P474	51,810
Q8IWS0	41,290
O60437	204,747
Q9H814	44,403
Q9BWX1	43,767
Q15121	15,040
Q9UBM1	22,134
Q9H792	193,106
P35232	29,804
Q9UPP1	117,864
P18669	28,804
Q6ZS72	50,509
P15259	28,766
Q5VY43	110,666
Q8N0Y7	28,777
Q9NZ42	12,029
C9JFL3	7,706
Q99623	33,296
Q96HS1	32,004
Q13951	21,508
Q75T13	105,383
Q9UHJ9	29,400
P30086	21,057
Q96FC7	42,486
P78364	105,534
Q96RV3	258,676
P01210	30,787
Q96FM1	36,475
Q96S96	25,733
A6NKB5	237,277
Q8IXK0	90,713
Q9BRR3	46,588
Q9H6A9	222,039
Q8WWQ0	206,689
Q9HCN3	84,761
Q8NDX5	106,162
Q63HM2	132,702
P16284	82,522
Q96JS3	92,515
Q96RR1	77,154
Q6P3X8	68,011
Q8N328	67,595
Q96DM1	67,004
Q8N414	58,464
Q16816	45,024
Q9P0L9	91,982
