# NetGPI 1.1	Timestamp: 20221114112446
# ID	Seq-length	Pred. GPI-Anchored	Omega-site pos.	Likelihood	Amino-acid
sp_Q9Y576_ASB1_HUMAN	335	Not GPI-Anchored	-	0.994	*
sp_Q5VUY0_ADCL3_HUMAN	407	Not GPI-Anchored	-	0.937	*
sp_Q9BXL6_CAR14_HUMAN	1004	Not GPI-Anchored	-	0.995	*
sp_P55291_CAD15_HUMAN	814	Not GPI-Anchored	-	0.993	*
sp_Q9Y2D8_ADIP_HUMAN	614	Not GPI-Anchored	-	0.994	*
sp_Q9HCK5_AGO4_HUMAN	861	Not GPI-Anchored	-	0.994	*
sp_P12235_ADT1_HUMAN	298	Not GPI-Anchored	-	0.994	*
sp_Q8N157_AHI1_HUMAN	1196	Not GPI-Anchored	-	0.996	*
sp_Q14781_CBX2_HUMAN	532	Not GPI-Anchored	-	0.991	*
sp_P30556_AGTR1_HUMAN	359	Not GPI-Anchored	-	0.995	*
sp_Q4VCS5_AMOT_HUMAN	1084	Not GPI-Anchored	-	0.992	*
sp_Q03135_CAV1_HUMAN	178	Not GPI-Anchored	-	0.991	*
sp_Q8IZU8_DSEL_HUMAN	1212	Not GPI-Anchored	-	0.993	*
sp_P78325_ADAM8_HUMAN	824	Not GPI-Anchored	-	0.993	*
sp_Q3KRA9_ALKB6_HUMAN	238	Not GPI-Anchored	-	0.953	*
sp_Q96BJ3_AIDA_HUMAN	306	Not GPI-Anchored	-	0.996	*
sp_P35609_ACTN2_HUMAN	894	Not GPI-Anchored	-	0.990	*
sp_P55789_ALR_HUMAN	205	Not GPI-Anchored	-	0.985	*
sp_Q9H568_ACTL8_HUMAN	366	Not GPI-Anchored	-	0.995	*
sp_P09972_ALDOC_HUMAN	364	Not GPI-Anchored	-	0.985	*
sp_Q8N7E2_CBLL2_HUMAN	425	Not GPI-Anchored	-	0.995	*
sp_Q719I0_AHSA2_HUMAN	299	Not GPI-Anchored	-	0.985	*
sp_Q6NUN0_ACSM5_HUMAN	579	Not GPI-Anchored	-	0.996	*
sp_P0C7M7_ACSM4_HUMAN	580	Not GPI-Anchored	-	0.996	*
sp_Q9NVE4_CCD87_HUMAN	849	Not GPI-Anchored	-	0.969	*
sp_Q9Y6W3_CAN7_HUMAN	813	Not GPI-Anchored	-	0.994	*
sp_Q6NUI6_CHADL_HUMAN	762	Not GPI-Anchored	-	0.994	*
sp_P33076_C2TA_HUMAN	1130	Not GPI-Anchored	-	0.993	*
sp_P54289_CA2D1_HUMAN	1103	GPI-Anchored	1072	0.274	G
sp_Q16204_CCDC6_HUMAN	474	Not GPI-Anchored	-	0.993	*
sp_Q9ULV8_CBLC_HUMAN	474	Not GPI-Anchored	-	0.992	*
sp_Q5TC12_ATPF1_HUMAN	328	Not GPI-Anchored	-	0.996	*
sp_Q49AN0_CRY2_HUMAN	593	Not GPI-Anchored	-	0.989	*
sp_P19801_AOC1_HUMAN	751	Not GPI-Anchored	-	0.995	*
sp_P13928_ANXA8_HUMAN	327	Not GPI-Anchored	-	0.992	*
sp_P55345_ANM2_HUMAN	433	Not GPI-Anchored	-	0.995	*
sp_Q6IWH7_ANO7_HUMAN	933	Not GPI-Anchored	-	0.990	*
sp_Q92624_APBP2_HUMAN	585	Not GPI-Anchored	-	0.988	*
sp_Q9HCE9_ANO8_HUMAN	1232	Not GPI-Anchored	-	0.993	*
sp_Q9NP61_ARFG3_HUMAN	516	Not GPI-Anchored	-	0.978	*
sp_Q96A19_C102A_HUMAN	550	Not GPI-Anchored	-	0.994	*
sp_Q9NQ90_ANO2_HUMAN	1003	Not GPI-Anchored	-	0.991	*
sp_Q8N6T3_ARFG1_HUMAN	406	Not GPI-Anchored	-	0.992	*
sp_Q9NW15_ANO10_HUMAN	660	Not GPI-Anchored	-	0.993	*
sp_Q14155_ARHG7_HUMAN	803	Not GPI-Anchored	-	0.989	*
sp_Q86TB3_ALPK2_HUMAN	2170	Not GPI-Anchored	-	0.996	*
sp_Q01718_ACTHR_HUMAN	297	Not GPI-Anchored	-	0.979	*
sp_Q8IWZ6_BBS7_HUMAN	715	Not GPI-Anchored	-	0.989	*
sp_P26439_3BHS2_HUMAN	372	Not GPI-Anchored	-	0.994	*
sp_Q9UH17_ABC3B_HUMAN	382	Not GPI-Anchored	-	0.982	*
sp_P98095_FBLN2_HUMAN	1184	Not GPI-Anchored	-	0.461	*
sp_Q8NA97_FEAS1_HUMAN	138	Not GPI-Anchored	-	0.994	*
sp_Q96KP1_EXOC2_HUMAN	924	Not GPI-Anchored	-	0.991	*
sp_Q5T319_F182B_HUMAN	152	Not GPI-Anchored	-	0.992	*
sp_Q8N8S7_ENAH_HUMAN	591	Not GPI-Anchored	-	0.991	*
sp_O00423_EMAL1_HUMAN	815	Not GPI-Anchored	-	0.993	*
sp_Q8TE02_ELP5_HUMAN	316	Not GPI-Anchored	-	0.994	*
sp_Q8TC29_ENKUR_HUMAN	256	Not GPI-Anchored	-	0.982	*
sp_Q9UN88_GBRT_HUMAN	632	Not GPI-Anchored	-	0.679	*
sp_Q6ZR08_DYH12_HUMAN	3092	Not GPI-Anchored	-	0.990	*
sp_Q68J44_DUS29_HUMAN	220	Not GPI-Anchored	-	0.995	*
sp_Q8NBA8_DTWD2_HUMAN	298	Not GPI-Anchored	-	0.994	*
sp_Q9H596_DUS21_HUMAN	190	Not GPI-Anchored	-	0.993	*
sp_Q8TEA8_DTD1_HUMAN	209	Not GPI-Anchored	-	0.994	*
sp_Q5JU00_DRC5_HUMAN	501	Not GPI-Anchored	-	0.989	*
sp_Q1HG43_DOXA1_HUMAN	343	Not GPI-Anchored	-	0.992	*
sp_H3BNL8_ARMD2_HUMAN	230	Not GPI-Anchored	-	0.987	*
sp_O00115_DNS2A_HUMAN	360	Not GPI-Anchored	-	0.994	*
sp_P0DKL9_A14EL_HUMAN	152	Not GPI-Anchored	-	0.992	*
sp_Q7L8J4_3BP5L_HUMAN	393	Not GPI-Anchored	-	0.986	*
sp_Q96QP1_ALPK1_HUMAN	1244	Not GPI-Anchored	-	0.995	*
sp_P28566_5HT1E_HUMAN	365	Not GPI-Anchored	-	0.988	*
sp_Q9UBV7_B4GT7_HUMAN	327	Not GPI-Anchored	-	0.988	*
sp_O43286_B4GT5_HUMAN	388	Not GPI-Anchored	-	0.995	*
