# NetGPI 1.1	Timestamp: 20220628181631
# ID	Seq-length	Pred. GPI-Anchored	Omega-site pos.	Likelihood	Amino-acid
sp_Q9H4F8_SMOC1_HUMAN	434	Not GPI-Anchored	-	0.994	*
sp_Q99832_TCPH_HUMAN	543	Not GPI-Anchored	-	0.995	*
sp_P07203_GPX1_HUMAN	203	Not GPI-Anchored	-	0.988	*
sp_Q9Y6C9_MTCH2_HUMAN	303	Not GPI-Anchored	-	0.984	*
sp_O95400_CD2B2_HUMAN	341	Not GPI-Anchored	-	0.995	*
sp_Q9UL25_RAB21_HUMAN	225	Not GPI-Anchored	-	0.975	*
sp_Q9H6Q4_CIAO3_HUMAN	476	Not GPI-Anchored	-	0.993	*
sp_Q86XZ4_SPAS2_HUMAN	545	Not GPI-Anchored	-	0.968	*
sp_Q5KU26_COL12_HUMAN	742	Not GPI-Anchored	-	0.987	*
tr_C9JNU9_C9JNU9_HUMAN	363	Not GPI-Anchored	-	0.976	*
sp_Q9HCN4_GPN1_HUMAN	374	Not GPI-Anchored	-	0.994	*
sp_P09110_THIK_HUMAN	424	Not GPI-Anchored	-	0.983	*
sp_Q92643_GPI8_HUMAN	395	Not GPI-Anchored	-	0.928	*
sp_Q12789_TF3C1_HUMAN	2109	Not GPI-Anchored	-	0.995	*
sp_Q16348_S15A2_HUMAN	729	Not GPI-Anchored	-	0.990	*
sp_O75828_CBR3_HUMAN	277	Not GPI-Anchored	-	0.994	*
sp_Q02880_TOP2B_HUMAN	1626	Not GPI-Anchored	-	0.990	*
sp_Q13905_RPGF1_HUMAN	1077	Not GPI-Anchored	-	0.996	*
sp_P07738_PMGE_HUMAN	259	Not GPI-Anchored	-	0.996	*
tr_G3V5N8_G3V5N8_HUMAN	789	Not GPI-Anchored	-	0.994	*
sp_Q01082_SPTB2_HUMAN	2364	Not GPI-Anchored	-	0.995	*
sp_Q8NB90_AFG2H_HUMAN	893	Not GPI-Anchored	-	0.995	*
sp_Q05329_DCE2_HUMAN	585	Not GPI-Anchored	-	0.994	*
sp_Q16644_MAPK3_HUMAN	382	Not GPI-Anchored	-	0.988	*
sp_Q6VEQ5_WASH2_HUMAN	465	Not GPI-Anchored	-	0.986	*
sp_Q99470_SDF2_HUMAN	211	Not GPI-Anchored	-	0.994	*
sp_Q9GZV7_HPLN2_HUMAN	340	Not GPI-Anchored	-	0.986	*
sp_Q9C0B1_FTO_HUMAN	505	Not GPI-Anchored	-	0.995	*
sp_Q92917_GPKOW_HUMAN	476	Not GPI-Anchored	-	0.986	*
sp_O00231_PSD11_HUMAN	422	Not GPI-Anchored	-	0.996	*
sp_Q71DI3_H32_HUMAN	136	Not GPI-Anchored	-	0.994	*
sp_P49754_VPS41_HUMAN	854	Not GPI-Anchored	-	0.994	*
sp_Q9Y3I0_RTCB_HUMAN	505	Not GPI-Anchored	-	0.993	*
sp_Q9H2J7_S6A15_HUMAN	730	Not GPI-Anchored	-	0.993	*
sp_Q9NRR6_INP5E_HUMAN	644	Not GPI-Anchored	-	0.983	*
sp_P07814_SYEP_HUMAN	1512	Not GPI-Anchored	-	0.994	*
sp_Q86YQ8_CPNE8_HUMAN	564	Not GPI-Anchored	-	0.994	*
sp_P37840_SYUA_HUMAN	140	Not GPI-Anchored	-	0.993	*
sp_Q7L8L6_FAKD5_HUMAN	764	Not GPI-Anchored	-	0.991	*
tr_A0A0C4DGP0_A0A0C4DGP0_HUMAN	268	Not GPI-Anchored	-	0.994	*
sp_Q6V1X1_DPP8_HUMAN	898	Not GPI-Anchored	-	0.990	*
tr_E7ESA6_E7ESA6_HUMAN	1096	Not GPI-Anchored	-	0.996	*
sp_P62888_RL30_HUMAN	115	Not GPI-Anchored	-	0.996	*
sp_Q6BCY4_NB5R2_HUMAN	276	Not GPI-Anchored	-	0.994	*
sp_Q5JPE7_NOMO2_HUMAN	1267	Not GPI-Anchored	-	0.975	*
sp_P49768_PSN1_HUMAN	467	GPI-Anchored	401	0.251	S
sp_Q9NZJ9_NUDT4_HUMAN	180	Not GPI-Anchored	-	0.987	*
sp_Q86V42_F124A_HUMAN	546	Not GPI-Anchored	-	0.988	*
sp_Q9NY12_GAR1_HUMAN	217	Not GPI-Anchored	-	0.993	*
sp_Q96KG9_SCYL1_HUMAN	808	Not GPI-Anchored	-	0.993	*
sp_P02675_FIBB_HUMAN	491	Not GPI-Anchored	-	0.994	*
sp_P51693_APLP1_HUMAN	650	Not GPI-Anchored	-	0.993	*
sp_P52735_VAV2_HUMAN	878	Not GPI-Anchored	-	0.994	*
sp_Q9HCH5_SYTL2_HUMAN	934	Not GPI-Anchored	-	0.931	*
