CSF-PR / CSF MIXED-MODE DEPLETED FRACTION / Proteins / 
index,PI,Accession,Other Protein(s),Description,CHROMOSOME,Gene Name,Coverage(%),Non Enzymatic Peptides,#Peptides,#Spectra,NSAF,RANK (NSAF),MW,Confidence,Validated
1.00,SINGLE PROTEIN,P0C0L5,, Complement C4-B (CO4B_HUMAN),6,C4B,65.71,true,200.00,4720.00,0.08,189.00,192.67,100.00,true
2.00,SINGLE PROTEIN,P0C0L4,, Complement C4-A (CO4A_HUMAN),6,C4A,65.71,true,199.00,4702.00,0.07,195.00,192.65,100.00,true
3.00,SINGLE PROTEIN,P00450,, Ceruloplasmin (CERU_HUMAN),3,CP,76.43,true,174.00,2601.00,0.16,94.00,122.13,100.00,true
4.00,SINGLE PROTEIN,P02751,, Fibronectin (FINC_HUMAN),2,FN1,55.45,true,159.00,1702.00,0.10,138.00,262.46,100.00,true
5.00,SINGLE PROTEIN,P02790,, Hemopexin (HEMO_HUMAN),11,HPX,78.79,true,138.00,4434.00,1.34,10.00,51.64,100.00,true
6.00,SINGLE PROTEIN,P06396,, Gelsolin (GELS_HUMAN),9,GSN,66.62,true,136.00,2141.00,0.23,64.00,85.64,100.00,true
7.00,SINGLE PROTEIN,P98160,, Basement membrane-specific heparan sulfate proteoglycan core protein (PGBM_HUMAN),1,HSPG2,36.83,true,130.00,487.00,0.01,1284.00,468.53,100.00,true
8.00,SINGLE PROTEIN,P05060,, Secretogranin-1 (SCG1_HUMAN),20,CHGB,67.21,true,128.00,1718.00,0.18,80.00,78.23,100.00,true
9.00,SINGLE PROTEIN,P02768,, Serum albumin (ALBU_HUMAN),4,ALB,82.76,true,124.00,4558.00,0.61,27.00,69.32,100.00,true
10.00,SINGLE PROTEIN,Q13822,, Ectonucleotide pyrophosphatase/phosphodiesterase family member 2 (ENPP2_HUMAN),8,ENPP2,72.89,true,115.00,1559.00,0.16,91.00,98.93,100.00,true
11.00,SINGLE PROTEIN,P01019,, Angiotensinogen (ANGT_HUMAN),1,AGT,70.52,true,111.00,2875.00,1.42,7.00,53.12,100.00,true
12.00,SINGLE PROTEIN,P01011,, Alpha-1-antichymotrypsin (AACT_HUMAN),14,SERPINA3,78.25,true,109.00,2820.00,0.61,28.00,47.62,100.00,true
13.00,SINGLE PROTEIN,P78509,, Reelin (RELN_HUMAN),7,RELN,35.46,true,108.00,473.00,0.01,829.00,388.14,100.00,true
14.00,SINGLE PROTEIN,P10909,, Clusterin (CLUS_HUMAN),8,CLU,64.81,true,105.00,1888.00,0.80,20.00,52.46,100.00,true
15.00,SINGLE PROTEIN,Q9NYQ8,, Protocadherin Fat 2 (FAT2_HUMAN),5,FAT2,30.67,true,101.00,346.00,0.01,1248.00,479.02,100.00,true
16.00,SINGLE PROTEIN,P02774,, Vitamin D-binding protein (VTDB_HUMAN),4,GC,82.07,true,100.00,3072.00,1.03,15.00,52.93,100.00,true
17.00,SINGLE PROTEIN,Q12860,, Contactin-1 (CNTN1_HUMAN),12,CNTN1,60.22,true,99.00,1056.00,0.07,214.00,113.25,100.00,true
18.00,SINGLE PROTEIN,Q9Y6R7,, IgGFc-binding protein (FCGBP_HUMAN),19,FCGBP,33.65,true,97.00,372.00,0.01,1251.00,571.64,100.00,true
19.00,SINGLE PROTEIN,P00751,, Complement factor B (CFAB_HUMAN),6,CFB,66.10,true,96.00,1589.00,0.57,30.00,85.48,100.00,true
20.00,SINGLE PROTEIN,Q92823,, Neuronal cell adhesion molecule (NRCAM_HUMAN),7,NRCAM,49.23,true,94.00,1059.00,0.15,97.00,143.80,100.00,true
21.00,SINGLE PROTEIN,P01024,, Complement C3 (CO3_HUMAN),19,C3,56.83,true,93.00,493.00,0.03,457.00,187.03,100.00,true
22.00,SINGLE PROTEIN,P08603,, Complement factor H (CFAH_HUMAN),1,CFH,60.84,true,93.00,1177.00,0.09,168.00,139.00,100.00,true
23.00,SINGLE PROTEIN,P51693,, Amyloid-like protein 1 (APLP1_HUMAN),19,APLP1,50.62,true,93.00,1575.00,0.30,52.00,72.13,100.00,true
24.00,SINGLE PROTEIN,P41222,, Prostaglandin-H2 D-isomerase (PTGDS_HUMAN),9,PTGDS,86.32,true,92.00,5609.00,11.72,1.00,21.02,100.00,true
25.00,SINGLE PROTEIN,P04114,, Apolipoprotein B-100 (APOB_HUMAN),2,APOB,25.73,true,91.00,219.00,0.00,1792.00,515.28,100.00,true
26.00,SINGLE PROTEIN,Q07954,, Prolow-density lipoprotein receptor-related protein 1 (LRP1_HUMAN),12,LRP1,25.09,true,91.00,258.00,0.00,1593.00,504.28,100.00,true
27.00,SINGLE PROTEIN,P05067,, Amyloid beta A4 protein (A4_HUMAN),21,APP,51.56,true,88.00,1170.00,0.28,54.00,86.89,100.00,true
28.00,SINGLE PROTEIN,P01031,, Complement C5 (CO5_HUMAN),9,C5,51.55,true,87.00,497.00,0.03,432.00,188.19,100.00,true
29.00,SINGLE PROTEIN,Q14515,, SPARC-like protein 1 (SPRL1_HUMAN),4,SPARCL1,61.60,true,87.00,1167.00,0.21,69.00,75.16,100.00,true
30.00,SINGLE PROTEIN,O00533,, Neural cell adhesion molecule L1-like protein (NCHL1_HUMAN),3,CHL1,46.36,true,84.00,1145.00,0.14,106.00,134.99,100.00,true
31.00,SINGLE PROTEIN,Q9UBP4,, Dickkopf-related protein 3 (DKK3_HUMAN),11,DKK3,66.29,true,83.00,1495.00,0.96,17.00,38.37,100.00,true
32.00,SINGLE PROTEIN,P00747,, Plasminogen (PLMN_HUMAN),6,PLG,64.69,true,83.00,755.00,0.07,223.00,90.51,100.00,true
33.00,SINGLE PROTEIN,P01034,, Cystatin-C (CYTC_HUMAN),20,CST3,73.97,true,82.00,3290.00,5.14,2.00,15.79,100.00,true
34.00,SINGLE PROTEIN,Q7Z7M0,, Multiple epidermal growth factor-like domains protein 8 (MEGF8_HUMAN),19,MEGF8,30.40,true,79.00,341.00,0.01,793.00,302.90,100.00,true
35.00,SINGLE PROTEIN,P10645,, Chromogranin-A (CMGA_HUMAN),14,CHGA,66.52,true,78.00,767.00,0.20,74.00,50.66,100.00,true
36.00,SINGLE PROTEIN,P22105,, Tenascin-X (TENX_HUMAN),6,TNXB,25.79,true,77.00,178.00,0.00,1929.00,464.03,100.00,true
37.00,SINGLE PROTEIN,Q9Y4C0,, Neurexin-3 (NRX3A_HUMAN),14,NRXN3,40.84,true,75.00,386.00,0.03,420.00,180.48,100.00,true
38.00,SINGLE PROTEIN,O94985,, Calsyntenin-1 (CSTN1_HUMAN),1,CLSTN1,49.44,true,74.00,924.00,0.24,63.00,109.72,100.00,true
39.00,SINGLE PROTEIN,P12111,, Collagen alpha-3(VI) chain (CO6A3_HUMAN),2,COL6A3,27.16,true,73.00,216.00,0.00,1416.00,343.46,100.00,true
40.00,SINGLE PROTEIN,P10451,, Osteopontin (OSTP_HUMAN),4,SPP1,57.96,true,71.00,817.00,0.61,25.00,35.40,100.00,true
41.00,SINGLE PROTEIN,P02649,, Apolipoprotein E (APOE_HUMAN),19,APOE,76.34,true,70.00,1916.00,1.05,14.00,36.13,100.00,true
42.00,SINGLE PROTEIN,P01023,, Alpha-2-macroglobulin (A2MG_HUMAN),12,A2M,54.82,true,69.00,283.00,0.02,520.00,163.19,100.00,true
43.00,SINGLE PROTEIN,P24043,, Laminin subunit alpha-2 (LAMA2_HUMAN),6,LAMA2,30.97,true,69.00,210.00,0.00,1387.00,343.68,100.00,true
44.00,SINGLE PROTEIN,P12259,, Coagulation factor V (FA5_HUMAN),1,F5,32.19,true,68.00,265.00,0.02,602.00,251.55,100.00,true
45.00,SINGLE PROTEIN,Q8WXD2,, Secretogranin-3 (SCG3_HUMAN),15,SCG3,54.91,true,65.00,662.00,0.17,85.00,52.97,100.00,true
46.00,SINGLE PROTEIN,P01008,, Antithrombin-III (ANT3_HUMAN),1,SERPINC1,62.28,true,65.00,1668.00,0.41,41.00,52.57,100.00,true
47.00,SINGLE PROTEIN,Q9P2S2,, Neurexin-2 (NRX2A_HUMAN),11,NRXN2,38.43,true,65.00,289.00,0.02,708.00,184.87,100.00,true
48.00,SINGLE PROTEIN,Q96KN2,, Beta-Ala-His dipeptidase (CNDP1_HUMAN),18,CNDP1,71.40,true,65.00,1244.00,0.32,48.00,56.67,100.00,true
49.00,SINGLE PROTEIN,P00734,, Prothrombin (THRB_HUMAN),11,F2,55.63,true,65.00,850.00,0.25,59.00,69.99,100.00,true
50.00,SINGLE PROTEIN,P10643,, Complement component C7 (CO7_HUMAN),5,C7,62.99,true,65.00,480.00,0.09,157.00,93.46,100.00,true
51.00,SINGLE PROTEIN,Q9ULB1,, Neurexin-1 (NRX1A_HUMAN),2,NRXN1,45.90,true,64.00,322.00,0.02,568.00,161.78,100.00,true
52.00,SINGLE PROTEIN,P13591,, Neural cell adhesion molecule 1 (NCAM1_HUMAN),11,NCAM1,54.66,true,64.00,756.00,0.17,87.00,94.52,100.00,true
53.00,SINGLE PROTEIN,Q06481,, Amyloid-like protein 2 (APLP2_HUMAN),11,APLP2,47.31,true,63.00,334.00,0.10,133.00,86.90,100.00,true
54.00,SINGLE PROTEIN,O15240,, Neurosecretory protein VGF (VGF_HUMAN),7,VGF,64.23,true,63.00,429.00,0.10,136.00,67.22,100.00,true
55.00,SINGLE PROTEIN,Q92859,, Neogenin (NEO1_HUMAN),15,NEO1,39.29,true,62.00,277.00,0.02,589.00,159.92,100.00,true
56.00,SINGLE PROTEIN,Q14624,, Inter-alpha-trypsin inhibitor heavy chain H4 (ITIH4_HUMAN),3,ITIH4,50.54,true,60.00,421.00,0.06,269.00,103.29,100.00,true
57.00,SINGLE PROTEIN,P04275,, von Willebrand factor (VWF_HUMAN),12,VWF,27.12,true,59.00,133.00,0.00,1573.00,309.06,100.00,true
58.00,SINGLE PROTEIN,Q99435,, Protein kinase C-binding protein NELL2 (NELL2_HUMAN),12,NELL2,60.29,true,59.00,691.00,0.10,140.00,91.28,100.00,true
59.00,SINGLE PROTEIN,P36955,, Pigment epithelium-derived factor (PEDF_HUMAN),17,SERPINF1,64.35,true,58.00,1213.00,0.35,44.00,46.28,100.00,true
60.00,SINGLE PROTEIN,P23142,, Fibulin-1 (FBLN1_HUMAN),22,FBLN1,55.05,true,58.00,439.00,0.10,145.00,77.16,100.00,true
61.00,SINGLE PROTEIN,O43505,, Beta-1,4-glucuronyltransferase 1 (B4GA1_HUMAN),11,B3GNT1,64.10,true,55.00,700.00,0.54,32.00,47.09,100.00,true
62.00,SINGLE PROTEIN,O00468,, Agrin (AGRIN_HUMAN),1,AGRN,35.40,true,55.00,273.00,0.03,414.00,214.71,100.00,true
63.00,SINGLE PROTEIN,Q96GW7,, Brevican core protein (PGCB_HUMAN),1,BCAN,48.08,true,54.00,415.00,0.11,126.00,99.06,100.00,true
64.00,SINGLE PROTEIN,P01042,, Kininogen-1 (KNG1_HUMAN),3,KNG1,40.37,true,52.00,663.00,0.12,115.00,71.91,100.00,true
65.00,SINGLE PROTEIN,P02749,, Beta-2-glycoprotein 1 (APOH_HUMAN),17,APOH,73.04,true,52.00,1107.00,0.45,37.00,38.27,100.00,true
66.00,SINGLE PROTEIN,P19827,, Inter-alpha-trypsin inhibitor heavy chain H1 (ITIH1_HUMAN),3,ITIH1,48.52,true,52.00,400.00,0.08,175.00,101.33,100.00,true
67.00,SINGLE PROTEIN,P19021,, Peptidyl-glycine alpha-amidating monooxygenase (AMD_HUMAN),5,PAM,43.06,true,52.00,283.00,0.03,452.00,108.26,100.00,true
68.00,SINGLE PROTEIN,P07602,, Prosaposin (SAP_HUMAN),10,PSAP,54.58,true,51.00,497.00,0.11,121.00,58.07,100.00,true
69.00,SINGLE PROTEIN,P06727,, Apolipoprotein A-IV (APOA4_HUMAN),11,APOA4,71.46,true,51.00,742.00,0.20,71.00,45.37,100.00,true
70.00,SINGLE PROTEIN,P09871,, Complement C1s subcomponent (C1S_HUMAN),12,C1S,53.05,true,51.00,356.00,0.07,194.00,76.63,100.00,true
71.00,SINGLE PROTEIN,P04217,, Alpha-1B-glycoprotein (A1BG_HUMAN),19,A1BG,52.93,true,50.00,1409.00,1.23,12.00,54.22,100.00,true
72.00,SINGLE PROTEIN,Q92876,, Kallikrein-6 (KLK6_HUMAN),19,KLK6,84.43,true,49.00,1083.00,1.75,5.00,26.84,100.00,true
73.00,SINGLE PROTEIN,P13521,, Secretogranin-2 (SCG2_HUMAN),2,SCG2,53.16,true,49.00,289.00,0.06,258.00,70.90,100.00,true
74.00,SINGLE PROTEIN,O94856,, Neurofascin (NFASC_HUMAN),1,NFASC,36.82,true,49.00,229.00,0.02,655.00,149.93,100.00,true
75.00,SINGLE PROTEIN,P25311,, Zinc-alpha-2-glycoprotein (ZA2G_HUMAN),7,AZGP1,62.08,true,49.00,911.00,0.61,26.00,34.24,100.00,true
76.00,SINGLE PROTEIN,P14618,, Pyruvate kinase PKM (KPYM_HUMAN),15,PKM,68.36,true,49.00,224.00,0.07,206.00,57.90,100.00,true
77.00,SINGLE PROTEIN,P21333,, Filamin-A (FLNA_HUMAN),X,FLNA,26.82,false,49.00,98.00,0.00,1646.00,280.56,100.00,true
78.00,SINGLE PROTEIN,Q02246,, Contactin-2 (CNTN2_HUMAN),1,CNTN2,47.98,true,48.00,393.00,0.06,264.00,113.32,100.00,true
79.00,SINGLE PROTEIN,P22897,, Macrophage mannose receptor 1 (MRC1_HUMAN),10,MRC1,37.36,true,48.00,114.00,0.01,1008.00,165.90,100.00,true
80.00,SINGLE PROTEIN,P02748,, Complement component C9 (CO9_HUMAN),5,C9,57.96,true,47.00,529.00,0.14,104.00,63.13,100.00,true
81.00,SINGLE PROTEIN,P02787,, Serotransferrin (TRFE_HUMAN),3,TF,55.59,true,47.00,256.00,0.06,263.00,77.01,100.00,true
82.00,SINGLE PROTEIN,P54289,, Voltage-dependent calcium channel subunit alpha-2/delta-1 (CA2D1_HUMAN),7,CACNA2D1,43.34,true,47.00,267.00,0.03,390.00,124.49,100.00,true
83.00,SINGLE PROTEIN,P11047,, Laminin subunit gamma-1 (LAMC1_HUMAN),1,LAMC1,39.53,true,46.00,142.00,0.01,1096.00,177.49,100.00,true
84.00,SINGLE PROTEIN,O15230,, Laminin subunit alpha-5 (LAMA5_HUMAN),20,LAMA5,17.83,false,46.00,87.00,0.00,1999.00,399.48,100.00,true
85.00,SINGLE PROTEIN,P35555,, Fibrillin-1 (FBN1_HUMAN),15,FBN1,19.40,false,46.00,112.00,0.00,1706.00,312.02,100.00,true
86.00,SINGLE PROTEIN,Q6UVK1,, Chondroitin sulfate proteoglycan 4 (CSPG4_HUMAN),15,CSPG4,26.23,false,45.00,104.00,0.01,1276.00,250.38,100.00,true
87.00,SINGLE PROTEIN,P02671,, Fibrinogen alpha chain (FIBA_HUMAN),4,FGA,48.27,true,45.00,269.00,0.06,261.00,94.91,100.00,true
88.00,SINGLE PROTEIN,P55268,, Laminin subunit beta-2 (LAMB2_HUMAN),3,LAMB2,33.37,false,44.00,114.00,0.01,1258.00,195.85,100.00,true
89.00,SINGLE PROTEIN,P02765,, Alpha-2-HS-glycoprotein (FETUA_HUMAN),3,AHSG,56.40,true,44.00,1446.00,1.34,9.00,39.30,100.00,true
90.00,SINGLE PROTEIN,Q9C0A0,, Contactin-associated protein-like 4 (CNTP4_HUMAN),16,CNTNAP4,38.99,true,44.00,152.00,0.01,825.00,145.18,100.00,true
91.00,SINGLE PROTEIN,P23471,, Receptor-type tyrosine-protein phosphatase zeta (PTPRZ_HUMAN),7,PTPRZ1,12.35,true,44.00,252.00,0.01,795.00,254.43,100.00,true
92.00,SINGLE PROTEIN,P16870,, Carboxypeptidase E (CBPE_HUMAN),4,CPE,62.61,true,44.00,308.00,0.22,66.00,53.12,100.00,true
93.00,SINGLE PROTEIN,Q12805,, EGF-containing fibulin-like extracellular matrix protein 1 (FBLN3_HUMAN),2,EFEMP1,62.07,true,43.00,477.00,0.19,75.00,54.60,100.00,true
94.00,SINGLE PROTEIN,O15031,, Plexin-B2 (PLXB2_HUMAN),22,PLXNB2,28.56,true,43.00,168.00,0.01,870.00,205.00,100.00,true
95.00,SINGLE PROTEIN,P49641,, Alpha-mannosidase 2x (MA2A2_HUMAN),15,MAN2A2,47.13,true,43.00,143.00,0.01,1054.00,130.46,100.00,true
